1,0.10,0.53,0.55,0.22,0.45,0.55,0.59,0.12,N/A,0.21,0.54,0.54,0.23,0.51,N/A,0.50,0.34,0.47,0.10,0.13,0.29,0.10,0.10,0.50,0.08,0.49
0.10,1,0.15,0.17,0.04,0.20,0.15,0.15,0.04,N/A,0.35,0.17,0.16,0.02,0.24,N/A,0.11,0.11,0.17,0.01,-0.01,0.03,0.04,0.04,0.15,-0.01,0.16
0.53,0.15,1,0.89,0.20,0.65,0.70,0.77,0.08,N/A,0.31,0.73,0.71,0.24,0.73,N/A,0.59,0.46,0.67,0.14,0.14,0.26,0.20,0.20,0.69,0.18,0.68
0.55,0.17,0.89,1,0.20,0.87,0.87,0.91,0.07,N/A,0.42,0.92,0.92,0.27,0.91,N/A,0.65,0.73,0.89,0.10,0.12,0.23,0.23,0.23,0.92,0.22,0.91
0.22,0.04,0.20,0.20,1,0.18,0.20,0.22,0.04,N/A,0.11,0.19,0.21,0.07,0.19,N/A,0.18,0.11,0.16,0.01,0.06,0.06,0.07,0.07,0.20,0.03,0.16
0.45,0.20,0.65,0.87,0.18,1,0.82,0.82,0.08,N/A,0.47,0.85,0.88,0.27,0.86,N/A,0.61,0.76,0.88,0.03,0.07,0.19,0.22,0.22,0.87,0.22,0.88
0.55,0.15,0.70,0.87,0.20,0.82,1,0.85,0.11,N/A,0.39,0.87,0.89,0.20,0.85,N/A,0.92,0.71,0.88,0.05,0.16,0.22,0.21,0.21,0.85,0.24,0.85
0.59,0.15,0.77,0.91,0.22,0.82,0.85,1,0.08,N/A,0.35,0.90,0.89,0.21,0.87,N/A,0.67,0.65,0.86,0.06,0.26,0.25,0.20,0.20,0.89,0.21,0.87
0.12,0.04,0.08,0.07,0.04,0.08,0.11,0.08,1,N/A,0.03,0.05,0.07,-0.00,0.09,N/A,0.13,0.03,0.07,0.04,0.00,0.06,0.01,0.01,0.07,0.06,0.06
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.21,0.35,0.31,0.42,0.11,0.47,0.39,0.35,0.03,N/A,1,0.41,0.44,0.24,0.67,N/A,0.29,0.40,0.43,0.01,0.03,0.11,0.15,0.15,0.41,0.13,0.40
0.54,0.17,0.73,0.92,0.19,0.85,0.87,0.90,0.05,N/A,0.41,1,0.92,0.26,0.89,N/A,0.68,0.73,0.89,0.08,0.11,0.20,0.22,0.22,0.90,0.21,0.89
0.54,0.16,0.71,0.92,0.21,0.88,0.89,0.89,0.07,N/A,0.44,0.92,1,0.28,0.89,N/A,0.68,0.78,0.92,0.06,0.12,0.22,0.21,0.21,0.92,0.26,0.92
0.23,0.02,0.24,0.27,0.07,0.27,0.20,0.21,-0.00,N/A,0.24,0.26,0.28,1,0.28,N/A,0.12,0.18,0.23,0.02,0.01,-0.02,-0.00,-0.00,0.24,0.02,0.27
0.51,0.24,0.73,0.91,0.19,0.86,0.85,0.87,0.09,N/A,0.67,0.89,0.89,0.28,1,N/A,0.65,0.73,0.87,0.05,0.10,0.21,0.24,0.24,0.88,0.22,0.88
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
