1,0.18,0.14,0.17,0.15,0.23,0.30
0.18,1,0.08,0.28,0.17,0.38,0.61
0.14,0.08,1,0.02,0.02,0.05,0.11
0.17,0.28,0.02,1,0.11,0.33,0.46
0.15,0.17,0.02,0.11,1,0.23,0.20
0.23,0.38,0.05,0.33,0.23,1,0.70
0.30,0.61,0.11,0.46,0.20,0.70,1
