1,0.14,0.06,0.01,0.13,0.02,0.09,N/A,0.06,-0.07,0.09
0.14,1,0.06,0.05,0.19,-0.03,0.06,N/A,0.06,0.07,0.13
0.06,0.06,1,0.02,0.42,-0.01,0.62,N/A,1.00,0.04,0.03
0.01,0.05,0.02,1,0.01,0.02,0.07,N/A,0.02,0.24,0.29
0.13,0.19,0.42,0.01,1,0.02,0.35,N/A,0.42,0.07,0.12
0.02,-0.03,-0.01,0.02,0.02,1,0.02,N/A,-0.01,0.03,0.03
0.09,0.06,0.62,0.07,0.35,0.02,1,N/A,0.62,0.05,0.04
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.06,0.06,1.00,0.02,0.42,-0.01,0.62,N/A,1,0.04,0.03
-0.07,0.07,0.04,0.24,0.07,0.03,0.05,N/A,0.04,1,0.26
0.09,0.13,0.03,0.29,0.12,0.03,0.04,N/A,0.03,0.26,1
