1,0.07,0.19,0.15,0.13,0.21,0.32,0.09,0.10,0.22,0.13,0.14,0.22,0.03
0.07,1,0.01,0.07,0.08,-0.00,0.14,0.00,0.05,-0.09,0.05,0.06,0.09,0.02
0.19,0.01,1,0.02,0.01,0.03,0.13,0.09,0.05,0.08,0.18,0.07,0.15,0.03
0.15,0.07,0.02,1,0.18,0.07,0.12,0.13,0.37,0.05,0.11,0.07,0.05,0.02
0.13,0.08,0.01,0.18,1,0.04,0.21,0.17,0.17,0.04,0.09,0.10,0.05,0.08
0.21,-0.00,0.03,0.07,0.04,1,0.13,0.07,0.02,0.04,0.06,0.04,0.05,0.02
0.32,0.14,0.13,0.12,0.21,0.13,1,0.09,0.08,0.14,0.11,0.46,0.31,0.04
0.09,0.00,0.09,0.13,0.17,0.07,0.09,1,0.34,0.35,0.12,0.14,0.15,0.03
0.10,0.05,0.05,0.37,0.17,0.02,0.08,0.34,1,0.02,0.09,0.05,0.12,-0.00
0.22,-0.09,0.08,0.05,0.04,0.04,0.14,0.35,0.02,1,0.12,0.24,0.22,0.05
0.13,0.05,0.18,0.11,0.09,0.06,0.11,0.12,0.09,0.12,1,0.17,0.18,0.15
0.14,0.06,0.07,0.07,0.10,0.04,0.46,0.14,0.05,0.24,0.17,1,0.20,0.11
0.22,0.09,0.15,0.05,0.05,0.05,0.31,0.15,0.12,0.22,0.18,0.20,1,0.06
0.03,0.02,0.03,0.02,0.08,0.02,0.04,0.03,-0.00,0.05,0.15,0.11,0.06,1
