1,0.17,0.13,0.07,0.07,0.52,0.39,0.04,0.10,0.12,0.07,0.22,0.01,0.06,0.08,0.14,0.33,0.32,0.06,0.23
0.17,1,0.52,0.29,0.10,0.30,0.38,0.39,0.37,0.39,0.20,0.33,0.00,0.16,0.15,0.10,0.29,0.55,0.06,0.26
0.13,0.52,1,0.05,0.13,0.24,0.32,0.21,0.21,0.53,0.06,0.35,-0.00,0.02,0.06,0.02,0.24,0.64,0.01,0.25
0.07,0.29,0.05,1,0.05,0.12,0.14,0.24,0.14,0.02,0.05,0.15,-0.00,0.07,0.18,0.04,0.10,0.15,0.05,0.07
0.07,0.10,0.13,0.05,1,0.11,0.15,0.10,0.06,0.12,0.02,0.20,0.10,-0.00,0.02,0.08,0.09,0.14,0.05,0.09
0.52,0.30,0.24,0.12,0.11,1,0.34,0.29,0.27,0.17,0.16,0.48,0.13,0.25,0.26,0.13,0.31,0.48,0.15,0.14
0.39,0.38,0.32,0.14,0.15,0.34,1,0.26,0.27,0.31,0.00,0.38,-0.00,0.10,0.08,0.06,0.53,0.47,-0.00,0.36
0.04,0.39,0.21,0.24,0.10,0.29,0.26,1,0.30,0.11,0.18,0.34,0.03,0.20,0.16,0.06,0.10,0.35,0.04,0.07
0.10,0.37,0.21,0.14,0.06,0.27,0.27,0.30,1,0.20,0.15,0.22,0.00,0.14,0.14,0.10,0.22,0.33,0.09,0.16
0.12,0.39,0.53,0.02,0.12,0.17,0.31,0.11,0.20,1,0.01,0.18,-0.00,0.03,0.04,0.04,0.22,0.36,0.02,0.26
0.07,0.20,0.06,0.05,0.02,0.16,0.00,0.18,0.15,0.01,1,0.17,0.01,0.17,0.17,0.02,0.05,0.15,-0.01,-0.02
0.22,0.33,0.35,0.15,0.20,0.48,0.38,0.34,0.22,0.18,0.17,1,0.05,0.30,0.16,0.06,0.36,0.64,0.05,0.26
0.01,0.00,-0.00,-0.00,0.10,0.13,-0.00,0.03,0.00,-0.00,0.01,0.05,1,0.00,0.24,0.04,0.02,0.01,0.27,0.01
0.06,0.16,0.02,0.07,-0.00,0.25,0.10,0.20,0.14,0.03,0.17,0.30,0.00,1,0.10,0.05,0.12,0.20,0.04,0.01
0.08,0.15,0.06,0.18,0.02,0.26,0.08,0.16,0.14,0.04,0.17,0.16,0.24,0.10,1,0.24,0.08,0.12,0.29,0.01
0.14,0.10,0.02,0.04,0.08,0.13,0.06,0.06,0.10,0.04,0.02,0.06,0.04,0.05,0.24,1,0.07,0.09,0.14,0.05
0.33,0.29,0.24,0.10,0.09,0.31,0.53,0.10,0.22,0.22,0.05,0.36,0.02,0.12,0.08,0.07,1,0.40,0.04,0.50
0.32,0.55,0.64,0.15,0.14,0.48,0.47,0.35,0.33,0.36,0.15,0.64,0.01,0.20,0.12,0.09,0.40,1,0.03,0.26
0.06,0.06,0.01,0.05,0.05,0.15,-0.00,0.04,0.09,0.02,-0.01,0.05,0.27,0.04,0.29,0.14,0.04,0.03,1,0.01
0.23,0.26,0.25,0.07,0.09,0.14,0.36,0.07,0.16,0.26,-0.02,0.26,0.01,0.01,0.01,0.05,0.50,0.26,0.01,1
