N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,1,0.19,0.01,-0.02,0.00,0.03,N/A,0.04,0.21,0.19,0.18,0.09,0.18,0.23,0.05,0.30,0.57,0.26,0.28,0.06,0.20,0.07,N/A,N/A,0.00,N/A,0.13,N/A,0.00,0.21,-0.00,0.21,N/A,0.01,0.08,0.21,0.25,0.32,0.23,0.15,N/A,0.14,0.00,0.01,0.14,0.33,0.00,N/A,0.24,-0.01,0.21,0.18,0.25,0.09,N/A,N/A,N/A,N/A,0.06,N/A,-0.02,0.02,0.07,-0.02,0.02,0.16,0.17,0.32,N/A,0.01,0.05,0.10,0.02,0.10,0.19,0.20,N/A,-0.01,N/A,-0.00,0.59,0.14,0.32,0.00,-0.00,0.01,0.10,N/A,0.00,0.01,N/A,N/A,N/A,0.17,0.26,N/A,N/A,0.08,0.30,0.12,0.00,0.09,0.27,0.20,0.14,-0.00,0.32,0.00,N/A,N/A,-0.00,N/A,0.12,0.12,0.20,0.05
N/A,0.19,1,0.02,0.09,0.12,0.12,N/A,0.06,0.98,0.20,0.60,0.19,0.19,0.75,0.10,0.27,0.20,0.57,0.79,0.16,0.81,0.09,N/A,N/A,0.15,N/A,0.41,N/A,0.13,0.21,0.27,0.80,N/A,0.04,0.40,0.90,0.74,0.42,0.83,0.17,N/A,0.34,0.08,0.24,0.73,0.19,0.09,N/A,0.24,0.06,0.16,0.83,0.54,0.25,N/A,N/A,N/A,N/A,0.07,N/A,0.02,0.09,0.13,0.19,0.08,0.37,0.70,0.81,N/A,0.07,0.05,0.30,0.10,0.57,0.38,0.38,N/A,0.12,N/A,0.20,0.22,0.76,0.81,0.10,0.20,0.21,0.24,N/A,0.15,0.09,N/A,N/A,N/A,0.94,0.76,N/A,N/A,0.22,0.17,0.31,0.13,0.13,0.56,0.45,0.71,0.20,0.82,0.08,N/A,N/A,0.20,N/A,0.24,0.56,0.60,0.40
N/A,0.01,0.02,1,-0.00,0.03,-0.01,N/A,0.00,0.02,0.01,0.02,-0.01,0.00,0.01,-0.00,-0.00,-0.01,0.06,-0.00,0.00,0.04,0.02,N/A,N/A,0.03,N/A,0.06,N/A,0.02,-0.00,0.01,0.02,N/A,0.00,0.06,0.02,0.01,0.01,0.01,0.00,N/A,-0.00,-0.01,0.01,0.05,0.01,-0.02,N/A,0.01,0.04,-0.00,0.01,-0.00,0.00,N/A,N/A,N/A,N/A,-0.01,N/A,0.00,-0.00,0.00,-0.00,0.00,0.11,0.01,0.03,N/A,-0.01,0.02,-0.00,0.00,0.01,-0.01,-0.01,N/A,-0.00,N/A,-0.01,-0.01,0.04,0.03,0.01,-0.01,-0.01,0.00,N/A,0.00,0.01,N/A,N/A,N/A,0.02,0.02,N/A,N/A,0.00,0.13,0.00,0.01,-0.00,0.06,-0.01,0.09,-0.01,0.02,0.05,N/A,N/A,-0.01,N/A,-0.00,0.01,-0.02,0.08
N/A,-0.02,0.09,-0.00,1,0.08,0.02,N/A,-0.05,0.10,-0.01,0.04,0.02,0.04,0.07,0.03,0.05,0.01,0.06,0.06,0.03,0.06,0.03,N/A,N/A,-0.01,N/A,0.09,N/A,0.05,0.07,-0.08,0.08,N/A,0.00,0.02,0.09,0.11,0.05,0.14,0.08,N/A,0.08,-0.00,0.01,0.07,0.05,0.03,N/A,0.04,-0.05,-0.07,0.12,0.07,-0.01,N/A,N/A,N/A,N/A,0.04,N/A,0.01,0.09,0.06,-0.01,0.06,0.07,0.11,0.08,N/A,0.08,-0.11,0.01,-0.03,0.05,0.02,0.12,N/A,0.01,N/A,-0.08,0.01,0.06,0.08,-0.01,-0.08,0.08,0.06,N/A,-0.03,0.02,N/A,N/A,N/A,0.09,0.06,N/A,N/A,-0.04,0.05,-0.01,0.06,0.00,0.06,0.03,0.06,-0.08,0.11,0.01,N/A,N/A,-0.08,N/A,-0.03,0.05,-0.00,-0.00
N/A,0.00,0.12,0.03,0.08,1,0.00,N/A,0.03,0.11,0.03,0.05,-0.02,0.01,0.09,0.03,0.03,-0.02,0.16,0.15,0.04,0.16,-0.01,N/A,N/A,0.04,N/A,0.05,N/A,0.03,0.04,0.04,0.12,N/A,-0.05,0.04,0.16,0.10,0.04,0.09,0.04,N/A,0.05,-0.02,0.06,0.10,-0.02,0.00,N/A,-0.00,-0.06,-0.01,0.14,0.05,0.02,N/A,N/A,N/A,N/A,-0.00,N/A,0.02,0.01,-0.01,0.00,0.05,0.11,0.10,0.16,N/A,-0.04,-0.05,0.06,-0.00,0.17,-0.02,0.05,N/A,-0.00,N/A,0.06,-0.03,0.14,0.16,0.02,0.06,0.13,0.01,N/A,0.01,0.02,N/A,N/A,N/A,0.11,0.11,N/A,N/A,-0.00,0.02,0.05,-0.03,-0.05,0.15,-0.00,0.10,0.06,0.14,-0.03,N/A,N/A,0.06,N/A,-0.00,0.16,-0.02,-0.06
N/A,0.03,0.12,-0.01,0.02,0.00,1,N/A,0.05,0.11,0.02,0.07,0.10,0.04,0.06,0.02,0.05,0.00,0.06,0.08,0.02,0.07,0.01,N/A,N/A,-0.02,N/A,0.03,N/A,0.08,-0.02,-0.01,0.13,N/A,-0.00,0.02,0.13,0.09,0.10,0.07,0.00,N/A,0.03,-0.02,0.01,0.07,-0.03,-0.01,N/A,0.05,0.00,0.04,0.09,0.22,0.01,N/A,N/A,N/A,N/A,0.01,N/A,0.01,0.02,0.03,0.09,0.02,0.08,0.06,0.09,N/A,-0.06,-0.05,0.26,-0.00,0.06,0.10,0.08,N/A,-0.01,N/A,0.04,0.02,0.10,0.09,0.14,0.04,0.05,0.00,N/A,0.04,0.05,N/A,N/A,N/A,0.10,0.07,N/A,N/A,0.06,-0.01,0.07,-0.03,-0.00,0.06,0.11,0.12,0.04,0.08,0.08,N/A,N/A,0.04,N/A,0.01,0.06,0.13,0.13
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.04,0.06,0.00,-0.05,0.03,0.05,N/A,1,0.07,-0.01,0.01,0.07,0.02,0.06,0.00,0.04,-0.03,0.04,0.08,0.08,0.04,0.11,N/A,N/A,-0.01,N/A,0.11,N/A,0.04,0.25,0.00,0.01,N/A,0.01,0.00,0.05,0.04,0.04,0.05,0.03,N/A,0.00,-0.02,0.01,0.03,0.03,-0.02,N/A,0.01,0.01,-0.01,0.05,0.00,-0.02,N/A,N/A,N/A,N/A,-0.00,N/A,-0.01,-0.03,0.15,0.02,-0.03,0.05,0.03,0.07,N/A,-0.03,-0.02,0.13,0.00,0.01,0.01,-0.01,N/A,0.01,N/A,-0.05,0.09,0.01,0.07,0.02,-0.05,-0.02,0.00,N/A,0.03,0.05,N/A,N/A,N/A,0.05,0.05,N/A,N/A,-0.04,0.01,0.04,-0.03,0.02,0.05,0.03,0.12,-0.05,0.06,0.01,N/A,N/A,-0.05,N/A,0.02,0.02,0.04,0.02
N/A,0.21,0.98,0.02,0.10,0.11,0.11,N/A,0.07,1,0.23,0.61,0.21,0.21,0.78,0.08,0.30,0.23,0.59,0.78,0.16,0.82,0.09,N/A,N/A,0.16,N/A,0.43,N/A,0.13,0.21,0.24,0.82,N/A,0.04,0.41,0.90,0.76,0.43,0.84,0.18,N/A,0.38,0.09,0.27,0.73,0.21,0.10,N/A,0.27,0.08,0.16,0.82,0.56,0.27,N/A,N/A,N/A,N/A,0.07,N/A,0.03,0.10,0.14,0.21,0.09,0.38,0.72,0.84,N/A,0.07,0.06,0.30,0.11,0.58,0.40,0.39,N/A,0.13,N/A,0.19,0.24,0.79,0.84,0.10,0.19,0.22,0.25,N/A,0.16,0.09,N/A,N/A,N/A,0.92,0.79,N/A,N/A,0.22,0.20,0.33,0.12,0.13,0.58,0.48,0.70,0.19,0.83,0.09,N/A,N/A,0.19,N/A,0.26,0.58,0.60,0.41
