1,0.02,-0.06,N/A,0.11,0.00,0.02,0.24,0.10,0.07,0.00,-0.01,0.07,0.14,N/A,-0.01,0.03,-0.01,N/A,-0.04,0.02,0.04,-0.02,N/A,-0.02,0.00,-0.00,0.02,0.06,0.02,-0.08,0.02,0.01,0.07
0.02,1,0.09,N/A,0.10,-0.00,0.01,0.09,0.27,0.53,0.10,0.09,0.25,0.03,N/A,0.03,0.00,0.17,N/A,0.01,0.10,0.04,0.09,N/A,0.04,0.08,0.15,0.03,0.01,0.23,0.11,0.13,0.15,0.14
-0.06,0.09,1,N/A,0.08,-0.02,0.06,0.10,0.13,0.06,0.14,0.03,0.12,0.03,N/A,0.01,0.00,0.10,N/A,0.01,0.33,0.02,0.11,N/A,0.00,0.01,0.07,0.04,-0.06,0.19,0.19,0.06,0.06,0.11
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.11,0.10,0.08,N/A,1,0.06,0.01,0.44,0.12,0.24,0.11,0.06,0.02,0.51,N/A,0.00,0.02,0.21,N/A,0.00,0.04,0.45,0.11,N/A,0.07,0.12,0.10,0.08,0.02,0.08,0.05,0.02,0.11,0.64
0.00,-0.00,-0.02,N/A,0.06,1,0.07,0.12,0.07,0.06,0.18,0.11,-0.01,0.08,N/A,0.18,0.32,0.45,N/A,0.22,0.01,0.16,0.04,N/A,0.12,0.20,0.05,0.54,0.02,0.11,0.04,0.10,0.23,0.08
0.02,0.01,0.06,N/A,0.01,0.07,1,0.28,0.14,0.01,0.32,0.01,-0.02,0.03,N/A,0.58,0.01,0.02,N/A,0.06,0.03,0.04,0.02,N/A,0.05,0.06,0.08,0.04,0.00,0.01,-0.02,0.03,0.07,0.06
0.24,0.09,0.10,N/A,0.44,0.12,0.28,1,0.19,0.18,0.40,0.19,0.01,0.33,N/A,0.22,0.13,0.20,N/A,0.27,0.05,0.34,0.13,N/A,0.14,0.32,0.06,0.09,0.06,0.19,0.08,0.12,0.21,0.46
0.10,0.27,0.13,N/A,0.12,0.07,0.14,0.19,1,0.06,0.19,0.18,0.06,0.03,N/A,0.16,0.01,0.10,N/A,0.04,0.04,0.18,0.10,N/A,0.12,0.11,0.22,0.07,0.01,0.28,0.10,0.16,0.19,0.10
0.07,0.53,0.06,N/A,0.24,0.06,0.01,0.18,0.06,1,0.18,0.08,0.02,0.05,N/A,0.00,0.10,0.13,N/A,0.17,0.05,0.08,0.08,N/A,0.08,0.14,0.02,0.03,0.02,0.06,0.05,0.05,0.10,0.12
