1,-0.00,-0.00,0.00,0.04,0.01,0.04,-0.01,-0.00,-0.05,-0.01,0.00,0.02,0.01,0.03,0.00,0.02,-0.01,-0.00,0.00,0.09,-0.01,-0.01,0.01,-0.04,-0.01,0.00,0.04,0.00,0.01,-0.00,-0.01,N/A,N/A,-0.04,-0.00,0.01,0.02,-0.01,0.01,0.03,0.01,-0.00,0.03,0.02,-0.01
-0.00,1,0.12,-0.02,0.08,0.03,0.08,0.01,0.05,-0.03,0.06,-0.00,0.03,0.05,0.16,0.31,0.02,0.05,0.01,0.01,0.02,-0.02,0.05,0.03,0.04,-0.03,0.11,-0.01,0.04,0.12,-0.03,-0.01,N/A,N/A,0.07,-0.00,0.04,0.02,-0.01,0.01,-0.02,0.03,-0.04,0.79,0.05,-0.01
-0.00,0.12,1,0.18,0.13,0.36,0.11,0.44,0.28,0.02,0.28,0.28,0.11,0.08,0.18,0.14,0.24,0.06,0.23,0.17,0.24,0.04,0.06,0.12,0.17,0.04,0.19,0.09,0.26,0.01,0.19,0.08,N/A,N/A,0.11,0.25,0.51,0.21,0.20,0.17,0.12,0.10,0.10,0.12,0.09,0.05
0.00,-0.02,0.18,1,0.16,0.27,0.08,0.19,0.18,-0.04,0.15,0.14,0.08,0.02,0.10,0.12,0.11,0.13,0.17,0.06,0.30,0.19,0.09,0.23,0.09,-0.01,0.22,0.21,0.21,0.01,0.09,0.04,N/A,N/A,0.14,0.04,0.28,0.06,0.04,0.18,0.19,0.22,0.19,0.08,0.22,0.25
0.04,0.08,0.13,0.16,1,0.28,0.05,0.12,0.22,0.06,0.08,0.22,0.04,-0.00,0.12,0.22,0.16,0.23,0.13,0.05,0.25,0.08,0.02,0.07,0.18,-0.09,0.44,0.09,0.07,0.13,0.06,0.02,N/A,N/A,0.12,0.02,0.30,0.04,0.14,0.07,0.05,0.09,0.10,0.15,0.04,0.03
0.01,0.03,0.36,0.27,0.28,1,0.23,0.34,0.29,0.05,0.16,0.21,0.07,0.03,0.07,0.23,0.25,0.03,0.33,0.09,0.34,0.30,0.16,0.13,0.13,0.02,0.29,0.00,0.14,0.07,0.11,-0.01,N/A,N/A,0.19,0.17,0.37,0.14,0.06,0.10,0.33,0.07,0.23,0.08,0.13,0.08
0.04,0.08,0.11,0.08,0.05,0.23,1,0.21,0.11,-0.00,0.02,0.10,0.02,-0.01,0.04,0.09,-0.06,0.00,0.07,0.00,0.13,0.01,-0.03,0.09,0.11,-0.09,0.14,0.03,0.05,-0.03,0.04,-0.02,N/A,N/A,0.18,0.06,0.08,0.02,0.06,0.03,0.02,0.08,-0.00,0.12,0.09,-0.01
-0.01,0.01,0.44,0.19,0.12,0.34,0.21,1,0.21,0.11,0.24,0.18,0.03,0.07,0.05,0.13,0.21,0.03,0.26,0.13,0.37,0.09,0.08,0.13,0.17,0.00,0.10,0.17,0.19,0.05,0.16,-0.01,N/A,N/A,0.16,0.13,0.35,0.20,0.11,0.08,0.07,0.19,0.18,0.06,0.12,0.08
-0.00,0.05,0.28,0.18,0.22,0.29,0.11,0.21,1,0.10,0.25,0.32,0.02,0.11,0.36,0.13,0.17,0.31,0.27,0.10,0.19,0.10,-0.04,0.09,0.19,0.01,0.29,0.05,0.18,0.02,0.21,0.01,N/A,N/A,0.20,0.25,0.45,0.20,0.22,0.09,0.11,0.02,0.17,0.16,0.13,0.00
-0.05,-0.03,0.02,-0.04,0.06,0.05,-0.00,0.11,0.10,1,0.05,0.06,0.04,0.05,0.07,0.10,-0.00,0.20,0.05,0.02,0.01,0.07,-0.01,0.01,0.15,0.05,0.02,0.13,0.03,0.11,0.01,-0.02,N/A,N/A,0.07,0.02,0.11,0.03,0.05,0.16,0.06,-0.03,0.03,0.03,-0.07,-0.08
-0.01,0.06,0.28,0.15,0.08,0.16,0.02,0.24,0.25,0.05,1,0.27,0.02,0.21,0.22,0.08,0.23,0.07,0.38,0.17,0.23,0.04,0.06,0.12,0.11,0.12,0.12,0.05,0.20,0.05,0.25,0.02,N/A,N/A,0.18,0.42,0.49,0.20,0.23,0.22,0.09,0.05,0.08,0.08,0.07,0.11
0.00,-0.00,0.28,0.14,0.22,0.21,0.10,0.18,0.32,0.06,0.27,1,0.03,0.17,0.28,0.10,0.18,0.15,0.22,0.11,0.16,0.02,0.02,0.19,0.09,-0.03,0.27,-0.04,0.28,0.06,0.23,0.03,N/A,N/A,0.06,0.30,0.46,0.16,0.28,0.12,0.04,0.07,0.04,0.06,0.01,0.01
0.02,0.03,0.11,0.08,0.04,0.07,0.02,0.03,0.02,0.04,0.02,0.03,1,0.13,0.01,-0.00,0.06,0.02,0.11,-0.01,0.02,0.01,0.03,0.04,0.04,0.04,0.03,-0.03,0.01,-0.01,0.02,0.05,N/A,N/A,0.05,0.01,0.13,-0.02,0.01,0.07,0.02,0.05,-0.00,0.03,0.08,0.04
0.01,0.05,0.08,0.02,-0.00,0.03,-0.01,0.07,0.11,0.05,0.21,0.17,0.13,1,0.20,0.06,0.14,0.02,0.09,0.03,0.11,0.01,0.06,0.08,0.22,-0.02,0.03,-0.00,0.12,-0.02,0.03,0.00,N/A,N/A,0.01,0.22,0.24,0.01,0.25,0.14,0.02,0.05,0.17,0.02,0.02,0.01
0.03,0.16,0.18,0.10,0.12,0.07,0.04,0.05,0.36,0.07,0.22,0.28,0.01,0.20,1,0.09,0.11,0.12,0.09,0.02,0.07,0.01,0.03,0.02,0.10,0.01,0.12,0.04,0.20,0.11,0.17,0.05,N/A,N/A,0.08,0.22,0.27,0.11,0.51,0.09,0.01,0.02,0.10,0.17,0.03,-0.02
0.00,0.31,0.14,0.12,0.22,0.23,0.09,0.13,0.13,0.10,0.08,0.10,-0.00,0.06,0.09,1,0.12,0.16,0.12,0.05,0.19,0.12,0.02,0.16,0.07,0.01,0.17,0.06,0.02,0.46,0.06,0.06,N/A,N/A,0.07,0.04,0.16,0.02,0.02,0.05,0.04,0.08,0.17,0.27,0.23,-0.02
0.02,0.02,0.24,0.11,0.16,0.25,-0.06,0.21,0.17,-0.00,0.23,0.18,0.06,0.14,0.11,0.12,1,0.06,0.29,0.10,0.20,0.08,0.07,0.08,0.14,0.06,0.06,0.01,0.14,0.09,0.12,0.10,N/A,N/A,0.14,0.11,0.38,0.21,0.19,0.13,0.16,0.04,0.09,0.05,0.03,0.09
-0.01,0.05,0.06,0.13,0.23,0.03,0.00,0.03,0.31,0.20,0.07,0.15,0.02,0.02,0.12,0.16,0.06,1,0.00,-0.02,0.04,0.05,0.00,0.13,0.17,0.11,0.09,-0.03,0.14,0.11,0.05,0.15,N/A,N/A,0.08,0.03,0.26,0.04,0.10,0.12,0.02,-0.00,0.01,0.14,0.02,-0.00
-0.00,0.01,0.23,0.17,0.13,0.33,0.07,0.26,0.27,0.05,0.38,0.22,0.11,0.09,0.09,0.12,0.29,0.00,1,0.16,0.22,0.20,0.08,0.13,0.12,0.09,0.21,0.07,0.16,0.05,0.18,0.04,N/A,N/A,0.27,0.13,0.40,0.13,0.10,0.10,0.18,0.08,0.13,0.13,0.16,0.04
0.00,0.01,0.17,0.06,0.05,0.09,0.00,0.13,0.10,0.02,0.17,0.11,-0.01,0.03,0.02,0.05,0.10,-0.02,0.16,1,0.04,0.03,0.00,-0.00,0.03,-0.02,0.07,0.02,0.18,0.03,0.10,-0.01,N/A,N/A,0.03,0.15,0.21,0.19,0.06,0.06,0.15,0.03,0.04,0.02,-0.02,0.01
0.09,0.02,0.24,0.30,0.25,0.34,0.13,0.37,0.19,0.01,0.23,0.16,0.02,0.11,0.07,0.19,0.20,0.04,0.22,0.04,1,0.26,0.04,0.18,0.15,0.00,0.22,0.14,0.16,0.16,0.11,0.04,N/A,N/A,0.12,0.12,0.35,0.07,0.11,0.09,0.29,0.21,0.22,0.01,0.19,0.16
-0.01,-0.02,0.04,0.19,0.08,0.30,0.01,0.09,0.10,0.07,0.04,0.02,0.01,0.01,0.01,0.12,0.08,0.05,0.20,0.03,0.26,1,0.04,0.05,0.06,-0.02,0.23,0.05,0.02,0.06,0.04,0.05,N/A,N/A,0.11,0.00,0.16,0.01,0.01,0.18,0.49,0.05,0.12,0.03,0.13,0.21
-0.01,0.05,0.06,0.09,0.02,0.16,-0.03,0.08,-0.04,-0.01,0.06,0.02,0.03,0.06,0.03,0.02,0.07,0.00,0.08,0.00,0.04,0.04,1,0.02,0.01,0.05,0.02,0.09,0.05,0.02,-0.03,0.01,N/A,N/A,0.10,0.00,0.05,-0.03,0.01,0.04,0.09,0.00,-0.03,0.05,0.11,-0.01
0.01,0.03,0.12,0.23,0.07,0.13,0.09,0.13,0.09,0.01,0.12,0.19,0.04,0.08,0.02,0.16,0.08,0.13,0.13,-0.00,0.18,0.05,0.02,1,0.22,-0.01,0.06,0.04,0.07,0.04,0.16,0.04,N/A,N/A,0.05,0.07,0.20,0.03,0.05,0.08,0.03,0.50,0.04,0.05,0.04,0.01
-0.04,0.04,0.17,0.09,0.18,0.13,0.11,0.17,0.19,0.15,0.11,0.09,0.04,0.22,0.10,0.07,0.14,0.17,0.12,0.03,0.15,0.06,0.01,0.22,1,0.04,0.10,0.10,0.18,0.01,0.16,0.10,N/A,N/A,0.04,0.18,0.35,0.13,0.15,0.13,-0.02,0.21,0.11,0.12,0.03,-0.00
-0.01,-0.03,0.04,-0.01,-0.09,0.02,-0.09,0.00,0.01,0.05,0.12,-0.03,0.04,-0.02,0.01,0.01,0.06,0.11,0.09,-0.02,0.00,-0.02,0.05,-0.01,0.04,1,0.10,0.03,0.05,0.04,0.06,-0.00,N/A,N/A,0.31,-0.01,0.11,-0.02,0.02,0.04,-0.02,-0.03,-0.00,0.01,-0.00,0.04
0.00,0.11,0.19,0.22,0.44,0.29,0.14,0.10,0.29,0.02,0.12,0.27,0.03,0.03,0.12,0.17,0.06,0.09,0.21,0.07,0.22,0.23,0.02,0.06,0.10,0.10,1,0.04,0.10,0.05,0.10,0.05,N/A,N/A,0.20,0.05,0.35,0.08,0.11,0.08,0.19,0.07,0.05,0.14,0.18,0.02
0.04,-0.01,0.09,0.21,0.09,0.00,0.03,0.17,0.05,0.13,0.05,-0.04,-0.03,-0.00,0.04,0.06,0.01,-0.03,0.07,0.02,0.14,0.05,0.09,0.04,0.10,0.03,0.04,1,0.04,0.04,-0.00,0.01,N/A,N/A,0.11,0.04,0.11,0.02,0.03,0.04,0.02,0.04,0.08,-0.01,0.07,-0.01
0.00,0.04,0.26,0.21,0.07,0.14,0.05,0.19,0.18,0.03,0.20,0.28,0.01,0.12,0.20,0.02,0.14,0.14,0.16,0.18,0.16,0.02,0.05,0.07,0.18,0.05,0.10,0.04,1,-0.01,0.12,0.01,N/A,N/A,0.09,0.10,0.39,0.25,0.15,0.26,0.03,0.02,-0.02,0.09,0.04,0.01
0.01,0.12,0.01,0.01,0.13,0.07,-0.03,0.05,0.02,0.11,0.05,0.06,-0.01,-0.02,0.11,0.46,0.09,0.11,0.05,0.03,0.16,0.06,0.02,0.04,0.01,0.04,0.05,0.04,-0.01,1,0.02,-0.07,N/A,N/A,0.04,-0.01,0.11,0.02,0.01,0.18,0.02,-0.00,0.07,0.15,0.02,-0.02
