0.66,0.40,0.24,0.02,-0.04,0.07,0.35,0.44,0.56,0.43,0.06,0.28,0.05,N/A,0.29,0.13,N/A,1,0.25,0.16,0.39,0.46,0.16,N/A,N/A,0.08,N/A,N/A,N/A,0.05,N/A,0.03,0.25,N/A,0.18,0.07,N/A,0.30,0.39,N/A
0.44,0.27,0.46,-0.02,0.03,0.21,0.10,0.16,0.40,0.23,0.03,0.06,-0.00,N/A,0.46,0.19,N/A,0.25,1,0.05,0.24,0.50,0.08,N/A,N/A,0.17,N/A,N/A,N/A,0.04,N/A,0.07,0.15,N/A,0.09,0.18,N/A,0.40,0.13,N/A
0.14,0.17,0.05,0.10,-0.02,-0.02,0.10,0.19,0.18,0.26,-0.02,0.09,-0.01,N/A,0.06,-0.00,N/A,0.16,0.05,1,0.14,0.09,0.04,N/A,N/A,0.00,N/A,N/A,N/A,-0.03,N/A,-0.01,0.05,N/A,0.04,-0.01,N/A,0.04,0.19,N/A
0.43,0.47,0.24,0.09,-0.05,-0.00,0.20,0.31,0.48,0.43,0.13,0.28,0.13,N/A,0.15,0.12,N/A,0.39,0.24,0.14,1,0.37,0.18,N/A,N/A,0.05,N/A,N/A,N/A,0.01,N/A,0.05,0.28,N/A,0.11,0.14,N/A,0.22,0.46,N/A
0.58,0.44,0.50,0.06,0.06,0.11,0.27,0.30,0.53,0.35,0.12,0.17,0.08,N/A,0.41,0.21,N/A,0.46,0.50,0.09,0.37,1,0.11,N/A,N/A,0.10,N/A,N/A,N/A,0.08,N/A,0.01,0.20,N/A,0.26,0.14,N/A,0.55,0.33,N/A
0.18,0.25,0.08,0.03,-0.02,0.03,0.17,0.13,0.22,0.20,0.05,0.09,-0.00,N/A,0.02,0.04,N/A,0.16,0.08,0.04,0.18,0.11,1,N/A,N/A,0.02,N/A,N/A,N/A,0.01,N/A,-0.02,0.14,N/A,0.12,0.00,N/A,0.05,0.21,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.17,0.06,0.21,0.02,0.06,0.11,0.05,0.02,0.10,0.07,0.17,-0.00,-0.01,N/A,0.10,0.24,N/A,0.08,0.17,0.00,0.05,0.10,0.02,N/A,N/A,1,N/A,N/A,N/A,-0.00,N/A,0.02,0.13,N/A,0.01,0.15,N/A,0.22,0.03,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.07,0.04,0.01,0.04,-0.10,-0.03,-0.00,-0.01,0.15,-0.00,-0.06,-0.02,0.05,N/A,-0.05,0.01,N/A,0.05,0.04,-0.03,0.01,0.08,0.01,N/A,N/A,-0.00,N/A,N/A,N/A,1,N/A,0.01,0.04,N/A,-0.04,0.01,N/A,0.02,0.00,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.04,0.03,-0.02,0.04,-0.03,-0.01,0.02,-0.01,0.01,0.06,-0.03,0.03,-0.02,N/A,-0.02,-0.00,N/A,0.03,0.07,-0.01,0.05,0.01,-0.02,N/A,N/A,0.02,N/A,N/A,N/A,0.01,N/A,1,-0.02,N/A,0.01,-0.02,N/A,-0.01,-0.00,N/A
0.37,0.26,0.14,-0.01,0.06,0.06,0.22,0.21,0.25,0.25,0.05,0.08,0.13,N/A,0.24,0.08,N/A,0.25,0.15,0.05,0.28,0.20,0.14,N/A,N/A,0.13,N/A,N/A,N/A,0.04,N/A,-0.02,1,N/A,0.02,0.00,N/A,0.11,0.38,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.21,0.22,0.29,0.17,-0.03,-0.00,0.08,0.17,0.28,0.12,0.20,0.06,0.01,N/A,0.21,0.27,N/A,0.18,0.09,0.04,0.11,0.26,0.12,N/A,N/A,0.01,N/A,N/A,N/A,-0.04,N/A,0.01,0.02,N/A,1,0.07,N/A,0.10,0.11,N/A
0.16,0.16,0.14,0.01,0.03,0.19,0.02,0.04,0.23,0.08,0.08,0.00,0.04,N/A,0.12,0.10,N/A,0.07,0.18,-0.01,0.14,0.14,0.00,N/A,N/A,0.15,N/A,N/A,N/A,0.01,N/A,-0.02,0.00,N/A,0.07,1,N/A,0.07,0.03,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.37,0.26,0.42,0.07,0.09,0.05,0.10,0.12,0.39,0.18,-0.00,0.04,0.01,N/A,0.37,0.12,N/A,0.30,0.40,0.04,0.22,0.55,0.05,N/A,N/A,0.22,N/A,N/A,N/A,0.02,N/A,-0.01,0.11,N/A,0.10,0.07,N/A,1,0.17,N/A
0.46,0.49,0.19,0.04,0.07,0.13,0.33,0.26,0.42,0.40,-0.07,0.22,0.07,N/A,0.21,0.08,N/A,0.39,0.13,0.19,0.46,0.33,0.21,N/A,N/A,0.03,N/A,N/A,N/A,0.00,N/A,-0.00,0.38,N/A,0.11,0.03,N/A,0.17,1,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
