1,0.01,0.09,0.30,0.33,0.21,N/A,0.10,0.10,0.04,0.04,0.11,0.19,0.02,0.19,0.17,N/A,0.10,0.15
0.01,1,0.01,0.02,0.06,0.05,N/A,0.04,0.05,-0.04,0.06,0.03,0.04,0.00,0.20,0.02,N/A,0.01,0.04
0.09,0.01,1,0.35,0.45,0.39,N/A,0.19,0.20,0.13,0.11,0.45,0.40,0.22,0.23,0.37,N/A,0.15,0.42
0.30,0.02,0.35,1,0.56,0.41,N/A,0.31,0.22,-0.00,0.19,0.46,0.48,0.25,0.28,0.43,N/A,0.18,0.40
0.33,0.06,0.45,0.56,1,0.77,N/A,0.42,0.28,0.08,0.11,0.63,0.75,0.29,0.45,0.58,N/A,0.26,0.53
0.21,0.05,0.39,0.41,0.77,1,N/A,0.41,0.29,0.03,0.15,0.53,0.72,0.32,0.29,0.41,N/A,0.25,0.53
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.10,0.04,0.19,0.31,0.42,0.41,N/A,1,0.05,-0.04,0.02,0.21,0.33,0.21,0.23,0.27,N/A,0.31,0.16
0.10,0.05,0.20,0.22,0.28,0.29,N/A,0.05,1,-0.12,0.22,0.46,0.38,0.10,0.06,0.12,N/A,0.06,0.49
0.04,-0.04,0.13,-0.00,0.08,0.03,N/A,-0.04,-0.12,1,0.03,0.14,0.02,0.12,0.08,0.08,N/A,0.07,0.05
0.04,0.06,0.11,0.19,0.11,0.15,N/A,0.02,0.22,0.03,1,0.20,0.18,0.04,0.04,0.23,N/A,0.03,0.17
0.11,0.03,0.45,0.46,0.63,0.53,N/A,0.21,0.46,0.14,0.20,1,0.56,0.28,0.22,0.44,N/A,0.13,0.57
0.19,0.04,0.40,0.48,0.75,0.72,N/A,0.33,0.38,0.02,0.18,0.56,1,0.23,0.29,0.40,N/A,0.17,0.60
0.02,0.00,0.22,0.25,0.29,0.32,N/A,0.21,0.10,0.12,0.04,0.28,0.23,1,0.19,0.24,N/A,0.15,0.19
0.19,0.20,0.23,0.28,0.45,0.29,N/A,0.23,0.06,0.08,0.04,0.22,0.29,0.19,1,0.30,N/A,0.19,0.19
0.17,0.02,0.37,0.43,0.58,0.41,N/A,0.27,0.12,0.08,0.23,0.44,0.40,0.24,0.30,1,N/A,0.24,0.27
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.10,0.01,0.15,0.18,0.26,0.25,N/A,0.31,0.06,0.07,0.03,0.13,0.17,0.15,0.19,0.24,N/A,1,0.09
0.15,0.04,0.42,0.40,0.53,0.53,N/A,0.16,0.49,0.05,0.17,0.57,0.60,0.19,0.19,0.27,N/A,0.09,1
