1,0.09,0.05,-0.01,0.12,-0.02,-0.00,0.02,N/A,-0.06,0.00,0.01,0.01,0.07,0.05,0.04,0.09,0.11,N/A,0.05,N/A,0.05,-0.01,N/A,0.02,0.09,N/A,-0.03,0.01,N/A,0.04,-0.06,0.01,0.05,N/A,0.02,0.03,0.04,-0.01,0.27,0.10,N/A,0.08,0.09
0.09,1,0.20,0.25,0.86,0.26,0.16,0.34,N/A,0.14,0.16,0.31,0.49,0.26,0.61,0.26,0.91,0.46,N/A,0.30,N/A,0.39,0.21,N/A,0.46,0.63,N/A,0.17,0.11,N/A,0.29,0.24,0.06,0.66,N/A,0.64,0.25,0.23,0.18,0.82,0.14,N/A,0.81,0.31
0.05,0.20,1,0.04,0.20,-0.01,-0.04,0.06,N/A,0.14,0.03,0.12,0.07,0.06,0.11,0.10,0.19,0.09,N/A,0.08,N/A,0.13,0.13,N/A,0.09,0.05,N/A,0.19,0.04,N/A,0.07,0.04,0.00,0.12,N/A,0.15,0.03,0.25,0.06,0.21,0.13,N/A,0.19,0.19
-0.01,0.25,0.04,1,0.25,0.25,0.08,0.03,N/A,0.10,0.04,0.07,0.29,0.01,0.09,-0.00,0.27,0.08,N/A,0.02,N/A,0.12,0.04,N/A,0.26,0.17,N/A,0.03,0.02,N/A,0.10,0.11,0.01,0.09,N/A,0.16,0.04,-0.03,0.11,0.20,0.02,N/A,0.21,0.14
0.12,0.86,0.20,0.25,1,0.20,0.17,0.35,N/A,0.16,0.13,0.41,0.44,0.22,0.63,0.31,0.93,0.43,N/A,0.26,N/A,0.42,0.28,N/A,0.39,0.41,N/A,0.14,0.12,N/A,0.29,0.22,0.06,0.63,N/A,0.41,0.31,0.28,0.21,0.90,0.19,N/A,0.89,0.31
-0.02,0.26,-0.01,0.25,0.20,1,-0.01,0.01,N/A,0.01,0.01,0.03,0.22,0.00,0.06,-0.00,0.25,0.09,N/A,0.03,N/A,0.07,0.02,N/A,0.47,0.29,N/A,0.03,0.00,N/A,-0.00,0.22,0.01,0.06,N/A,0.27,0.02,-0.00,0.06,0.16,-0.01,N/A,0.13,0.00
-0.00,0.16,-0.04,0.08,0.17,-0.01,1,0.07,N/A,-0.00,-0.02,0.07,0.05,0.09,0.23,0.02,0.17,0.16,N/A,0.05,N/A,0.04,0.02,N/A,0.16,0.02,N/A,-0.09,0.02,N/A,0.04,0.00,0.04,0.25,N/A,0.04,0.08,0.10,0.11,0.17,0.10,N/A,0.20,0.13
0.02,0.34,0.06,0.03,0.35,0.01,0.07,1,N/A,0.04,0.02,0.21,0.09,0.15,0.27,0.13,0.33,0.23,N/A,0.07,N/A,0.18,0.07,N/A,0.11,0.13,N/A,0.02,-0.00,N/A,0.15,0.19,-0.01,0.30,N/A,0.15,0.38,0.22,0.06,0.40,0.13,N/A,0.40,0.21
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
-0.06,0.14,0.14,0.10,0.16,0.01,-0.00,0.04,N/A,1,0.01,0.09,0.12,0.23,0.12,0.09,0.14,0.10,N/A,0.07,N/A,0.07,0.13,N/A,-0.02,0.12,N/A,0.11,0.09,N/A,0.04,0.06,0.00,0.12,N/A,0.00,0.02,0.10,-0.03,0.14,-0.08,N/A,0.12,0.10
