1,N/A,N/A,0.02,0.54,0.03,0.04,0.06,0.05,N/A,N/A,N/A,0.00,0.55,0.05,0.23,0.11,0.09,N/A,N/A,N/A,0.11,0.02,0.17,0.04,N/A,-0.02,0.11,N/A,N/A,0.03,0.24,0.14,0.28,0.07,0.02,0.04,-0.01,N/A,N/A,0.17,0.11,0.04,0.08,N/A,0.32,0.05,-0.00,N/A,0.09,N/A,0.11,N/A,0.27,0.01,0.10
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.02,N/A,N/A,1,0.12,0.20,-0.02,0.10,0.02,N/A,N/A,N/A,-0.01,-0.02,0.24,-0.05,0.03,0.14,N/A,N/A,N/A,0.02,-0.07,0.27,0.21,N/A,-0.01,0.21,N/A,N/A,0.01,0.15,0.01,0.03,0.07,0.23,0.06,0.27,N/A,N/A,0.01,0.21,0.09,0.10,N/A,0.02,0.23,-0.01,N/A,0.21,N/A,-0.01,N/A,0.04,0.27,0.19
0.54,N/A,N/A,0.12,1,0.13,0.04,0.01,0.09,N/A,N/A,N/A,0.09,0.50,0.05,0.10,0.12,0.15,N/A,N/A,N/A,0.12,0.02,0.18,0.12,N/A,-0.00,0.20,N/A,N/A,0.10,0.28,0.12,0.30,0.09,0.05,0.03,0.03,N/A,N/A,0.18,0.20,0.11,0.19,N/A,0.18,0.19,-0.06,N/A,0.24,N/A,0.06,N/A,0.29,0.12,0.19
0.03,N/A,N/A,0.20,0.13,1,-0.00,0.16,0.02,N/A,N/A,N/A,0.13,0.07,0.15,-0.00,0.07,0.17,N/A,N/A,N/A,0.08,0.04,0.23,0.32,N/A,0.06,0.43,N/A,N/A,0.23,0.37,0.08,0.10,0.16,0.45,0.01,0.41,N/A,N/A,0.04,0.43,0.34,0.03,N/A,0.00,0.42,-0.00,N/A,0.45,N/A,-0.04,N/A,0.24,0.33,0.28
0.04,N/A,N/A,-0.02,0.04,-0.00,1,0.04,-0.05,N/A,N/A,N/A,0.01,0.12,0.04,0.02,-0.00,0.12,N/A,N/A,N/A,0.00,0.03,0.00,0.03,N/A,-0.00,0.00,N/A,N/A,0.00,0.05,-0.01,-0.01,0.07,-0.01,-0.05,0.01,N/A,N/A,-0.04,0.00,0.03,0.03,N/A,0.02,0.03,-0.06,N/A,-0.01,N/A,-0.03,N/A,0.13,0.01,0.05
0.06,N/A,N/A,0.10,0.01,0.16,0.04,1,0.06,N/A,N/A,N/A,0.04,0.06,-0.00,0.05,-0.01,0.02,N/A,N/A,N/A,0.05,-0.06,-0.00,0.01,N/A,0.02,0.08,N/A,N/A,0.01,-0.01,0.02,-0.03,0.01,0.03,0.01,0.01,N/A,N/A,-0.04,0.08,0.06,-0.05,N/A,0.06,0.11,0.11,N/A,0.04,N/A,0.09,N/A,0.05,-0.01,0.04
0.05,N/A,N/A,0.02,0.09,0.02,-0.05,0.06,1,N/A,N/A,N/A,-0.01,0.01,0.02,0.03,-0.00,0.01,N/A,N/A,N/A,0.01,-0.03,0.02,0.06,N/A,0.02,0.02,N/A,N/A,0.11,0.05,0.03,0.03,0.07,-0.01,-0.03,-0.00,N/A,N/A,0.03,0.02,-0.01,0.02,N/A,0.01,0.13,0.09,N/A,0.04,N/A,0.17,N/A,0.02,0.02,0.05
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
