1,0.18,0.34,0.18,0.17,0.41,0.54,0.24,0.06,0.54,0.03
0.18,1,0.05,0.11,0.14,0.04,0.16,0.02,0.22,0.23,-0.02
0.34,0.05,1,0.05,0.02,0.15,0.28,0.05,0.07,0.33,0.03
0.18,0.11,0.05,1,0.02,0.06,0.13,0.02,0.08,0.15,0.07
0.17,0.14,0.02,0.02,1,0.07,0.25,0.01,0.00,0.14,-0.00
0.41,0.04,0.15,0.06,0.07,1,0.19,0.32,-0.01,0.29,0.10
0.54,0.16,0.28,0.13,0.25,0.19,1,0.04,0.04,0.49,-0.01
0.24,0.02,0.05,0.02,0.01,0.32,0.04,1,0.04,0.15,0.07
0.06,0.22,0.07,0.08,0.00,-0.01,0.04,0.04,1,0.10,-0.03
0.54,0.23,0.33,0.15,0.14,0.29,0.49,0.15,0.10,1,0.07
0.03,-0.02,0.03,0.07,-0.00,0.10,-0.01,0.07,-0.03,0.07,1
