1,0.27,0.43,0.46,0.08,0.17,0.04,N/A,0.17,0.15,0.20,0.24,0.46,0.25,0.16,0.06,0.24,0.60,N/A,0.26,N/A,0.30,N/A,N/A,N/A,N/A,0.52,N/A,N/A,N/A,0.03,0.40,N/A
0.27,1,0.14,0.17,0.03,0.01,0.00,N/A,0.07,0.05,0.02,0.09,0.13,0.16,0.04,-0.00,0.10,0.22,N/A,0.16,N/A,0.16,N/A,N/A,N/A,N/A,0.17,N/A,N/A,N/A,-0.05,0.16,N/A
0.43,0.14,1,0.33,-0.07,0.12,0.02,N/A,0.24,0.19,0.17,0.29,0.20,0.78,0.18,-0.01,0.22,0.37,N/A,0.78,N/A,0.33,N/A,N/A,N/A,N/A,0.32,N/A,N/A,N/A,0.14,0.35,N/A
0.46,0.17,0.33,1,0.03,-0.02,0.05,N/A,0.35,0.08,0.18,0.16,0.23,0.30,0.06,0.03,0.19,0.36,N/A,0.30,N/A,0.45,N/A,N/A,N/A,N/A,0.34,N/A,N/A,N/A,0.01,0.29,N/A
0.08,0.03,-0.07,0.03,1,0.04,-0.06,N/A,0.06,-0.03,-0.04,0.08,0.07,-0.09,0.00,-0.08,0.08,0.02,N/A,-0.10,N/A,0.09,N/A,N/A,N/A,N/A,0.05,N/A,N/A,N/A,0.08,0.00,N/A
0.17,0.01,0.12,-0.02,0.04,1,0.10,N/A,0.03,-0.03,-0.04,0.11,0.01,0.08,-0.01,-0.12,0.02,0.09,N/A,0.09,N/A,0.06,N/A,N/A,N/A,N/A,0.11,N/A,N/A,N/A,0.03,0.16,N/A
0.04,0.00,0.02,0.05,-0.06,0.10,1,N/A,0.02,0.00,-0.05,-0.00,0.04,0.04,0.02,0.02,0.04,0.05,N/A,0.04,N/A,0.02,N/A,N/A,N/A,N/A,0.05,N/A,N/A,N/A,0.04,0.05,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.17,0.07,0.24,0.35,0.06,0.03,0.02,N/A,1,0.23,0.20,0.05,0.18,0.22,0.05,-0.05,0.05,0.27,N/A,0.22,N/A,0.23,N/A,N/A,N/A,N/A,0.17,N/A,N/A,N/A,-0.01,0.29,N/A
0.15,0.05,0.19,0.08,-0.03,-0.03,0.00,N/A,0.23,1,0.04,-0.00,0.04,0.09,0.03,0.04,0.01,0.04,N/A,0.10,N/A,0.04,N/A,N/A,N/A,N/A,0.08,N/A,N/A,N/A,-0.00,0.07,N/A
0.20,0.02,0.17,0.18,-0.04,-0.04,-0.05,N/A,0.20,0.04,1,0.04,0.19,0.07,-0.03,0.00,0.02,0.24,N/A,0.07,N/A,0.17,N/A,N/A,N/A,N/A,0.13,N/A,N/A,N/A,0.10,0.15,N/A
0.24,0.09,0.29,0.16,0.08,0.11,-0.00,N/A,0.05,-0.00,0.04,1,0.14,0.20,0.07,-0.13,0.12,0.17,N/A,0.20,N/A,0.18,N/A,N/A,N/A,N/A,0.04,N/A,N/A,N/A,0.02,0.14,N/A
0.46,0.13,0.20,0.23,0.07,0.01,0.04,N/A,0.18,0.04,0.19,0.14,1,0.12,0.06,-0.01,0.16,0.36,N/A,0.13,N/A,0.12,N/A,N/A,N/A,N/A,0.27,N/A,N/A,N/A,0.03,0.23,N/A
0.25,0.16,0.78,0.30,-0.09,0.08,0.04,N/A,0.22,0.09,0.07,0.20,0.12,1,0.06,-0.03,0.16,0.20,N/A,1.00,N/A,0.36,N/A,N/A,N/A,N/A,0.18,N/A,N/A,N/A,0.03,0.30,N/A
0.16,0.04,0.18,0.06,0.00,-0.01,0.02,N/A,0.05,0.03,-0.03,0.07,0.06,0.06,1,0.03,0.04,0.15,N/A,0.06,N/A,0.07,N/A,N/A,N/A,N/A,0.13,N/A,N/A,N/A,-0.03,0.14,N/A
0.06,-0.00,-0.01,0.03,-0.08,-0.12,0.02,N/A,-0.05,0.04,0.00,-0.13,-0.01,-0.03,0.03,1,0.02,0.01,N/A,-0.03,N/A,-0.03,N/A,N/A,N/A,N/A,0.06,N/A,N/A,N/A,-0.12,0.03,N/A
0.24,0.10,0.22,0.19,0.08,0.02,0.04,N/A,0.05,0.01,0.02,0.12,0.16,0.16,0.04,0.02,1,0.20,N/A,0.17,N/A,0.25,N/A,N/A,N/A,N/A,0.19,N/A,N/A,N/A,-0.05,0.21,N/A
0.60,0.22,0.37,0.36,0.02,0.09,0.05,N/A,0.27,0.04,0.24,0.17,0.36,0.20,0.15,0.01,0.20,1,N/A,0.20,N/A,0.24,N/A,N/A,N/A,N/A,0.54,N/A,N/A,N/A,0.01,0.37,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.26,0.16,0.78,0.30,-0.10,0.09,0.04,N/A,0.22,0.10,0.07,0.20,0.13,1.00,0.06,-0.03,0.17,0.20,N/A,1,N/A,0.36,N/A,N/A,N/A,N/A,0.19,N/A,N/A,N/A,0.02,0.30,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.30,0.16,0.33,0.45,0.09,0.06,0.02,N/A,0.23,0.04,0.17,0.18,0.12,0.36,0.07,-0.03,0.25,0.24,N/A,0.36,N/A,1,N/A,N/A,N/A,N/A,0.21,N/A,N/A,N/A,-0.00,0.40,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.52,0.17,0.32,0.34,0.05,0.11,0.05,N/A,0.17,0.08,0.13,0.04,0.27,0.18,0.13,0.06,0.19,0.54,N/A,0.19,N/A,0.21,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,0.02,0.45,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.03,-0.05,0.14,0.01,0.08,0.03,0.04,N/A,-0.01,-0.00,0.10,0.02,0.03,0.03,-0.03,-0.12,-0.05,0.01,N/A,0.02,N/A,-0.00,N/A,N/A,N/A,N/A,0.02,N/A,N/A,N/A,1,-0.03,N/A
0.40,0.16,0.35,0.29,0.00,0.16,0.05,N/A,0.29,0.07,0.15,0.14,0.23,0.30,0.14,0.03,0.21,0.37,N/A,0.30,N/A,0.40,N/A,N/A,N/A,N/A,0.45,N/A,N/A,N/A,-0.03,1,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
