1,N/A,N/A,0.02,N/A,0.02,0.00,0.21,0.05,0.04,0.07,-0.02,0.02,-0.01,-0.02,-0.17,0.03,0.05,-0.02,0.03,0.20,0.02,N/A,0.00,0.02,N/A,N/A,N/A,0.03,-0.00,-0.08,N/A,0.01,0.06,0.08,0.02,-0.04,N/A,0.02,0.01,0.01,0.07,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.02,N/A,N/A,1,N/A,0.21,0.41,0.33,0.25,-0.01,0.06,0.22,0.19,0.04,0.05,0.09,0.11,0.06,0.02,0.01,0.01,0.04,N/A,0.00,0.05,N/A,N/A,N/A,0.14,0.08,0.07,N/A,0.14,0.18,0.17,0.06,0.15,N/A,0.38,0.08,0.25,0.13,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.02,N/A,N/A,0.21,N/A,1,0.15,0.22,0.25,-0.04,0.07,0.10,0.28,0.11,0.30,0.00,0.33,0.17,0.03,0.13,0.01,0.13,N/A,0.03,0.00,N/A,N/A,N/A,0.15,0.21,0.03,N/A,0.36,0.28,0.14,0.14,0.19,N/A,0.43,0.34,0.28,0.17,N/A
0.00,N/A,N/A,0.41,N/A,0.15,1,0.37,0.16,0.02,0.09,0.15,0.20,0.22,0.18,0.10,0.24,0.14,0.03,0.03,-0.05,0.23,N/A,-0.00,0.10,N/A,N/A,N/A,0.02,0.09,0.12,N/A,0.19,0.16,0.31,0.10,0.12,N/A,0.36,0.04,0.29,0.13,N/A
0.21,N/A,N/A,0.33,N/A,0.22,0.37,1,0.15,0.01,0.01,0.15,0.09,0.25,0.15,0.27,0.23,0.09,-0.03,0.01,0.06,0.05,N/A,0.07,0.06,N/A,N/A,N/A,0.11,0.07,0.17,N/A,0.27,0.02,0.14,0.14,0.19,N/A,0.41,0.17,0.20,0.46,N/A
0.05,N/A,N/A,0.25,N/A,0.25,0.16,0.15,1,-0.05,0.04,0.11,0.23,0.10,0.35,0.04,0.21,0.16,-0.03,0.02,-0.02,0.10,N/A,0.04,0.06,N/A,N/A,N/A,0.01,0.03,0.04,N/A,0.12,0.14,0.16,0.19,0.04,N/A,0.16,0.04,0.28,0.14,N/A
0.04,N/A,N/A,-0.01,N/A,-0.04,0.02,0.01,-0.05,1,0.08,0.05,0.06,0.46,-0.00,-0.02,0.04,0.02,-0.03,0.02,0.03,-0.04,N/A,-0.03,0.03,N/A,N/A,N/A,0.02,-0.00,-0.01,N/A,0.05,0.03,-0.03,-0.07,-0.05,N/A,0.01,-0.08,0.02,0.00,N/A
