N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.01,0.17,0.01,N/A,0.03,-0.01,0.02,N/A,0.26,0.10,0.12,0.07,0.05,-0.01,N/A,1,0.36,-0.03,N/A,0.03,0.00,N/A,0.02,0.11,0.03,0.04,-0.02,-0.03,-0.03,N/A,0.03,0.07,N/A,0.07,N/A,0.11,0.00,-0.02,0.07,0.02,0.03,N/A,0.01,0.02,0.08,N/A,0.14
0.00,0.11,0.14,N/A,0.03,0.01,0.02,N/A,0.53,0.12,0.18,0.19,0.05,0.01,N/A,0.36,1,0.08,N/A,0.01,0.01,N/A,0.12,0.13,0.01,0.04,0.04,0.10,0.03,N/A,0.03,0.13,N/A,0.03,N/A,0.12,0.01,-0.01,0.10,0.06,0.18,N/A,0.05,0.07,0.16,N/A,0.02
0.11,0.03,0.11,N/A,0.06,0.01,-0.01,N/A,0.01,0.09,0.29,0.00,0.00,-0.03,N/A,-0.03,0.08,1,N/A,0.04,0.00,N/A,0.05,0.09,-0.03,-0.05,0.01,0.20,0.05,N/A,0.01,0.08,N/A,0.03,N/A,0.01,0.07,0.02,0.06,-0.00,0.07,N/A,0.17,0.07,-0.02,N/A,0.01
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.14,0.05,0.07,N/A,0.18,0.04,0.08,N/A,0.10,0.17,0.05,0.08,-0.02,0.07,N/A,0.03,0.01,0.04,N/A,1,0.15,N/A,0.06,0.04,0.14,0.13,-0.02,0.13,0.01,N/A,0.01,-0.00,N/A,0.04,N/A,0.22,0.13,0.03,0.06,0.01,0.13,N/A,-0.01,0.24,0.03,N/A,0.07
-0.05,0.09,0.02,N/A,0.13,0.03,0.01,N/A,0.06,0.20,0.17,0.16,0.00,0.25,N/A,0.00,0.01,0.00,N/A,0.15,1,N/A,0.03,0.04,0.29,0.08,0.01,0.11,0.00,N/A,0.00,0.10,N/A,0.05,N/A,0.08,0.22,0.06,0.09,0.02,0.14,N/A,0.07,0.04,0.01,N/A,0.03
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.17,0.13,0.03,N/A,0.31,0.06,0.04,N/A,0.14,0.19,0.12,0.11,0.08,0.07,N/A,0.02,0.12,0.05,N/A,0.06,0.03,N/A,1,0.29,0.05,0.09,0.03,0.36,0.02,N/A,0.10,0.10,N/A,0.14,N/A,0.44,0.06,0.04,0.17,0.15,0.13,N/A,0.32,0.08,0.07,N/A,0.15
0.12,0.27,0.19,N/A,0.28,0.02,0.09,N/A,0.17,0.25,0.19,0.18,0.21,0.07,N/A,0.11,0.13,0.09,N/A,0.04,0.04,N/A,0.29,1,0.06,0.08,0.04,0.31,0.07,N/A,0.22,0.27,N/A,0.17,N/A,0.23,0.23,0.08,0.30,0.56,0.18,N/A,0.21,0.23,0.05,N/A,0.34
