N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,1,0.02,N/A,0.00,0.02,0.03,0.00,N/A,0.01,0.01,-0.01,0.01,0.01,0.12,0.03,0.00,0.00,0.03,0.02,-0.00,N/A,N/A,0.07,N/A,-0.00,0.01,0.01,0.03,0.02,0.01,0.02,N/A,-0.05,0.30,0.05,0.58,0.03,0.00,0.39,0.01
N/A,0.02,1,N/A,0.43,0.07,0.35,0.09,N/A,0.32,0.38,0.15,0.24,0.04,0.07,0.22,0.46,0.01,0.24,0.44,0.47,N/A,N/A,0.25,N/A,0.06,0.21,0.46,0.52,0.20,0.16,0.15,N/A,0.14,0.14,0.39,0.06,0.36,0.42,0.01,0.28
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.00,0.43,N/A,1,0.04,0.29,0.01,N/A,0.22,0.27,0.25,0.16,0.03,0.04,0.17,0.31,-0.00,0.18,0.29,0.31,N/A,N/A,0.11,N/A,0.00,0.08,0.34,0.46,0.06,0.07,0.14,N/A,0.05,0.04,0.28,0.01,0.26,0.26,0.01,0.21
N/A,0.02,0.07,N/A,0.04,1,0.05,0.00,N/A,0.09,0.06,-0.02,0.23,0.01,0.22,0.00,0.08,-0.00,0.01,0.05,0.12,N/A,N/A,0.13,N/A,0.07,0.16,0.01,0.14,0.30,0.06,0.03,N/A,0.04,0.22,0.12,0.15,0.01,0.10,0.22,0.08
N/A,0.03,0.35,N/A,0.29,0.05,1,0.10,N/A,0.26,0.60,0.09,0.19,0.03,0.03,0.16,0.35,0.22,0.32,0.60,0.43,N/A,N/A,0.18,N/A,0.00,0.13,0.49,0.30,0.11,0.10,0.28,N/A,0.05,0.16,0.42,0.04,0.38,0.26,0.01,0.33
N/A,0.00,0.09,N/A,0.01,0.00,0.10,1,N/A,0.15,0.09,-0.03,0.15,0.03,-0.03,0.10,0.23,0.04,0.04,0.09,0.06,N/A,N/A,0.06,N/A,-0.07,0.04,0.12,0.02,0.05,-0.00,0.18,N/A,0.23,0.10,0.13,0.05,0.03,0.18,0.07,0.05
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.01,0.32,N/A,0.22,0.09,0.26,0.15,N/A,1,0.22,0.10,0.30,-0.00,0.05,0.07,0.23,0.04,0.07,0.25,0.35,N/A,N/A,0.16,N/A,-0.08,0.10,0.17,0.43,0.08,0.08,0.23,N/A,0.12,0.06,0.21,0.05,0.22,0.14,0.04,0.31
N/A,0.01,0.38,N/A,0.27,0.06,0.60,0.09,N/A,0.22,1,0.21,0.27,0.03,0.04,0.12,0.39,0.07,0.23,0.90,0.44,N/A,N/A,0.12,N/A,0.03,0.11,0.49,0.34,0.20,0.04,0.18,N/A,0.10,0.05,0.34,0.00,0.33,0.42,0.02,0.67
N/A,-0.01,0.15,N/A,0.25,-0.02,0.09,-0.03,N/A,0.10,0.21,1,0.06,0.00,-0.02,0.02,0.07,0.03,0.05,0.18,0.06,N/A,N/A,0.04,N/A,0.02,-0.05,0.07,0.15,0.02,0.05,0.08,N/A,-0.12,-0.01,0.11,0.00,0.16,0.07,-0.00,0.25
N/A,0.01,0.24,N/A,0.16,0.23,0.19,0.15,N/A,0.30,0.27,0.06,1,0.01,0.14,0.05,0.31,0.00,0.09,0.24,0.20,N/A,N/A,0.08,N/A,0.02,0.14,0.17,0.23,0.12,0.04,0.14,N/A,0.23,0.16,0.23,0.08,0.16,0.25,0.40,0.29
N/A,0.01,0.04,N/A,0.03,0.01,0.03,0.03,N/A,-0.00,0.03,0.00,0.01,1,-0.00,-0.00,0.04,-0.01,0.01,0.04,0.02,N/A,N/A,0.00,N/A,0.01,0.44,0.04,0.03,-0.02,0.04,0.01,N/A,-0.02,0.02,0.01,0.04,0.02,0.03,0.01,0.01
N/A,0.12,0.07,N/A,0.04,0.22,0.03,-0.03,N/A,0.05,0.04,-0.02,0.14,-0.00,1,0.04,0.06,-0.00,0.04,0.02,0.07,N/A,N/A,0.11,N/A,0.02,0.29,0.02,0.11,0.11,0.05,0.02,N/A,0.05,0.10,0.08,0.15,0.03,0.06,0.20,0.04
N/A,0.03,0.22,N/A,0.17,0.00,0.16,0.10,N/A,0.07,0.12,0.02,0.05,-0.00,0.04,1,0.15,0.12,0.15,0.14,0.17,N/A,N/A,0.13,N/A,0.05,0.03,0.24,0.18,0.01,0.03,0.23,N/A,0.02,0.05,0.16,0.03,0.17,0.11,0.01,0.05
N/A,0.00,0.46,N/A,0.31,0.08,0.35,0.23,N/A,0.23,0.39,0.07,0.31,0.04,0.06,0.15,1,0.09,0.24,0.42,0.42,N/A,N/A,0.22,N/A,0.10,0.12,0.39,0.39,0.16,0.22,0.27,N/A,0.38,0.15,0.38,0.05,0.30,0.35,0.04,0.24
N/A,0.00,0.01,N/A,-0.00,-0.00,0.22,0.04,N/A,0.04,0.07,0.03,0.00,-0.01,-0.00,0.12,0.09,1,0.23,0.05,0.09,N/A,N/A,0.35,N/A,0.01,0.01,0.16,0.04,0.19,-0.00,0.42,N/A,-0.03,0.20,0.32,0.00,0.37,-0.01,0.00,0.00
N/A,0.03,0.24,N/A,0.18,0.01,0.32,0.04,N/A,0.07,0.23,0.05,0.09,0.01,0.04,0.15,0.24,0.23,1,0.23,0.28,N/A,N/A,0.30,N/A,0.12,0.07,0.43,0.24,0.13,0.04,0.11,N/A,0.13,0.07,0.27,0.01,0.35,0.19,-0.01,0.06
N/A,0.02,0.44,N/A,0.29,0.05,0.60,0.09,N/A,0.25,0.90,0.18,0.24,0.04,0.02,0.14,0.42,0.05,0.23,1,0.46,N/A,N/A,0.13,N/A,0.01,0.12,0.57,0.37,0.19,0.06,0.17,N/A,0.13,0.05,0.35,0.01,0.36,0.45,0.02,0.60
N/A,-0.00,0.47,N/A,0.31,0.12,0.43,0.06,N/A,0.35,0.44,0.06,0.20,0.02,0.07,0.17,0.42,0.09,0.28,0.46,1,N/A,N/A,0.25,N/A,-0.01,0.12,0.49,0.41,0.28,-0.00,0.22,N/A,0.28,0.14,0.34,0.03,0.41,0.34,0.04,0.35
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.07,0.25,N/A,0.11,0.13,0.18,0.06,N/A,0.16,0.12,0.04,0.08,0.00,0.11,0.13,0.22,0.35,0.30,0.13,0.25,N/A,N/A,1,N/A,0.04,0.11,0.16,0.22,0.21,0.00,0.31,N/A,0.04,0.21,0.39,0.02,0.32,0.13,0.01,0.07
