N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,1,0.18,N/A,0.03,0.04,0.06,N/A,0.08,0.04,0.00,0.13,0.19,0.02,0.06,N/A,0.22,0.38,0.00,-0.03,0.13,N/A,N/A,-0.03,0.08,N/A,0.21,0.01,N/A,0.08,0.11,0.06,0.00,0.05,0.04,0.00,0.24,0.20,0.05,0.03,0.15,N/A
N/A,0.18,1,N/A,0.06,0.08,0.09,N/A,0.12,0.02,0.09,0.04,0.32,0.04,0.11,N/A,0.39,0.16,0.07,-0.04,0.39,N/A,N/A,0.13,0.11,N/A,0.83,0.14,N/A,-0.01,0.20,0.06,0.00,0.27,0.11,0.04,0.25,0.23,0.27,-0.02,0.12,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.03,0.06,N/A,1,0.11,0.02,N/A,0.02,-0.01,0.01,0.15,0.07,0.12,-0.01,N/A,0.21,-0.02,0.03,0.08,0.11,N/A,N/A,0.06,0.11,N/A,0.15,0.03,N/A,-0.03,0.07,0.03,-0.06,-0.03,0.03,0.00,0.07,0.05,-0.03,0.64,0.07,N/A
N/A,0.04,0.08,N/A,0.11,1,-0.06,N/A,-0.01,0.00,-0.03,0.36,0.05,0.62,0.01,N/A,0.14,0.04,0.10,0.03,0.07,N/A,N/A,0.06,0.39,N/A,0.13,0.07,N/A,-0.05,0.00,0.01,-0.02,0.01,-0.02,0.03,0.01,0.04,0.01,0.00,0.01,N/A
N/A,0.06,0.09,N/A,0.02,-0.06,1,N/A,0.03,0.06,0.08,0.04,0.04,0.01,0.03,N/A,0.24,0.01,0.01,-0.00,0.20,N/A,N/A,0.04,0.11,N/A,0.13,0.08,N/A,-0.02,0.16,0.16,0.02,0.08,0.01,-0.03,0.11,0.18,0.08,0.06,0.01,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.08,0.12,N/A,0.02,-0.01,0.03,N/A,1,0.11,0.09,0.07,0.04,0.06,0.05,N/A,0.15,0.07,0.04,-0.01,0.18,N/A,N/A,0.18,0.02,N/A,0.11,0.03,N/A,0.05,-0.02,-0.02,0.01,0.18,-0.08,0.04,0.03,0.20,0.18,-0.04,0.09,N/A
N/A,0.04,0.02,N/A,-0.01,0.00,0.06,N/A,0.11,1,-0.08,0.09,0.08,0.05,0.16,N/A,0.09,-0.00,0.01,0.03,0.10,N/A,N/A,0.07,0.00,N/A,0.05,0.03,N/A,0.02,-0.02,-0.01,-0.05,0.05,0.01,-0.03,0.06,0.02,0.05,-0.05,0.02,N/A
