0.07,0.07,0.01,-0.01,0.12,0.08,0.02,0.08,0.15,N/A,1,0.02,N/A,0.07,-0.02,0.02,0.13,0.07,0.11,0.11,-0.06,N/A,N/A,0.16,0.09,0.11,-0.01,-0.03,0.10,N/A,N/A,0.13,0.12,0.03,0.03,0.03,0.12,-0.05,0.11,0.04,0.09,0.10,0.00,0.09,0.15,N/A,-0.04,0.12,-0.02,N/A,0.09,0.15,N/A,0.10,0.04,0.07,0.13,0.13,0.05,0.15,N/A,0.02,0.08,0.13,0.11,-0.03,0.04,N/A,0.15,0.10,0.06
0.08,0.01,0.03,-0.06,0.05,0.26,0.05,0.16,0.15,N/A,0.02,1,N/A,0.02,-0.07,-0.09,0.08,-0.01,0.07,0.06,-0.01,N/A,N/A,0.06,0.08,0.19,0.03,0.05,0.13,N/A,N/A,0.03,0.02,-0.03,0.02,0.01,-0.01,-0.02,0.13,0.02,0.06,0.15,0.01,0.08,0.02,N/A,-0.00,0.11,0.02,N/A,0.10,0.15,N/A,0.00,-0.00,0.02,0.05,0.03,0.01,0.15,N/A,0.04,0.08,0.18,0.19,0.06,0.02,N/A,0.04,0.21,0.01
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.09,0.06,0.46,0.01,0.52,0.36,0.06,-0.02,-0.00,N/A,0.07,0.02,N/A,1,0.02,0.02,0.62,0.14,0.01,0.11,0.05,N/A,N/A,0.01,0.06,0.01,0.10,0.14,0.00,N/A,N/A,0.02,0.39,0.03,0.02,0.00,0.16,0.03,0.01,0.10,-0.02,0.02,0.04,0.03,0.00,N/A,0.00,0.01,0.10,N/A,0.04,-0.00,N/A,-0.02,0.19,0.13,-0.02,-0.02,0.08,-0.00,N/A,0.00,0.04,0.04,-0.02,-0.03,0.17,N/A,-0.01,-0.00,0.14
0.23,-0.00,0.05,0.04,0.10,0.03,0.13,0.03,0.06,N/A,-0.02,-0.07,N/A,0.02,1,0.05,0.11,0.07,0.02,0.24,-0.04,N/A,N/A,0.03,0.19,0.07,0.01,0.00,0.02,N/A,N/A,0.03,0.13,0.09,0.06,0.07,0.09,0.05,0.04,0.01,0.04,0.06,0.03,0.03,0.06,N/A,-0.03,0.08,0.10,N/A,0.07,0.01,N/A,0.01,0.02,0.20,0.08,0.03,-0.02,0.01,N/A,0.05,0.03,0.11,0.01,0.04,0.02,N/A,0.05,0.06,0.07
0.12,-0.04,0.12,-0.07,0.13,0.01,-0.05,0.04,0.10,N/A,0.02,-0.09,N/A,0.02,0.05,1,0.04,0.08,0.06,0.16,0.04,N/A,N/A,0.13,0.10,0.08,0.04,-0.00,0.12,N/A,N/A,0.14,0.14,-0.04,-0.04,0.04,-0.04,0.17,0.08,0.17,0.04,0.10,0.07,0.11,0.11,N/A,0.03,0.11,0.04,N/A,0.05,0.05,N/A,0.11,0.00,0.14,0.10,0.11,0.03,0.05,N/A,0.02,0.06,0.14,0.10,0.09,0.03,N/A,0.12,0.10,0.06
0.13,0.03,0.31,0.02,0.42,0.36,0.14,0.14,0.15,N/A,0.13,0.08,N/A,0.62,0.11,0.04,1,0.19,0.15,0.22,0.07,N/A,N/A,0.18,0.12,0.14,0.09,0.18,0.16,N/A,N/A,0.17,0.33,0.03,0.01,-0.03,0.12,0.04,0.15,0.12,0.13,0.12,0.08,0.12,0.11,N/A,0.01,0.17,0.08,N/A,0.19,0.16,N/A,0.11,0.18,0.19,0.18,0.13,0.14,0.16,N/A,-0.06,0.01,0.22,0.16,-0.01,0.20,N/A,0.16,0.17,0.09
0.15,0.04,0.16,0.06,0.21,0.18,0.01,0.17,0.07,N/A,0.07,-0.01,N/A,0.14,0.07,0.08,0.19,1,0.17,0.29,0.07,N/A,N/A,0.07,0.22,0.08,0.03,0.13,0.17,N/A,N/A,0.16,0.12,0.08,0.03,0.07,0.17,0.15,0.08,0.10,0.15,0.11,0.07,0.12,0.07,N/A,0.06,0.16,0.16,N/A,0.12,0.10,N/A,0.06,0.29,0.24,0.11,0.14,0.11,0.10,N/A,-0.00,0.01,0.22,0.11,0.08,0.29,N/A,0.06,0.18,0.05
0.35,0.11,0.11,0.10,0.19,0.07,0.19,0.70,0.75,N/A,0.11,0.07,N/A,0.01,0.02,0.06,0.15,0.17,1,0.37,0.06,N/A,N/A,0.79,0.26,0.74,-0.00,0.10,0.71,N/A,N/A,0.74,0.11,0.00,-0.04,0.07,0.14,0.23,0.78,0.13,0.67,0.68,0.14,0.66,0.74,N/A,0.14,0.70,0.25,N/A,0.75,0.75,N/A,0.70,0.04,0.32,0.77,0.76,0.12,0.75,N/A,0.10,0.06,0.73,0.76,0.04,0.04,N/A,0.78,0.71,0.15
0.68,0.13,0.31,0.21,0.53,0.26,0.26,0.46,0.36,N/A,0.11,0.06,N/A,0.11,0.24,0.16,0.22,0.29,0.37,1,0.17,N/A,N/A,0.33,0.69,0.38,0.10,0.23,0.38,N/A,N/A,0.37,0.25,0.13,0.12,0.24,0.13,0.41,0.35,0.28,0.44,0.38,0.25,0.34,0.34,N/A,0.22,0.51,0.52,N/A,0.34,0.32,N/A,0.29,0.06,0.88,0.32,0.36,0.21,0.32,N/A,0.17,0.10,0.69,0.35,0.29,0.04,N/A,0.31,0.51,0.23
0.12,0.08,0.12,0.14,0.13,0.08,0.03,0.05,0.06,N/A,-0.06,-0.01,N/A,0.05,-0.04,0.04,0.07,0.07,0.06,0.17,1,N/A,N/A,-0.00,0.06,0.09,-0.01,0.12,0.06,N/A,N/A,0.01,0.06,0.03,0.07,0.08,0.02,0.07,0.06,0.05,0.00,0.09,0.01,0.06,0.03,N/A,0.05,-0.01,0.18,N/A,0.03,0.08,N/A,0.04,-0.03,0.14,-0.01,0.03,0.02,0.08,N/A,-0.02,0.04,0.12,0.07,0.02,-0.01,N/A,0.01,0.05,0.08
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.36,0.07,0.12,0.11,0.18,0.03,0.14,0.72,0.84,N/A,0.16,0.06,N/A,0.01,0.03,0.13,0.18,0.07,0.79,0.33,-0.00,N/A,N/A,1,0.18,0.79,-0.00,0.14,0.69,N/A,N/A,0.76,0.08,-0.03,-0.06,0.08,0.18,0.24,0.89,0.13,0.74,0.70,0.12,0.71,0.85,N/A,0.14,0.80,0.20,N/A,0.82,0.86,N/A,0.84,0.02,0.27,0.92,0.90,0.05,0.86,N/A,0.09,0.06,0.76,0.83,0.07,0.01,N/A,0.96,0.75,0.11
0.47,0.06,0.21,0.12,0.37,0.19,0.16,0.31,0.20,N/A,0.09,0.08,N/A,0.06,0.19,0.10,0.12,0.22,0.26,0.69,0.06,N/A,N/A,0.18,1,0.22,0.13,0.16,0.23,N/A,N/A,0.22,0.19,0.13,0.17,0.18,0.01,0.29,0.20,0.18,0.30,0.24,0.19,0.22,0.22,N/A,0.19,0.33,0.40,N/A,0.19,0.19,N/A,0.15,0.02,0.62,0.18,0.20,0.20,0.19,N/A,0.16,0.10,0.46,0.19,0.22,-0.02,N/A,0.16,0.33,0.11
0.38,0.10,0.11,0.07,0.19,0.04,0.14,0.73,0.95,N/A,0.11,0.19,N/A,0.01,0.07,0.08,0.14,0.08,0.74,0.38,0.09,N/A,N/A,0.79,0.22,1,0.02,0.13,0.71,N/A,N/A,0.67,0.11,-0.03,-0.04,0.11,0.16,0.18,0.91,0.10,0.64,0.82,0.09,0.65,0.73,N/A,0.13,0.69,0.24,N/A,0.75,0.83,N/A,0.68,0.00,0.32,0.76,0.79,0.09,0.83,N/A,0.15,0.06,0.79,0.82,0.08,0.00,N/A,0.77,0.77,0.14
0.11,-0.02,0.05,0.02,0.08,0.06,0.07,0.03,0.01,N/A,-0.01,0.03,N/A,0.10,0.01,0.04,0.09,0.03,-0.00,0.10,-0.01,N/A,N/A,-0.00,0.13,0.02,1,0.18,0.01,N/A,N/A,0.01,0.13,-0.00,-0.01,0.05,0.00,0.01,0.01,0.07,0.03,0.01,-0.01,0.01,0.01,N/A,0.07,0.02,0.06,N/A,-0.01,0.01,N/A,0.01,0.02,0.12,0.04,0.04,-0.02,0.01,N/A,-0.01,0.11,0.05,0.01,-0.02,0.02,N/A,0.02,0.02,0.01
0.14,0.05,0.35,0.21,0.35,0.08,0.10,0.12,0.12,N/A,-0.03,0.05,N/A,0.14,0.00,-0.00,0.18,0.13,0.10,0.23,0.12,N/A,N/A,0.14,0.16,0.13,0.18,1,0.09,N/A,N/A,0.10,0.12,-0.02,0.03,0.11,-0.02,0.11,0.15,0.10,0.14,0.09,0.13,0.09,0.14,N/A,0.14,0.16,0.13,N/A,0.14,0.14,N/A,0.16,0.04,0.24,0.13,0.14,0.02,0.14,N/A,-0.05,0.05,0.18,0.11,0.08,0.08,N/A,0.15,0.14,0.10
0.37,0.03,0.09,0.08,0.19,0.04,0.18,0.79,0.71,N/A,0.10,0.13,N/A,0.00,0.02,0.12,0.16,0.17,0.71,0.38,0.06,N/A,N/A,0.69,0.23,0.71,0.01,0.09,1,N/A,N/A,0.93,0.08,0.00,-0.04,0.09,0.14,0.18,0.69,0.10,0.60,0.63,0.13,0.56,0.61,N/A,0.10,0.63,0.20,N/A,0.68,0.72,N/A,0.56,0.10,0.32,0.67,0.68,0.15,0.72,N/A,0.11,0.07,0.85,0.89,0.11,0.10,N/A,0.68,0.82,0.15
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
