0.12,0.51,N/A,N/A,0.17,0.48,0.06,0.27,N/A,0.76,1,0.17,0.23,0.13,N/A,0.27,0.17,0.09,0.10,N/A,N/A,0.34,0.13,N/A,0.20,N/A,N/A,N/A,0.71,N/A,0.13,0.90,0.08,0.35,N/A,0.64,0.73,N/A,0.18,0.75,0.05,0.08,0.36,0.41,0.31,N/A,0.68,N/A,0.18,N/A,0.23,N/A,0.75,0.47,0.41,N/A,0.08,0.69,0.17,N/A,N/A,N/A,N/A,N/A
0.04,0.05,N/A,N/A,0.05,0.16,0.07,-0.00,N/A,0.18,0.17,1,0.28,0.02,N/A,0.05,0.18,-0.01,0.04,N/A,N/A,0.00,0.03,N/A,0.04,N/A,N/A,N/A,0.16,N/A,0.03,0.19,0.02,0.16,N/A,0.17,0.19,N/A,0.14,0.18,0.05,0.00,-0.01,0.09,0.20,N/A,0.20,N/A,0.01,N/A,0.13,N/A,0.18,0.14,0.16,N/A,0.00,0.20,-0.03,N/A,N/A,N/A,N/A,N/A
0.01,0.12,N/A,N/A,0.03,0.19,0.02,0.05,N/A,0.22,0.23,0.28,1,-0.04,N/A,0.03,0.06,-0.09,-0.01,N/A,N/A,0.06,0.02,N/A,0.05,N/A,N/A,N/A,0.22,N/A,0.02,0.23,0.18,0.07,N/A,0.18,0.25,N/A,0.07,0.21,0.62,0.08,0.05,0.14,0.18,N/A,0.24,N/A,0.14,N/A,0.17,N/A,0.21,0.17,0.20,N/A,0.08,0.20,0.06,N/A,N/A,N/A,N/A,N/A
0.06,0.01,N/A,N/A,0.03,0.07,-0.06,0.05,N/A,0.08,0.13,0.02,-0.04,1,N/A,-0.02,0.03,-0.06,0.05,N/A,N/A,0.05,0.01,N/A,-0.00,N/A,N/A,N/A,0.09,N/A,0.01,0.11,-0.06,0.02,N/A,0.06,0.08,N/A,0.04,0.10,-0.08,-0.04,0.03,-0.01,0.05,N/A,0.08,N/A,-0.00,N/A,0.03,N/A,0.10,0.10,0.17,N/A,-0.04,0.07,-0.04,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.04,0.16,N/A,N/A,0.10,0.18,0.06,0.24,N/A,0.22,0.27,0.05,0.03,-0.02,N/A,1,0.05,0.04,0.08,N/A,N/A,0.08,0.00,N/A,0.13,N/A,N/A,N/A,0.23,N/A,0.00,0.31,0.01,0.19,N/A,0.25,0.24,N/A,-0.03,0.32,0.03,-0.02,0.02,0.19,0.10,N/A,0.25,N/A,0.08,N/A,0.10,N/A,0.32,0.19,0.15,N/A,-0.02,0.29,0.02,N/A,N/A,N/A,N/A,N/A
0.02,0.05,N/A,N/A,0.06,0.11,-0.01,0.02,N/A,0.09,0.17,0.18,0.06,0.03,N/A,0.05,1,0.00,-0.00,N/A,N/A,0.12,-0.02,N/A,0.04,N/A,N/A,N/A,0.14,N/A,-0.02,0.13,0.26,0.07,N/A,0.17,0.15,N/A,-0.07,0.12,0.08,0.08,0.04,0.17,0.10,N/A,0.14,N/A,0.02,N/A,0.10,N/A,0.12,0.14,0.07,N/A,0.08,0.13,-0.01,N/A,N/A,N/A,N/A,N/A
-0.00,-0.01,N/A,N/A,0.01,0.09,0.03,0.06,N/A,0.10,0.09,-0.01,-0.09,-0.06,N/A,0.04,0.00,1,-0.00,N/A,N/A,0.00,0.07,N/A,0.04,N/A,N/A,N/A,0.18,N/A,0.07,0.14,0.02,0.07,N/A,0.14,0.17,N/A,-0.09,0.18,-0.11,0.14,0.09,0.09,0.09,N/A,0.16,N/A,0.02,N/A,0.12,N/A,0.18,0.25,0.09,N/A,0.14,0.08,0.05,N/A,N/A,N/A,N/A,N/A
-0.01,-0.06,N/A,N/A,0.04,0.05,0.05,-0.00,N/A,0.14,0.10,0.04,-0.01,0.05,N/A,0.08,-0.00,-0.00,1,N/A,N/A,0.06,0.03,N/A,0.03,N/A,N/A,N/A,0.09,N/A,0.03,0.16,0.19,-0.01,N/A,0.12,0.12,N/A,-0.04,0.09,0.00,0.05,-0.01,-0.03,0.06,N/A,0.14,N/A,0.06,N/A,0.03,N/A,0.09,0.12,0.03,N/A,0.05,0.12,0.02,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
