1,0.13,0.17,N/A,N/A,0.11,0.25,0.32,0.35,0.18,N/A,0.11,N/A,N/A,0.29,0.06,0.17,0.32,0.15,0.08,0.13,0.24,-0.01,0.07,N/A,N/A,0.17,N/A,N/A,N/A,N/A,N/A,0.18,N/A,0.08,0.02,N/A,0.01,0.15,N/A
0.13,1,0.22,N/A,N/A,0.12,0.08,0.09,0.40,0.20,N/A,0.19,N/A,N/A,0.11,0.11,0.01,0.14,0.09,0.06,0.26,0.17,0.08,0.01,N/A,N/A,0.01,N/A,N/A,N/A,N/A,N/A,0.11,N/A,0.08,0.04,N/A,0.06,0.23,N/A
0.17,0.22,1,N/A,N/A,0.14,0.04,0.04,0.33,0.08,N/A,0.09,N/A,N/A,0.17,0.02,0.07,0.06,0.18,0.05,0.17,0.05,0.11,-0.07,N/A,N/A,0.07,N/A,N/A,N/A,N/A,N/A,0.18,N/A,-0.00,0.05,N/A,0.07,0.05,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.11,0.12,0.14,N/A,N/A,1,-0.00,0.04,0.08,0.00,N/A,0.08,N/A,N/A,0.04,0.07,-0.02,0.00,-0.03,-0.01,0.07,0.02,-0.01,-0.00,N/A,N/A,-0.02,N/A,N/A,N/A,N/A,N/A,0.08,N/A,0.04,0.03,N/A,0.03,0.14,N/A
0.25,0.08,0.04,N/A,N/A,-0.00,1,0.14,0.16,0.11,N/A,0.18,N/A,N/A,0.07,0.02,0.03,0.14,0.06,-0.04,0.02,0.08,0.02,0.08,N/A,N/A,0.03,N/A,N/A,N/A,N/A,N/A,0.08,N/A,0.08,0.05,N/A,0.05,0.11,N/A
0.32,0.09,0.04,N/A,N/A,0.04,0.14,1,0.24,0.20,N/A,0.06,N/A,N/A,0.35,0.09,0.10,0.15,0.05,0.03,0.04,0.14,-0.01,0.28,N/A,N/A,0.10,N/A,N/A,N/A,N/A,N/A,0.13,N/A,0.07,-0.02,N/A,0.04,0.11,N/A
0.35,0.40,0.33,N/A,N/A,0.08,0.16,0.24,1,0.34,N/A,0.17,N/A,N/A,0.26,0.12,0.05,0.29,0.21,0.10,0.30,0.33,0.18,0.01,N/A,N/A,0.05,N/A,N/A,N/A,N/A,N/A,0.22,N/A,0.12,0.11,N/A,0.20,0.28,N/A
0.18,0.20,0.08,N/A,N/A,0.00,0.11,0.20,0.34,1,N/A,0.08,N/A,N/A,0.23,0.07,-0.12,0.19,0.14,0.04,0.20,0.22,0.05,0.02,N/A,N/A,-0.12,N/A,N/A,N/A,N/A,N/A,0.15,N/A,0.01,0.03,N/A,0.05,0.13,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
