1,0.07,0.18,0.11,0.16,N/A,0.12,0.07,N/A,N/A,0.08,0.17,N/A
0.07,1,0.08,0.00,-0.03,N/A,0.08,0.01,N/A,N/A,0.06,0.11,N/A
0.18,0.08,1,0.36,0.13,N/A,0.34,0.26,N/A,N/A,0.38,0.17,N/A
0.11,0.00,0.36,1,0.14,N/A,0.27,0.27,N/A,N/A,0.38,0.10,N/A
0.16,-0.03,0.13,0.14,1,N/A,0.23,0.07,N/A,N/A,0.13,0.09,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.12,0.08,0.34,0.27,0.23,N/A,1,0.35,N/A,N/A,0.20,0.06,N/A
0.07,0.01,0.26,0.27,0.07,N/A,0.35,1,N/A,N/A,0.20,0.11,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.08,0.06,0.38,0.38,0.13,N/A,0.20,0.20,N/A,N/A,1,0.17,N/A
0.17,0.11,0.17,0.10,0.09,N/A,0.06,0.11,N/A,N/A,0.17,1,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
