1,0.24,0.03,N/A,0.06,0.00,0.07,0.14,N/A,0.18,N/A,0.05,0.19,0.19,0.08,0.14,0.07,N/A,0.13,0.06,0.09
0.24,1,0.08,N/A,0.11,0.05,0.01,0.15,N/A,0.10,N/A,0.05,0.05,0.05,0.04,0.15,-0.03,N/A,0.09,0.11,0.06
0.03,0.08,1,N/A,0.06,0.00,0.04,0.05,N/A,0.11,N/A,0.04,0.04,0.04,0.05,0.09,0.07,N/A,0.06,0.05,0.15
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.06,0.11,0.06,N/A,1,-0.02,-0.04,0.02,N/A,0.02,N/A,0.07,0.20,0.20,0.09,0.08,0.04,N/A,-0.05,-0.01,-0.00
0.00,0.05,0.00,N/A,-0.02,1,-0.13,0.03,N/A,0.02,N/A,-0.03,0.07,0.07,-0.07,0.05,0.03,N/A,-0.05,0.00,0.10
0.07,0.01,0.04,N/A,-0.04,-0.13,1,0.07,N/A,0.16,N/A,-0.01,-0.08,-0.08,0.01,0.06,0.05,N/A,0.05,0.06,0.02
0.14,0.15,0.05,N/A,0.02,0.03,0.07,1,N/A,0.22,N/A,0.15,0.02,0.02,0.10,0.07,0.02,N/A,0.09,0.03,0.15
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.18,0.10,0.11,N/A,0.02,0.02,0.16,0.22,N/A,1,N/A,0.06,-0.02,-0.02,0.16,0.18,0.20,N/A,0.12,0.16,0.17
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.05,0.05,0.04,N/A,0.07,-0.03,-0.01,0.15,N/A,0.06,N/A,1,0.01,0.01,0.14,0.05,0.04,N/A,0.06,0.05,0.01
0.19,0.05,0.04,N/A,0.20,0.07,-0.08,0.02,N/A,-0.02,N/A,0.01,1,1.00,0.03,0.00,-0.06,N/A,-0.04,0.01,-0.01
0.19,0.05,0.04,N/A,0.20,0.07,-0.08,0.02,N/A,-0.02,N/A,0.01,1.00,1,0.03,0.00,-0.06,N/A,-0.04,0.01,-0.01
0.08,0.04,0.05,N/A,0.09,-0.07,0.01,0.10,N/A,0.16,N/A,0.14,0.03,0.03,1,0.16,0.01,N/A,0.12,0.08,-0.03
0.14,0.15,0.09,N/A,0.08,0.05,0.06,0.07,N/A,0.18,N/A,0.05,0.00,0.00,0.16,1,0.14,N/A,0.13,0.17,0.03
0.07,-0.03,0.07,N/A,0.04,0.03,0.05,0.02,N/A,0.20,N/A,0.04,-0.06,-0.06,0.01,0.14,1,N/A,-0.01,0.07,-0.01
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.13,0.09,0.06,N/A,-0.05,-0.05,0.05,0.09,N/A,0.12,N/A,0.06,-0.04,-0.04,0.12,0.13,-0.01,N/A,1,0.10,0.04
0.06,0.11,0.05,N/A,-0.01,0.00,0.06,0.03,N/A,0.16,N/A,0.05,0.01,0.01,0.08,0.17,0.07,N/A,0.10,1,0.12
0.09,0.06,0.15,N/A,-0.00,0.10,0.02,0.15,N/A,0.17,N/A,0.01,-0.01,-0.01,-0.03,0.03,-0.01,N/A,0.04,0.12,1
