1,0.04,0.04,0.00,0.08,0.06,0.05,0.00,0.07,0.07,-0.02,N/A,0.06,0.09,0.21,0.03,0.02,0.14,0.18,0.04,0.09,0.03,0.21,-0.07,0.11,0.12,N/A,0.25,0.03,0.02,0.12,N/A,0.10,0.05,0.02,0.07,0.13,0.03,0.02,N/A,0.06,0.09,0.18,0.21,0.06,0.09,0.10,0.08,0.05,0.17,0.14,0.09,0.03,-0.06,-0.04,0.02,0.09,0.06,N/A,0.08,0.01,0.01,0.06,0.03,0.04,0.14,0.08,0.07,-0.00,N/A,-0.01,0.15,0.14,-0.04,0.18,-0.03,-0.02,0.03,0.00,N/A,0.00,-0.02,0.08,0.07,0.00,0.08,0.04,0.01,N/A,N/A,N/A,N/A,-0.00,0.08,-0.04,0.04,0.08,0.11,-0.03,0.07
0.04,1,-0.01,0.30,0.02,-0.01,0.04,0.09,0.03,-0.05,0.04,N/A,0.08,-0.00,0.06,-0.04,-0.00,0.05,0.12,-0.01,0.16,0.03,0.22,0.07,0.07,-0.04,N/A,0.11,0.02,0.01,0.05,N/A,0.02,0.04,0.00,-0.09,0.03,-0.01,0.08,N/A,0.01,0.04,0.00,0.01,-0.00,0.04,-0.01,0.08,-0.00,0.20,0.07,-0.03,0.11,0.02,0.03,0.05,0.06,0.22,N/A,-0.04,0.01,0.01,0.03,-0.01,0.00,0.00,0.04,0.06,-0.02,N/A,-0.00,0.11,0.11,-0.05,0.07,0.01,0.03,0.11,0.07,N/A,0.02,0.09,0.07,-0.02,0.12,0.02,0.11,-0.01,N/A,N/A,N/A,N/A,0.13,0.02,0.02,0.11,0.02,0.05,0.03,0.09
0.04,-0.01,1,0.07,0.06,-0.00,0.18,-0.01,0.03,-0.01,0.06,N/A,0.07,0.08,0.04,0.01,0.31,0.06,0.03,0.06,0.10,-0.01,0.11,0.02,-0.06,0.04,N/A,0.20,0.25,0.29,0.08,N/A,0.04,0.05,-0.01,0.04,0.02,0.05,0.09,N/A,0.08,0.05,0.06,0.01,0.07,0.04,0.15,0.01,0.03,0.04,0.11,0.09,-0.00,0.00,-0.02,-0.00,0.14,0.15,N/A,0.03,-0.03,0.09,-0.02,0.04,0.01,-0.03,0.17,0.01,0.06,N/A,0.14,0.05,0.08,0.00,0.09,0.11,0.36,0.09,0.09,N/A,-0.02,0.36,0.06,0.06,0.06,0.07,0.11,0.06,N/A,N/A,N/A,N/A,-0.00,0.09,0.02,-0.01,0.07,0.04,-0.02,0.06
0.00,0.30,0.07,1,-0.01,-0.04,0.02,-0.01,0.09,-0.03,0.02,N/A,-0.03,0.00,0.12,-0.03,0.07,0.09,0.09,0.12,0.25,-0.04,0.16,-0.07,0.08,0.00,N/A,0.05,0.04,0.01,0.13,N/A,-0.01,0.02,-0.04,0.01,0.11,0.13,-0.01,N/A,-0.00,0.01,-0.01,0.00,0.03,-0.03,0.06,-0.00,0.06,0.04,-0.04,0.04,0.01,0.01,-0.07,0.05,-0.05,0.10,N/A,-0.00,-0.01,0.02,0.02,-0.03,-0.00,-0.02,0.05,-0.02,0.06,N/A,0.12,-0.03,0.00,-0.01,-0.01,0.07,-0.04,0.02,0.07,N/A,-0.02,0.01,-0.03,-0.04,0.00,-0.00,0.05,0.01,N/A,N/A,N/A,N/A,-0.02,0.05,0.04,0.07,0.02,-0.07,-0.01,0.16
0.08,0.02,0.06,-0.01,1,0.08,-0.00,-0.04,0.04,0.04,-0.01,N/A,0.25,0.02,0.10,0.14,0.14,0.07,0.04,0.08,0.03,0.06,0.07,0.02,0.10,0.34,N/A,0.09,0.02,0.01,0.01,N/A,0.03,-0.02,-0.04,0.09,0.09,0.10,0.13,N/A,-0.05,0.03,0.02,0.06,0.03,0.02,0.08,0.02,0.06,-0.07,0.11,-0.04,-0.02,0.26,-0.02,0.01,0.06,0.05,N/A,-0.02,-0.05,0.16,0.09,0.02,-0.07,0.04,0.07,0.08,-0.02,N/A,0.07,0.12,0.20,0.13,0.01,0.10,0.00,-0.03,0.03,N/A,0.03,-0.06,0.05,-0.05,0.05,0.09,0.04,0.04,N/A,N/A,N/A,N/A,-0.03,0.02,0.03,0.07,0.05,0.14,-0.01,-0.04
0.06,-0.01,-0.00,-0.04,0.08,1,0.04,0.01,0.06,-0.01,0.02,N/A,0.09,-0.00,-0.00,0.02,0.02,-0.04,0.05,0.08,-0.00,-0.01,0.14,0.00,0.01,0.08,N/A,0.08,-0.01,-0.04,0.03,N/A,0.06,0.04,0.00,-0.02,0.02,0.03,-0.03,N/A,0.02,0.10,0.09,0.02,0.08,0.08,0.11,0.06,-0.04,0.04,0.05,-0.02,-0.02,-0.07,-0.02,0.01,0.05,0.02,N/A,0.01,-0.03,0.04,0.03,0.01,0.13,0.05,0.01,0.01,-0.00,N/A,0.00,0.01,0.04,0.03,0.08,0.04,0.01,0.05,0.11,N/A,0.01,0.01,-0.01,-0.01,0.04,0.03,0.09,0.43,N/A,N/A,N/A,N/A,-0.00,-0.01,-0.02,0.02,0.09,0.00,0.10,0.06
0.05,0.04,0.18,0.02,-0.00,0.04,1,0.04,0.08,0.00,0.03,N/A,0.01,0.08,0.11,0.01,0.12,0.18,0.17,0.10,0.10,-0.01,0.03,0.13,-0.03,0.08,N/A,0.24,0.20,0.21,0.15,N/A,0.07,0.05,0.01,0.05,0.03,0.19,0.06,N/A,0.13,0.15,0.14,0.07,0.12,-0.02,0.14,0.01,0.07,0.08,0.29,0.14,0.03,-0.01,0.08,0.06,0.04,0.08,N/A,0.13,0.01,0.04,-0.01,0.06,0.11,0.03,0.08,0.06,0.08,N/A,0.04,0.10,0.07,0.01,0.04,0.06,0.14,0.18,0.12,N/A,0.19,0.19,-0.01,0.08,0.07,0.02,0.11,0.05,N/A,N/A,N/A,N/A,0.03,0.06,0.14,0.16,0.03,0.08,0.05,0.07
0.00,0.09,-0.01,-0.01,-0.04,0.01,0.04,1,0.04,-0.10,0.04,N/A,0.03,-0.02,-0.01,0.01,0.02,0.04,0.07,0.05,-0.00,0.04,0.04,-0.06,-0.03,0.00,N/A,0.06,-0.04,-0.03,0.02,N/A,0.15,0.00,0.05,-0.04,0.20,0.01,-0.05,N/A,0.03,-0.01,0.03,-0.00,-0.00,-0.01,-0.02,0.02,0.07,0.01,0.10,0.01,0.06,0.00,-0.00,0.02,0.03,0.05,N/A,0.09,0.08,0.11,-0.07,0.12,0.03,-0.06,0.06,-0.07,0.00,N/A,-0.01,0.03,0.02,-0.05,0.04,0.04,0.00,-0.04,0.13,N/A,-0.05,0.00,-0.01,-0.03,0.04,0.02,-0.00,-0.01,N/A,N/A,N/A,N/A,0.04,0.07,0.05,-0.02,0.11,-0.03,-0.01,0.02
0.07,0.03,0.03,0.09,0.04,0.06,0.08,0.04,1,-0.03,0.02,N/A,0.02,0.03,0.10,-0.01,0.09,0.15,0.12,0.16,0.08,0.06,0.10,0.09,-0.02,0.04,N/A,0.19,0.02,-0.02,0.10,N/A,0.05,0.08,0.05,0.06,0.09,0.11,0.07,N/A,0.11,0.15,0.08,0.14,0.06,0.09,0.14,0.00,0.08,0.06,0.12,0.20,-0.01,0.00,-0.02,0.07,0.12,0.19,N/A,0.13,0.00,0.06,0.00,0.08,0.03,0.04,-0.01,0.02,0.04,N/A,0.11,0.02,0.13,0.07,0.05,0.09,-0.00,0.04,0.03,N/A,0.14,0.06,-0.01,0.03,0.02,0.11,0.13,0.04,N/A,N/A,N/A,N/A,0.05,0.32,0.14,0.06,0.02,0.09,0.06,0.09
0.07,-0.05,-0.01,-0.03,0.04,-0.01,0.00,-0.10,-0.03,1,-0.02,N/A,-0.03,-0.04,0.07,0.04,0.01,-0.05,-0.04,0.01,0.10,-0.01,0.02,0.01,0.14,0.03,N/A,0.02,0.02,0.04,0.21,N/A,0.00,-0.01,-0.02,-0.01,-0.04,0.01,-0.01,N/A,-0.06,-0.01,0.00,0.07,0.03,-0.03,-0.01,-0.00,0.03,-0.09,0.07,0.05,-0.03,0.05,0.04,0.00,0.08,0.01,N/A,0.02,0.03,0.03,0.05,0.12,0.00,0.08,0.00,0.05,0.06,N/A,0.01,0.13,-0.02,0.05,0.13,-0.03,-0.00,-0.00,0.01,N/A,0.07,-0.05,-0.04,-0.05,-0.02,0.12,0.09,0.03,N/A,N/A,N/A,N/A,0.02,0.05,-0.04,-0.01,0.01,0.01,-0.03,-0.02
