1,N/A,0.02,0.02,0.00,0.02,0.05,0.07,N/A,N/A,0.05,N/A,0.04,0.09,N/A,-0.01,0.03,-0.06,N/A,0.01,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.02,N/A,1,0.02,-0.02,0.15,0.16,0.31,N/A,N/A,0.11,N/A,0.01,0.01,N/A,0.01,0.05,0.02,N/A,0.09,N/A,N/A,N/A
0.02,N/A,0.02,1,0.00,0.07,-0.03,0.10,N/A,N/A,0.03,N/A,0.05,-0.01,N/A,0.09,0.06,0.04,N/A,-0.01,N/A,N/A,N/A
0.00,N/A,-0.02,0.00,1,0.02,0.05,0.07,N/A,N/A,0.07,N/A,-0.06,0.03,N/A,0.02,0.05,-0.06,N/A,0.11,N/A,N/A,N/A
0.02,N/A,0.15,0.07,0.02,1,0.13,0.39,N/A,N/A,0.23,N/A,0.02,0.01,N/A,0.12,0.10,-0.00,N/A,0.04,N/A,N/A,N/A
0.05,N/A,0.16,-0.03,0.05,0.13,1,0.24,N/A,N/A,0.18,N/A,-0.05,0.04,N/A,0.02,0.03,0.01,N/A,0.08,N/A,N/A,N/A
0.07,N/A,0.31,0.10,0.07,0.39,0.24,1,N/A,N/A,0.38,N/A,0.12,0.04,N/A,0.25,0.16,0.09,N/A,0.19,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.05,N/A,0.11,0.03,0.07,0.23,0.18,0.38,N/A,N/A,1,N/A,-0.01,-0.00,N/A,0.04,0.22,0.03,N/A,0.08,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.04,N/A,0.01,0.05,-0.06,0.02,-0.05,0.12,N/A,N/A,-0.01,N/A,1,-0.07,N/A,0.01,0.04,0.06,N/A,-0.01,N/A,N/A,N/A
0.09,N/A,0.01,-0.01,0.03,0.01,0.04,0.04,N/A,N/A,-0.00,N/A,-0.07,1,N/A,0.00,-0.00,-0.02,N/A,-0.03,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
-0.01,N/A,0.01,0.09,0.02,0.12,0.02,0.25,N/A,N/A,0.04,N/A,0.01,0.00,N/A,1,0.04,-0.01,N/A,0.05,N/A,N/A,N/A
0.03,N/A,0.05,0.06,0.05,0.10,0.03,0.16,N/A,N/A,0.22,N/A,0.04,-0.00,N/A,0.04,1,-0.04,N/A,0.07,N/A,N/A,N/A
-0.06,N/A,0.02,0.04,-0.06,-0.00,0.01,0.09,N/A,N/A,0.03,N/A,0.06,-0.02,N/A,-0.01,-0.04,1,N/A,-0.02,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.01,N/A,0.09,-0.01,0.11,0.04,0.08,0.19,N/A,N/A,0.08,N/A,-0.01,-0.03,N/A,0.05,0.07,-0.02,N/A,1,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
