N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.17,-0.00,0.08,0.17,0.19,N/A,0.37,0.05,0.09,0.22,0.28,0.13,0.30,N/A,1,0.12,0.11,0.02,0.14,N/A,N/A,N/A,N/A,N/A,N/A,0.21,0.09,0.43,0.05,0.10,0.09,N/A,N/A,-0.00,N/A,0.10,0.24,N/A,0.08,0.07,0.26,0.23,0.09,0.03,N/A,N/A,0.03
N/A,0.01,-0.02,0.01,0.08,0.07,N/A,0.12,0.17,0.07,0.07,0.09,0.05,0.09,N/A,0.12,1,0.06,0.08,0.09,N/A,N/A,N/A,N/A,N/A,N/A,0.08,0.02,0.05,0.19,0.04,0.06,N/A,N/A,-0.00,N/A,-0.05,0.07,N/A,0.05,0.07,0.06,0.03,0.19,0.03,N/A,N/A,0.08
N/A,0.10,0.16,0.05,-0.02,0.08,N/A,0.15,0.04,0.15,0.12,0.20,0.06,0.10,N/A,0.11,0.06,1,-0.05,0.15,N/A,N/A,N/A,N/A,N/A,N/A,0.16,-0.02,0.05,-0.03,0.05,0.15,N/A,N/A,0.01,N/A,0.02,0.10,N/A,0.04,0.04,0.10,0.12,0.02,0.02,N/A,N/A,0.17
N/A,-0.00,0.00,-0.01,0.08,0.10,N/A,0.15,0.10,0.14,0.04,0.11,0.03,0.00,N/A,0.02,0.08,-0.05,1,-0.04,N/A,N/A,N/A,N/A,N/A,N/A,0.14,0.14,-0.02,0.15,-0.01,0.03,N/A,N/A,0.10,N/A,0.01,0.12,N/A,0.08,-0.01,0.20,0.00,-0.01,0.08,N/A,N/A,-0.01
N/A,0.10,0.05,0.08,0.12,0.19,N/A,0.26,0.23,0.14,0.32,0.31,0.20,0.16,N/A,0.14,0.09,0.15,-0.04,1,N/A,N/A,N/A,N/A,N/A,N/A,0.28,-0.01,0.02,0.01,0.18,0.15,N/A,N/A,0.10,N/A,-0.03,0.30,N/A,0.05,0.10,0.30,0.13,0.15,0.07,N/A,N/A,-0.02
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.26,0.11,0.25,0.22,0.41,N/A,0.49,0.39,0.81,0.43,0.62,0.46,0.21,N/A,0.21,0.08,0.16,0.14,0.28,N/A,N/A,N/A,N/A,N/A,N/A,1,0.16,0.08,0.12,0.41,0.80,N/A,N/A,0.14,N/A,0.02,0.54,N/A,0.04,0.11,0.60,0.36,0.29,0.14,N/A,N/A,0.11
N/A,-0.03,0.00,0.04,0.08,0.02,N/A,0.03,-0.03,0.05,0.01,0.14,0.02,0.02,N/A,0.09,0.02,-0.02,0.14,-0.01,N/A,N/A,N/A,N/A,N/A,N/A,0.16,1,0.03,-0.01,-0.02,0.04,N/A,N/A,0.08,N/A,0.04,0.20,N/A,0.08,0.16,0.19,0.06,0.03,0.07,N/A,N/A,0.06
N/A,0.12,-0.02,-0.02,0.03,0.05,N/A,0.09,0.01,0.01,0.03,0.12,0.06,0.09,N/A,0.43,0.05,0.05,-0.02,0.02,N/A,N/A,N/A,N/A,N/A,N/A,0.08,0.03,1,-0.01,0.07,0.01,N/A,N/A,-0.10,N/A,0.04,0.07,N/A,0.07,0.02,0.11,0.08,0.04,-0.02,N/A,N/A,-0.01
N/A,0.02,0.09,-0.00,0.05,0.07,N/A,0.08,0.05,0.08,0.03,0.08,0.10,-0.04,N/A,0.05,0.19,-0.03,0.15,0.01,N/A,N/A,N/A,N/A,N/A,N/A,0.12,-0.01,-0.01,1,-0.02,0.07,N/A,N/A,0.06,N/A,-0.05,0.09,N/A,-0.01,0.05,0.05,-0.04,0.04,0.04,N/A,N/A,-0.04
N/A,0.17,-0.01,0.10,0.11,0.18,N/A,0.23,0.13,0.41,0.18,0.28,0.13,0.08,N/A,0.10,0.04,0.05,-0.01,0.18,N/A,N/A,N/A,N/A,N/A,N/A,0.41,-0.02,0.07,-0.02,1,0.41,N/A,N/A,-0.00,N/A,0.01,0.15,N/A,0.02,-0.00,0.21,0.20,0.13,-0.00,N/A,N/A,0.01
N/A,0.21,0.14,0.10,0.07,0.17,N/A,0.23,0.20,0.99,0.19,0.25,0.16,0.13,N/A,0.09,0.06,0.15,0.03,0.15,N/A,N/A,N/A,N/A,N/A,N/A,0.80,0.04,0.01,0.07,0.41,1,N/A,N/A,0.09,N/A,-0.03,0.19,N/A,-0.02,0.05,0.25,0.27,0.19,0.08,N/A,N/A,0.08
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,-0.03,0.02,0.03,0.34,0.18,N/A,-0.00,-0.02,0.10,0.05,0.11,0.03,-0.08,N/A,-0.00,-0.00,0.01,0.10,0.10,N/A,N/A,N/A,N/A,N/A,N/A,0.14,0.08,-0.10,0.06,-0.00,0.09,N/A,N/A,1,N/A,-0.09,0.16,N/A,0.08,0.05,0.08,-0.01,0.10,0.01,N/A,N/A,0.06
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.02,-0.01,0.05,0.00,0.04,N/A,0.07,-0.06,-0.03,0.04,0.25,0.06,0.10,N/A,0.10,-0.05,0.02,0.01,-0.03,N/A,N/A,N/A,N/A,N/A,N/A,0.02,0.04,0.04,-0.05,0.01,-0.03,N/A,N/A,-0.09,N/A,1,0.03,N/A,0.09,0.02,0.09,0.02,-0.08,-0.14,N/A,N/A,-0.03
N/A,0.19,-0.03,0.26,0.23,0.39,N/A,0.54,0.38,0.20,0.48,0.65,0.47,0.17,N/A,0.24,0.07,0.10,0.12,0.30,N/A,N/A,N/A,N/A,N/A,N/A,0.54,0.20,0.07,0.09,0.15,0.19,N/A,N/A,0.16,N/A,0.03,1,N/A,0.02,0.11,0.61,0.37,0.26,0.13,N/A,N/A,0.12
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.14,0.00,0.08,0.07,0.13,N/A,0.07,0.03,-0.01,0.07,0.12,0.00,0.05,N/A,0.08,0.05,0.04,0.08,0.05,N/A,N/A,N/A,N/A,N/A,N/A,0.04,0.08,0.07,-0.01,0.02,-0.02,N/A,N/A,0.08,N/A,0.09,0.02,N/A,1,-0.02,0.06,-0.02,0.06,0.06,N/A,N/A,0.03
N/A,0.08,0.06,0.11,0.05,0.07,N/A,0.10,0.09,0.05,0.09,0.13,0.10,0.08,N/A,0.07,0.07,0.04,-0.01,0.10,N/A,N/A,N/A,N/A,N/A,N/A,0.11,0.16,0.02,0.05,-0.00,0.05,N/A,N/A,0.05,N/A,0.02,0.11,N/A,-0.02,1,0.12,0.05,0.09,0.03,N/A,N/A,0.07
N/A,0.22,0.01,0.34,0.28,0.48,N/A,0.63,0.46,0.27,0.49,0.77,0.55,0.22,N/A,0.26,0.06,0.10,0.20,0.30,N/A,N/A,N/A,N/A,N/A,N/A,0.60,0.19,0.11,0.05,0.21,0.25,N/A,N/A,0.08,N/A,0.09,0.61,N/A,0.06,0.12,1,0.33,0.32,0.16,N/A,N/A,0.08
N/A,0.26,0.07,0.12,0.08,0.25,N/A,0.34,0.15,0.27,0.24,0.36,0.28,0.29,N/A,0.23,0.03,0.12,0.00,0.13,N/A,N/A,N/A,N/A,N/A,N/A,0.36,0.06,0.08,-0.04,0.20,0.27,N/A,N/A,-0.01,N/A,0.02,0.37,N/A,-0.02,0.05,0.33,1,0.22,0.10,N/A,N/A,0.01
N/A,0.08,0.08,0.19,0.11,0.21,N/A,0.22,0.19,0.19,0.19,0.29,0.21,0.13,N/A,0.09,0.19,0.02,-0.01,0.15,N/A,N/A,N/A,N/A,N/A,N/A,0.29,0.03,0.04,0.04,0.13,0.19,N/A,N/A,0.10,N/A,-0.08,0.26,N/A,0.06,0.09,0.32,0.22,1,0.07,N/A,N/A,0.05
N/A,0.03,0.06,0.06,0.07,0.09,N/A,0.12,0.04,0.09,0.05,0.17,0.18,-0.04,N/A,0.03,0.03,0.02,0.08,0.07,N/A,N/A,N/A,N/A,N/A,N/A,0.14,0.07,-0.02,0.04,-0.00,0.08,N/A,N/A,0.01,N/A,-0.14,0.13,N/A,0.06,0.03,0.16,0.10,0.07,1,N/A,N/A,0.09
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.02,-0.04,0.01,0.06,0.09,N/A,0.17,0.00,0.08,0.09,0.16,0.06,0.02,N/A,0.03,0.08,0.17,-0.01,-0.02,N/A,N/A,N/A,N/A,N/A,N/A,0.11,0.06,-0.01,-0.04,0.01,0.08,N/A,N/A,0.06,N/A,-0.03,0.12,N/A,0.03,0.07,0.08,0.01,0.05,0.09,N/A,N/A,1
