1,-0.01,0.57,0.44,-0.01,N/A,N/A,0.07,0.06,0.11,0.02,0.06,0.04,0.20,0.03,0.09,-0.03,0.08,0.01,N/A,0.15,0.08,0.13,0.13,-0.02,0.12,0.10,0.07,0.09,0.14,0.00,0.01,0.01,0.10,0.10,0.26,0.09,0.07,0.16,-0.01,0.08,0.03
-0.01,1,0.13,0.05,0.08,N/A,N/A,-0.03,0.05,0.05,0.01,0.15,0.06,0.12,0.07,0.05,0.03,0.08,0.08,N/A,0.04,0.09,0.36,0.07,-0.02,0.02,0.01,-0.03,0.11,0.05,0.37,0.04,0.10,0.22,0.08,0.04,0.09,0.05,0.04,0.41,0.05,-0.04
0.57,0.13,1,0.29,0.08,N/A,N/A,0.01,0.06,0.06,0.04,0.15,0.06,0.46,0.13,0.16,-0.01,0.04,0.13,N/A,0.21,0.05,0.04,0.19,-0.03,0.12,0.07,0.01,0.22,0.23,0.17,-0.01,0.02,0.25,0.18,0.16,0.14,0.07,0.12,0.02,0.11,0.00
0.44,0.05,0.29,1,0.03,N/A,N/A,-0.01,0.06,0.05,0.03,0.06,0.00,0.18,0.09,0.03,0.04,0.15,0.03,N/A,0.17,0.01,0.10,0.03,0.01,0.02,0.10,-0.01,0.12,0.07,0.07,0.01,0.11,0.12,0.00,0.08,0.04,0.02,0.13,0.04,0.14,0.02
-0.01,0.08,0.08,0.03,1,N/A,N/A,-0.04,0.04,0.01,-0.00,0.06,0.08,0.08,0.19,0.02,0.04,-0.03,0.05,N/A,0.08,0.02,0.03,0.04,0.08,-0.02,-0.05,-0.04,0.07,0.07,0.04,0.06,0.14,0.05,0.03,0.07,0.06,0.07,0.07,0.01,0.10,0.02
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.07,-0.03,0.01,-0.01,-0.04,N/A,N/A,1,0.16,0.09,-0.02,-0.00,0.03,0.05,-0.01,0.04,-0.06,0.02,0.01,N/A,0.06,0.22,0.13,0.03,0.02,0.14,0.07,1.00,0.05,0.07,0.07,-0.00,0.00,0.09,-0.01,0.01,-0.02,0.00,0.07,0.09,0.02,0.05
0.06,0.05,0.06,0.06,0.04,N/A,N/A,0.16,1,-0.00,0.01,0.06,0.02,0.04,0.05,-0.02,0.01,0.16,0.03,N/A,0.03,0.42,0.02,0.12,0.01,0.01,0.03,0.16,-0.01,0.02,-0.01,0.02,-0.01,0.05,0.04,0.10,0.06,0.13,0.05,0.03,0.08,0.01
0.11,0.05,0.06,0.05,0.01,N/A,N/A,0.09,-0.00,1,0.00,0.03,0.09,0.22,0.06,0.17,0.10,0.03,0.09,N/A,0.09,-0.03,0.04,-0.02,0.06,0.03,0.02,0.09,0.05,0.03,0.17,0.02,0.05,0.07,0.06,0.08,0.04,0.02,-0.01,0.00,0.06,-0.02
