1,0.18,0.01,0.02,0.05,N/A,0.05,N/A,0.05,-0.04,0.46,0.01,0.08
0.18,1,0.07,0.16,0.29,N/A,0.06,N/A,0.23,0.10,0.19,0.12,0.29
0.01,0.07,1,-0.13,-0.05,N/A,-0.07,N/A,-0.03,0.04,0.01,-0.03,-0.03
0.02,0.16,-0.13,1,0.01,N/A,-0.02,N/A,0.03,0.01,0.01,0.02,0.08
0.05,0.29,-0.05,0.01,1,N/A,0.05,N/A,0.13,0.09,0.15,0.03,0.11
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.05,0.06,-0.07,-0.02,0.05,N/A,1,N/A,0.30,-0.08,-0.02,0.02,0.20
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.05,0.23,-0.03,0.03,0.13,N/A,0.30,N/A,1,-0.02,0.06,0.14,0.15
-0.04,0.10,0.04,0.01,0.09,N/A,-0.08,N/A,-0.02,1,-0.04,0.04,-0.00
0.46,0.19,0.01,0.01,0.15,N/A,-0.02,N/A,0.06,-0.04,1,0.01,0.08
0.01,0.12,-0.03,0.02,0.03,N/A,0.02,N/A,0.14,0.04,0.01,1,0.15
0.08,0.29,-0.03,0.08,0.11,N/A,0.20,N/A,0.15,-0.00,0.08,0.15,1
