1,0.16,0.26,0.17,0.09,0.04,0.08,-0.01,0.19,0.05,0.13,0.17,0.09,0.07,0.07,0.00,0.13,-0.07,0.13,0.18,0.22,0.02,0.20,0.00,0.16,0.13,0.24,0.04,N/A,N/A,0.02,0.98,0.06,0.11,0.00,0.24,-0.02
0.16,1,0.45,0.42,0.14,0.06,0.24,0.07,0.06,0.15,0.21,0.45,0.20,0.22,0.15,0.17,0.26,0.12,0.02,0.13,0.41,0.15,0.39,0.12,0.06,0.20,0.57,0.12,N/A,N/A,0.06,0.17,0.05,0.22,0.18,0.60,0.03
0.26,0.45,1,0.40,0.10,0.08,0.27,0.04,0.01,0.09,0.18,0.42,0.32,0.22,0.17,0.20,0.26,0.12,0.06,0.06,0.39,0.06,0.43,0.00,0.08,0.19,0.62,0.06,N/A,N/A,0.07,0.27,0.03,0.25,0.08,0.64,0.03
0.17,0.42,0.40,1,0.09,0.03,0.21,0.03,-0.01,0.12,0.15,0.42,0.15,0.19,0.15,0.15,0.29,0.03,0.02,0.07,0.35,0.01,0.38,0.12,0.02,0.19,0.58,0.05,N/A,N/A,0.03,0.19,0.02,0.18,0.04,0.59,0.01
0.09,0.14,0.10,0.09,1,0.00,0.04,0.73,0.02,0.58,0.10,0.17,0.01,0.09,0.06,0.05,0.45,0.05,0.01,0.05,0.10,-0.04,0.15,0.03,0.02,0.06,0.15,0.05,N/A,N/A,-0.00,0.08,0.04,0.08,0.05,0.15,-0.03
0.04,0.06,0.08,0.03,0.00,1,0.20,-0.00,0.03,0.03,0.15,0.07,0.07,0.07,0.06,0.08,0.14,-0.02,0.05,0.05,0.16,0.12,0.24,0.05,0.03,0.09,0.15,0.01,N/A,N/A,0.03,0.04,0.07,0.13,0.01,0.14,0.05
0.08,0.24,0.27,0.21,0.04,0.20,1,0.00,0.02,0.02,0.09,0.26,0.01,0.15,0.08,0.09,0.14,0.06,0.05,0.08,0.33,0.03,0.33,0.12,-0.01,0.17,0.30,0.02,N/A,N/A,-0.01,0.09,-0.01,0.10,0.04,0.30,-0.02
-0.01,0.07,0.04,0.03,0.73,-0.00,0.00,1,0.01,0.75,0.01,0.01,0.00,0.15,-0.02,0.00,0.56,0.02,-0.02,0.00,0.02,-0.01,0.02,0.00,-0.02,0.05,0.02,0.02,N/A,N/A,-0.01,-0.01,-0.00,-0.01,-0.01,0.03,0.01
0.19,0.06,0.01,-0.01,0.02,0.03,0.02,0.01,1,0.00,-0.04,-0.01,0.01,0.03,0.05,-0.03,0.08,-0.08,0.07,0.81,0.35,-0.01,0.02,0.05,0.13,0.02,0.01,0.02,N/A,N/A,0.00,0.19,0.12,0.05,0.02,0.00,-0.05
0.05,0.15,0.09,0.12,0.58,0.03,0.02,0.75,0.00,1,0.05,0.11,0.06,0.12,0.01,0.00,0.51,0.09,-0.04,0.03,0.08,-0.04,0.07,0.03,-0.06,0.05,0.18,0.37,N/A,N/A,-0.02,0.04,0.05,0.05,-0.03,0.13,0.02
