1,N/A,-0.01,0.04,N/A,0.06,0.06,-0.00,-0.00,0.00,0.03,-0.06,0.05,0.04,N/A,N/A,-0.02,0.15,0.01,0.23,-0.01,N/A,N/A,N/A,0.01,-0.05,N/A,N/A,0.08,N/A,N/A,0.00,0.01,-0.01,-0.01,N/A,-0.00
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
-0.01,N/A,1,0.15,N/A,0.17,0.24,-0.02,0.22,0.05,0.18,0.02,0.11,0.06,N/A,N/A,0.07,0.40,0.16,0.11,0.04,N/A,N/A,N/A,0.36,0.00,N/A,N/A,0.44,N/A,N/A,0.03,0.24,0.15,0.11,N/A,0.11
0.04,N/A,0.15,1,N/A,0.06,0.13,-0.05,0.00,0.03,0.11,-0.03,-0.04,-0.02,N/A,N/A,0.03,0.16,0.01,0.11,-0.03,N/A,N/A,N/A,0.14,-0.01,N/A,N/A,0.17,N/A,N/A,0.07,0.09,-0.05,0.00,N/A,-0.09
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.06,N/A,0.17,0.06,N/A,1,0.24,0.01,0.19,0.05,0.11,0.02,0.09,-0.04,N/A,N/A,0.01,0.33,0.13,0.21,0.03,N/A,N/A,N/A,0.29,0.06,N/A,N/A,0.36,N/A,N/A,0.03,0.15,0.01,0.04,N/A,0.09
0.06,N/A,0.24,0.13,N/A,0.24,1,0.01,0.21,0.06,0.20,0.04,0.16,0.01,N/A,N/A,-0.01,0.47,0.14,0.17,0.02,N/A,N/A,N/A,0.45,0.05,N/A,N/A,0.47,N/A,N/A,0.14,0.20,0.12,0.17,N/A,0.15
-0.00,N/A,-0.02,-0.05,N/A,0.01,0.01,1,0.03,0.01,0.06,0.20,0.03,0.05,N/A,N/A,0.10,0.00,0.01,-0.05,0.04,N/A,N/A,N/A,0.02,0.54,N/A,N/A,0.10,N/A,N/A,0.03,0.05,0.01,-0.02,N/A,0.10
-0.00,N/A,0.22,0.00,N/A,0.19,0.21,0.03,1,0.01,0.07,-0.02,0.27,0.02,N/A,N/A,0.03,0.37,0.07,0.09,0.11,N/A,N/A,N/A,0.27,0.00,N/A,N/A,0.38,N/A,N/A,0.01,0.20,0.02,0.04,N/A,0.04
0.00,N/A,0.05,0.03,N/A,0.05,0.06,0.01,0.01,1,0.03,0.09,-0.03,-0.01,N/A,N/A,-0.02,0.05,0.06,0.02,-0.01,N/A,N/A,N/A,0.09,0.11,N/A,N/A,0.09,N/A,N/A,0.06,0.06,0.09,0.08,N/A,0.03
