1,0.13,N/A,0.00,0.58,0.38,0.03,0.98,N/A
0.13,1,N/A,0.06,0.06,0.03,0.04,0.12,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.00,0.06,N/A,1,-0.00,-0.01,0.05,0.02,N/A
0.58,0.06,N/A,-0.00,1,0.35,0.01,0.57,N/A
0.38,0.03,N/A,-0.01,0.35,1,0.02,0.37,N/A
0.03,0.04,N/A,0.05,0.01,0.02,1,0.04,N/A
0.98,0.12,N/A,0.02,0.57,0.37,0.04,1,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
