1,0.09,0.01,0.14,-0.03,0.05,0.05,-0.05,0.05,0.02
0.09,1,0.04,0.09,-0.06,0.05,0.01,-0.04,-0.06,0.00
0.01,0.04,1,0.12,0.02,-0.03,-0.03,-0.06,0.07,0.08
0.14,0.09,0.12,1,0.04,0.11,0.20,0.03,0.02,-0.02
-0.03,-0.06,0.02,0.04,1,0.01,0.05,0.71,-0.04,0.02
0.05,0.05,-0.03,0.11,0.01,1,0.13,0.01,0.04,0.37
0.05,0.01,-0.03,0.20,0.05,0.13,1,0.04,-0.05,-0.00
-0.05,-0.04,-0.06,0.03,0.71,0.01,0.04,1,-0.03,0.03
0.05,-0.06,0.07,0.02,-0.04,0.04,-0.05,-0.03,1,0.08
0.02,0.00,0.08,-0.02,0.02,0.37,-0.00,0.03,0.08,1
