N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,1,0.14,0.03,0.01,N/A,-0.00,-0.01,-0.01,N/A
N/A,0.14,1,0.03,0.07,N/A,0.01,0.06,0.23,N/A
N/A,0.03,0.03,1,0.02,N/A,0.09,0.04,0.08,N/A
N/A,0.01,0.07,0.02,1,N/A,0.00,0.01,0.01,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,-0.00,0.01,0.09,0.00,N/A,1,0.07,0.08,N/A
N/A,-0.01,0.06,0.04,0.01,N/A,0.07,1,0.03,N/A
N/A,-0.01,0.23,0.08,0.01,N/A,0.08,0.03,1,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
