0.11,N/A,0.17,0.15,0.21,0.23,0.23,0.16,0.08,0.06,-0.03,1,0.11,N/A,0.05,N/A,N/A,0.02,N/A,0.17,-0.03,0.15,0.13,0.20,N/A,0.21,0.07,0.22,0.04,N/A,0.07,N/A,0.04,0.17,0.01,0.09,0.13,0.23,0.08,N/A,0.00,0.06,N/A,0.09,0.09,N/A,0.14,0.07,0.13,0.01,N/A,0.06,0.18,0.16,N/A,-0.00,0.25,0.10,N/A,-0.02,0.10,0.13,0.17
0.03,N/A,0.27,0.21,0.22,0.34,0.34,0.26,0.09,0.04,0.01,0.11,1,N/A,0.08,N/A,N/A,0.08,N/A,0.33,0.01,0.16,0.29,0.20,N/A,0.38,0.10,0.22,0.13,N/A,0.02,N/A,0.10,0.04,0.41,0.04,0.30,0.11,0.09,N/A,0.10,0.00,N/A,0.04,0.23,N/A,0.05,0.25,0.22,0.01,N/A,0.10,0.36,0.15,N/A,-0.02,0.29,0.43,N/A,0.03,0.33,0.30,0.08
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.11,N/A,0.15,0.17,0.21,0.17,0.17,0.02,0.12,0.02,0.09,0.05,0.08,N/A,1,N/A,N/A,0.06,N/A,0.05,0.09,0.14,0.17,0.20,N/A,0.18,0.12,0.19,0.02,N/A,0.08,N/A,0.09,0.05,0.04,0.06,0.14,0.09,-0.05,N/A,0.22,0.03,N/A,0.06,0.19,N/A,0.15,0.14,0.18,0.08,N/A,0.08,0.13,0.05,N/A,-0.04,0.26,0.06,N/A,0.15,0.08,0.11,0.02
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.41,N/A,0.18,0.18,0.19,0.12,0.12,0.01,0.09,-0.02,0.06,0.02,0.08,N/A,0.06,N/A,N/A,1,N/A,0.08,0.06,0.13,0.11,0.18,N/A,0.18,0.15,0.15,0.10,N/A,0.03,N/A,0.33,0.08,0.10,0.17,0.13,0.02,0.30,N/A,0.17,0.10,N/A,0.17,0.12,N/A,0.36,0.06,0.20,0.02,N/A,0.09,0.10,0.08,N/A,-0.03,0.23,0.07,N/A,-0.04,0.16,0.04,0.12
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.11,N/A,0.29,0.20,0.30,0.45,0.45,0.32,0.10,0.07,-0.02,0.17,0.33,N/A,0.05,N/A,N/A,0.08,N/A,1,-0.02,0.20,0.24,0.29,N/A,0.36,0.11,0.18,0.09,N/A,0.06,N/A,0.12,0.07,0.30,0.07,0.28,0.09,0.00,N/A,0.11,0.20,N/A,0.07,0.37,N/A,0.09,0.24,0.22,0.17,N/A,0.10,0.38,0.09,N/A,0.01,0.29,0.33,N/A,0.07,0.34,0.29,0.13
0.09,N/A,0.13,0.09,0.11,0.12,0.12,0.15,0.10,0.02,1.00,-0.03,0.01,N/A,0.09,N/A,N/A,0.06,N/A,-0.02,1,0.09,0.10,0.10,N/A,0.14,0.09,0.09,0.02,N/A,0.03,N/A,0.05,-0.02,0.06,-0.00,0.11,-0.02,0.01,N/A,0.14,-0.00,N/A,-0.00,0.02,N/A,0.06,0.00,0.13,-0.03,N/A,0.01,0.13,0.02,N/A,0.01,0.17,0.06,N/A,0.00,0.05,0.08,0.02
