0.01,0.04,0.05,-0.01,0.01,0.08,0.12,N/A,N/A,N/A,0.26,-0.03,N/A,-0.04,-0.04,0.12,0.06,1,-0.00,-0.02,0.08,0.12,-0.00,-0.01,-0.03,N/A,-0.05,0.19,0.00,-0.00,N/A,0.07,0.10,0.05,-0.00,0.02,0.05,0.06,0.03
0.00,0.03,0.10,0.08,0.00,0.07,0.03,N/A,N/A,N/A,-0.03,0.05,N/A,-0.00,0.00,0.07,-0.00,-0.00,1,-0.01,0.09,0.10,0.05,0.03,0.03,N/A,-0.08,-0.06,0.13,0.08,N/A,-0.06,0.05,-0.01,-0.03,-0.00,-0.00,0.04,0.08
0.02,0.02,-0.02,-0.00,0.13,-0.03,0.11,N/A,N/A,N/A,0.09,0.13,N/A,0.01,0.08,0.04,0.06,-0.02,-0.01,1,0.07,0.02,0.02,0.05,0.29,N/A,0.22,0.12,0.02,0.04,N/A,0.02,0.04,0.01,-0.02,-0.01,0.14,-0.02,-0.01
0.03,0.11,-0.00,-0.03,0.03,0.03,0.02,N/A,N/A,N/A,0.06,0.06,N/A,0.02,-0.03,0.10,0.07,0.08,0.09,0.07,1,0.15,-0.00,-0.03,0.01,N/A,-0.04,-0.13,0.01,0.04,N/A,-0.00,-0.01,-0.01,-0.03,-0.01,-0.02,0.02,-0.03
-0.03,0.05,0.08,0.07,0.07,0.14,0.05,N/A,N/A,N/A,0.17,0.04,N/A,0.05,0.11,0.06,0.05,0.12,0.10,0.02,0.15,1,0.04,-0.02,0.04,N/A,0.09,0.11,0.01,0.05,N/A,0.05,0.01,0.05,-0.04,0.01,0.03,0.05,0.08
-0.00,0.04,-0.03,-0.01,0.01,0.02,-0.00,N/A,N/A,N/A,0.01,0.21,N/A,0.60,-0.01,-0.02,0.00,-0.00,0.05,0.02,-0.00,0.04,1,-0.00,0.04,N/A,0.02,-0.01,0.03,0.01,N/A,0.03,0.04,-0.01,0.04,-0.04,-0.00,-0.01,0.01
-0.01,-0.03,-0.01,0.04,0.04,-0.03,0.01,N/A,N/A,N/A,-0.01,-0.01,N/A,-0.05,0.08,-0.07,0.02,-0.01,0.03,0.05,-0.03,-0.02,-0.00,1,0.01,N/A,0.10,-0.03,0.04,0.02,N/A,0.07,0.03,0.01,-0.12,0.02,-0.02,-0.00,-0.00
0.04,0.06,0.03,0.03,0.09,0.02,-0.01,N/A,N/A,N/A,0.13,0.14,N/A,-0.01,-0.01,-0.04,0.04,-0.03,0.03,0.29,0.01,0.04,0.04,0.01,1,N/A,0.11,0.03,0.01,0.01,N/A,-0.01,0.07,0.04,0.01,-0.03,0.02,-0.04,0.01
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
-0.03,0.00,0.01,0.01,0.17,-0.02,-0.01,N/A,N/A,N/A,0.08,0.02,N/A,0.07,0.12,0.01,-0.02,-0.05,-0.08,0.22,-0.04,0.09,0.02,0.10,0.11,N/A,1,0.12,0.03,-0.01,N/A,0.04,0.05,-0.02,-0.03,-0.01,0.00,-0.11,0.00
0.07,0.02,0.29,0.01,0.05,0.05,0.06,N/A,N/A,N/A,0.36,0.05,N/A,0.04,0.15,0.09,-0.00,0.19,-0.06,0.12,-0.13,0.11,-0.01,-0.03,0.03,N/A,0.12,1,0.13,0.04,N/A,0.07,0.08,0.00,-0.04,-0.00,0.04,-0.03,-0.00
-0.04,0.06,0.03,0.01,0.01,0.25,0.00,N/A,N/A,N/A,-0.01,0.09,N/A,0.04,0.18,-0.02,0.03,0.00,0.13,0.02,0.01,0.01,0.03,0.04,0.01,N/A,0.03,0.13,1,0.07,N/A,0.08,0.01,-0.04,0.01,0.09,0.00,0.06,0.00
0.25,0.01,0.01,0.02,0.18,0.10,-0.00,N/A,N/A,N/A,0.05,-0.00,N/A,0.02,0.04,0.03,0.14,-0.00,0.08,0.04,0.04,0.05,0.01,0.02,0.01,N/A,-0.01,0.04,0.07,1,N/A,0.01,0.03,0.06,-0.04,0.03,-0.02,-0.00,-0.00
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
-0.08,-0.02,0.00,0.03,-0.02,0.16,0.00,N/A,N/A,N/A,0.01,0.01,N/A,0.04,0.06,0.00,-0.10,0.07,-0.06,0.02,-0.00,0.05,0.03,0.07,-0.01,N/A,0.04,0.07,0.08,0.01,N/A,1,0.03,-0.01,-0.04,0.00,0.21,0.06,0.00
0.00,0.11,-0.02,-0.02,0.05,0.08,0.02,N/A,N/A,N/A,0.01,0.02,N/A,-0.02,-0.00,0.10,-0.02,0.10,0.05,0.04,-0.01,0.01,0.04,0.03,0.07,N/A,0.05,0.08,0.01,0.03,N/A,0.03,1,-0.01,0.01,-0.00,0.00,0.04,-0.01
0.07,0.23,0.04,-0.02,0.08,-0.00,0.06,N/A,N/A,N/A,0.01,0.09,N/A,0.03,0.07,0.07,-0.02,0.05,-0.01,0.01,-0.01,0.05,-0.01,0.01,0.04,N/A,-0.02,0.00,-0.04,0.06,N/A,-0.01,-0.01,1,-0.02,0.06,0.07,0.01,0.01
-0.04,-0.02,-0.08,0.09,-0.04,-0.07,0.03,N/A,N/A,N/A,-0.00,0.05,N/A,0.04,0.03,0.09,0.02,-0.00,-0.03,-0.02,-0.03,-0.04,0.04,-0.12,0.01,N/A,-0.03,-0.04,0.01,-0.04,N/A,-0.04,0.01,-0.02,1,0.44,0.01,0.03,0.05
0.04,0.15,-0.05,-0.00,0.00,-0.03,0.10,N/A,N/A,N/A,-0.03,-0.00,N/A,0.00,0.07,0.09,0.03,0.02,-0.00,-0.01,-0.01,0.01,-0.04,0.02,-0.03,N/A,-0.01,-0.00,0.09,0.03,N/A,0.00,-0.00,0.06,0.44,1,-0.01,0.11,-0.00
-0.01,0.02,0.06,0.06,0.01,-0.01,0.26,N/A,N/A,N/A,0.01,0.06,N/A,0.02,0.05,0.13,0.03,0.05,-0.00,0.14,-0.02,0.03,-0.00,-0.02,0.02,N/A,0.00,0.04,0.00,-0.02,N/A,0.21,0.00,0.07,0.01,-0.01,1,-0.01,-0.00
-0.03,0.03,0.07,0.04,-0.03,0.09,-0.02,N/A,N/A,N/A,-0.04,0.19,N/A,0.02,0.00,-0.03,0.02,0.06,0.04,-0.02,0.02,0.05,-0.01,-0.00,-0.04,N/A,-0.11,-0.03,0.06,-0.00,N/A,0.06,0.04,0.01,0.03,0.11,-0.01,1,0.39
0.02,-0.02,0.04,0.05,-0.00,0.02,0.04,N/A,N/A,N/A,0.02,0.08,N/A,-0.00,-0.01,0.03,0.03,0.03,0.08,-0.01,-0.03,0.08,0.01,-0.00,0.01,N/A,0.00,-0.00,0.00,-0.00,N/A,0.00,-0.01,0.01,0.05,-0.00,-0.00,0.39,1
