1,N/A,0.16,0.20,0.16,0.24,0.08,0.19,0.15,N/A,N/A,N/A,0.07,0.70,0.02,0.17,N/A,N/A,N/A,N/A,-0.01,0.02,N/A,0.13,0.07,0.04,0.02,N/A,N/A,0.31,N/A,0.12,0.07,0.04
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.16,N/A,1,0.29,0.31,0.52,0.46,0.24,0.17,N/A,N/A,N/A,0.03,0.36,0.10,0.17,N/A,N/A,N/A,N/A,0.15,0.28,N/A,0.23,0.13,0.22,0.07,N/A,N/A,0.19,N/A,0.44,-0.02,0.07
0.20,N/A,0.29,1,0.19,0.34,0.21,0.14,0.04,N/A,N/A,N/A,-0.02,0.26,0.12,0.08,N/A,N/A,N/A,N/A,0.08,0.07,N/A,0.34,0.08,0.20,0.02,N/A,N/A,0.14,N/A,0.26,0.03,-0.02
0.16,N/A,0.31,0.19,1,0.31,0.26,0.29,0.08,N/A,N/A,N/A,0.05,0.24,0.06,0.10,N/A,N/A,N/A,N/A,0.12,0.15,N/A,0.11,0.08,0.28,0.06,N/A,N/A,0.08,N/A,0.33,-0.07,0.01
0.24,N/A,0.52,0.34,0.31,1,0.54,0.18,0.23,N/A,N/A,N/A,0.03,0.48,0.16,0.25,N/A,N/A,N/A,N/A,0.24,0.31,N/A,0.34,0.18,0.23,0.14,N/A,N/A,0.22,N/A,0.51,-0.03,0.04
0.08,N/A,0.46,0.21,0.26,0.54,1,0.16,0.18,N/A,N/A,N/A,0.05,0.36,0.19,0.18,N/A,N/A,N/A,N/A,0.14,0.33,N/A,0.22,0.13,0.14,0.11,N/A,N/A,0.09,N/A,0.50,0.04,0.04
0.19,N/A,0.24,0.14,0.29,0.18,0.16,1,0.09,N/A,N/A,N/A,0.00,0.28,0.16,-0.02,N/A,N/A,N/A,N/A,0.05,0.13,N/A,0.07,0.11,0.14,-0.02,N/A,N/A,0.17,N/A,0.22,0.08,0.06
0.15,N/A,0.17,0.04,0.08,0.23,0.18,0.09,1,N/A,N/A,N/A,-0.02,0.17,-0.00,0.09,N/A,N/A,N/A,N/A,0.08,0.08,N/A,0.09,0.01,0.04,0.05,N/A,N/A,0.11,N/A,0.15,0.09,0.09
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.07,N/A,0.03,-0.02,0.05,0.03,0.05,0.00,-0.02,N/A,N/A,N/A,1,0.06,0.09,-0.00,N/A,N/A,N/A,N/A,0.04,-0.03,N/A,0.03,-0.04,-0.01,-0.01,N/A,N/A,-0.04,N/A,0.01,-0.07,-0.03
0.70,N/A,0.36,0.26,0.24,0.48,0.36,0.28,0.17,N/A,N/A,N/A,0.06,1,0.11,0.22,N/A,N/A,N/A,N/A,0.06,0.16,N/A,0.22,0.17,0.12,0.09,N/A,N/A,0.27,N/A,0.46,0.10,0.07
0.02,N/A,0.10,0.12,0.06,0.16,0.19,0.16,-0.00,N/A,N/A,N/A,0.09,0.11,1,0.05,N/A,N/A,N/A,N/A,0.07,0.03,N/A,0.15,0.11,0.27,-0.00,N/A,N/A,0.01,N/A,0.15,0.04,-0.09
0.17,N/A,0.17,0.08,0.10,0.25,0.18,-0.02,0.09,N/A,N/A,N/A,-0.00,0.22,0.05,1,N/A,N/A,N/A,N/A,0.04,0.04,N/A,0.05,0.26,0.08,0.14,N/A,N/A,0.25,N/A,0.23,-0.02,0.04
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
