0.10,0.11,N/A,0.01,0.21,0.07,0.18,0.07,0.10,0.18,0.03,0.03,0.06,0.27,0.05,0.07,0.01,N/A,N/A,-0.00,0.08,1,0.09,N/A,N/A,N/A,-0.05,0.15,-0.06,0.10,0.07,0.03,0.08
0.36,0.27,N/A,0.01,0.02,0.13,0.15,-0.04,0.10,0.38,0.03,0.07,0.06,0.21,0.15,0.09,0.18,N/A,N/A,0.07,0.10,0.09,1,N/A,N/A,N/A,-0.07,0.17,0.02,0.21,0.03,0.06,0.03
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
-0.01,-0.04,N/A,-0.00,0.09,0.10,0.07,0.11,0.04,-0.01,-0.02,-0.03,0.03,0.03,0.13,0.08,-0.03,N/A,N/A,0.01,0.04,-0.05,-0.07,N/A,N/A,N/A,1,0.02,-0.02,0.14,0.08,-0.05,0.05
0.40,0.38,N/A,0.02,0.11,0.09,0.18,-0.03,0.20,0.25,0.08,0.10,0.15,0.32,0.08,-0.01,-0.00,N/A,N/A,0.04,0.03,0.15,0.17,N/A,N/A,N/A,0.02,1,0.01,0.09,0.00,0.05,0.04
-0.01,0.00,N/A,0.01,-0.01,-0.00,0.00,0.12,0.01,0.03,0.02,0.02,-0.02,-0.01,0.03,-0.00,-0.00,N/A,N/A,-0.04,0.05,-0.06,0.02,N/A,N/A,N/A,-0.02,0.01,1,-0.00,0.06,-0.05,-0.02
0.14,0.16,N/A,0.03,0.12,0.15,0.15,0.11,0.08,0.05,0.01,0.01,-0.03,0.13,0.00,0.05,-0.01,N/A,N/A,-0.02,0.15,0.10,0.21,N/A,N/A,N/A,0.14,0.09,-0.00,1,0.16,0.10,0.12
0.02,0.05,N/A,0.08,0.17,0.03,0.06,0.09,0.02,0.05,0.01,0.02,0.08,0.05,0.14,-0.02,0.01,N/A,N/A,-0.01,0.09,0.07,0.03,N/A,N/A,N/A,0.08,0.00,0.06,0.16,1,0.10,0.11
0.09,0.11,N/A,0.07,-0.01,0.10,0.14,0.03,0.06,0.09,0.03,0.01,0.02,0.14,-0.01,0.10,-0.01,N/A,N/A,0.03,0.07,0.03,0.06,N/A,N/A,N/A,-0.05,0.05,-0.05,0.10,0.10,1,0.02
0.03,0.03,N/A,0.05,0.02,0.02,0.09,-0.01,0.04,0.01,-0.00,0.09,0.07,0.11,0.02,0.03,0.01,N/A,N/A,-0.00,0.03,0.08,0.03,N/A,N/A,N/A,0.05,0.04,-0.02,0.12,0.11,0.02,1
