N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,1,0.38,N/A,0.11,0.05,0.30,N/A,0.04,-0.01,0.21,0.14,0.37,0.17,0.27,0.23,0.19,0.43,0.11,0.07,0.33,N/A,N/A,0.29,0.05,N/A,0.30,0.15,N/A,-0.03,0.22,0.12,0.10,0.21,0.08,0.04,0.17,0.38,0.21,0.04,0.25,N/A
N/A,0.38,1,N/A,0.26,0.11,0.38,N/A,0.02,0.08,0.45,0.30,0.52,0.19,0.23,0.13,0.47,0.52,0.16,0.17,0.55,N/A,N/A,0.29,0.25,N/A,0.82,0.33,N/A,0.10,0.27,0.24,0.23,0.44,0.20,0.10,0.47,0.60,0.44,0.15,0.37,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.11,0.26,N/A,1,-0.00,0.12,N/A,0.04,0.06,0.20,0.12,0.10,0.17,0.06,0.03,0.30,0.21,0.08,0.19,0.26,N/A,N/A,0.13,0.17,N/A,0.33,0.05,N/A,0.10,0.11,0.12,0.11,0.20,0.12,0.02,0.31,0.31,0.20,0.64,0.06,N/A
N/A,0.05,0.11,N/A,-0.00,1,0.09,N/A,0.06,0.05,0.06,0.26,0.15,0.46,0.04,0.04,0.05,0.07,0.20,-0.01,0.11,N/A,N/A,0.00,0.41,N/A,0.10,0.09,N/A,0.08,0.05,0.03,0.00,0.04,0.01,0.04,0.09,0.10,0.04,0.00,0.06,N/A
N/A,0.30,0.38,N/A,0.12,0.09,1,N/A,0.13,0.04,0.26,0.14,0.41,0.18,0.21,0.12,0.24,0.30,0.10,0.07,0.28,N/A,N/A,0.18,0.12,N/A,0.31,0.11,N/A,0.06,0.14,0.10,0.18,0.18,0.07,0.00,0.20,0.37,0.18,0.05,0.22,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.04,0.02,N/A,0.04,0.06,0.13,N/A,1,0.09,0.13,0.07,0.01,0.06,0.17,-0.10,0.12,0.06,0.08,-0.02,0.10,N/A,N/A,0.01,0.15,N/A,0.09,0.10,N/A,0.03,0.06,0.08,0.06,-0.03,-0.01,0.02,0.03,0.06,-0.03,-0.05,-0.02,N/A
N/A,-0.01,0.08,N/A,0.06,0.05,0.04,N/A,0.09,1,0.13,0.23,0.09,0.08,0.13,0.02,0.10,0.05,0.25,-0.00,0.09,N/A,N/A,0.00,0.18,N/A,0.11,0.10,N/A,0.02,0.01,0.03,0.04,0.08,0.01,0.01,0.03,0.15,0.08,0.01,0.05,N/A
