1,0.32,0.13,N/A,0.26,0.09,0.09,0.46,0.17,0.54,0.25,0.36,0.20,N/A,0.10,0.26,N/A,0.26
0.32,1,0.09,N/A,0.38,0.18,0.18,0.23,0.31,0.24,0.21,0.49,0.19,N/A,0.15,0.19,N/A,0.26
0.13,0.09,1,N/A,0.15,0.00,0.13,0.07,0.11,0.11,0.15,0.17,0.46,N/A,0.03,0.12,N/A,0.13
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.26,0.38,0.15,N/A,1,0.20,0.39,0.36,0.39,0.36,0.18,0.67,0.23,N/A,0.18,0.23,N/A,0.46
0.09,0.18,0.00,N/A,0.20,1,0.11,0.09,0.06,0.03,0.13,0.17,0.13,N/A,0.03,0.04,N/A,0.07
0.09,0.18,0.13,N/A,0.39,0.11,1,0.16,0.31,0.25,0.13,0.37,0.17,N/A,0.09,0.09,N/A,0.31
0.46,0.23,0.07,N/A,0.36,0.09,0.16,1,0.15,0.48,0.11,0.42,0.32,N/A,0.11,0.32,N/A,0.32
0.17,0.31,0.11,N/A,0.39,0.06,0.31,0.15,1,0.21,0.08,0.60,0.19,N/A,0.19,0.27,N/A,0.32
0.54,0.24,0.11,N/A,0.36,0.03,0.25,0.48,0.21,1,0.10,0.39,0.27,N/A,0.11,0.18,N/A,0.30
0.25,0.21,0.15,N/A,0.18,0.13,0.13,0.11,0.08,0.10,1,0.26,0.18,N/A,0.11,0.08,N/A,0.11
0.36,0.49,0.17,N/A,0.67,0.17,0.37,0.42,0.60,0.39,0.26,1,0.33,N/A,0.27,0.30,N/A,0.54
0.20,0.19,0.46,N/A,0.23,0.13,0.17,0.32,0.19,0.27,0.18,0.33,1,N/A,0.07,0.30,N/A,0.23
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.10,0.15,0.03,N/A,0.18,0.03,0.09,0.11,0.19,0.11,0.11,0.27,0.07,N/A,1,0.03,N/A,0.14
0.26,0.19,0.12,N/A,0.23,0.04,0.09,0.32,0.27,0.18,0.08,0.30,0.30,N/A,0.03,1,N/A,0.29
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.26,0.26,0.13,N/A,0.46,0.07,0.31,0.32,0.32,0.30,0.11,0.54,0.23,N/A,0.14,0.29,N/A,1
