1,0.12,0.06,0.05,0.06,0.01,0.03,0.12,-0.00,0.11,-0.01,0.02,-0.01,0.08,-0.01,0.02,0.06,0.02,0.06,0.12,0.02
0.12,1,0.13,0.07,0.05,-0.00,0.10,0.12,-0.02,0.27,0.03,0.01,0.01,0.15,0.09,0.10,0.25,0.09,0.11,0.27,0.13
0.06,0.13,1,0.03,0.04,0.03,0.08,0.15,0.01,0.05,0.01,-0.01,0.02,0.05,0.04,-0.02,0.04,0.01,0.02,0.03,-0.03
0.05,0.07,0.03,1,-0.01,-0.00,0.09,0.36,-0.00,0.20,0.03,0.01,0.03,0.04,0.16,0.08,0.11,0.03,0.15,0.06,0.13
0.06,0.05,0.04,-0.01,1,0.04,0.09,0.22,-0.05,0.10,0.08,0.02,0.07,0.13,0.04,0.03,0.12,0.14,0.15,0.15,0.12
0.01,-0.00,0.03,-0.00,0.04,1,-0.02,-0.03,-0.01,0.03,0.01,0.05,-0.00,0.12,0.20,-0.02,-0.00,0.04,0.27,0.11,0.04
0.03,0.10,0.08,0.09,0.09,-0.02,1,0.10,0.01,0.10,0.18,0.02,0.07,0.40,0.10,-0.02,0.07,0.18,0.25,0.18,0.19
0.12,0.12,0.15,0.36,0.22,-0.03,0.10,1,0.01,0.21,0.09,0.08,0.03,0.15,0.08,0.03,0.15,0.12,0.21,0.10,0.07
-0.00,-0.02,0.01,-0.00,-0.05,-0.01,0.01,0.01,1,-0.01,-0.02,0.01,-0.01,-0.03,-0.00,0.01,0.01,-0.00,-0.01,-0.00,0.00
0.11,0.27,0.05,0.20,0.10,0.03,0.10,0.21,-0.01,1,0.01,0.15,0.07,0.17,0.11,0.01,0.26,0.10,0.14,0.20,0.11
-0.01,0.03,0.01,0.03,0.08,0.01,0.18,0.09,-0.02,0.01,1,0.03,0.05,0.12,0.07,0.01,0.06,0.36,0.13,0.12,0.20
0.02,0.01,-0.01,0.01,0.02,0.05,0.02,0.08,0.01,0.15,0.03,1,0.03,-0.01,0.10,0.05,0.18,0.01,0.03,0.05,0.08
-0.01,0.01,0.02,0.03,0.07,-0.00,0.07,0.03,-0.01,0.07,0.05,0.03,1,0.10,0.08,-0.00,0.22,0.08,0.15,0.12,0.16
0.08,0.15,0.05,0.04,0.13,0.12,0.40,0.15,-0.03,0.17,0.12,-0.01,0.10,1,0.17,0.02,0.21,0.21,0.14,0.19,0.14
-0.01,0.09,0.04,0.16,0.04,0.20,0.10,0.08,-0.00,0.11,0.07,0.10,0.08,0.17,1,-0.00,0.06,0.12,0.30,0.16,0.11
0.02,0.10,-0.02,0.08,0.03,-0.02,-0.02,0.03,0.01,0.01,0.01,0.05,-0.00,0.02,-0.00,1,0.11,0.05,0.06,0.10,0.00
0.06,0.25,0.04,0.11,0.12,-0.00,0.07,0.15,0.01,0.26,0.06,0.18,0.22,0.21,0.06,0.11,1,0.33,0.10,0.34,0.22
0.02,0.09,0.01,0.03,0.14,0.04,0.18,0.12,-0.00,0.10,0.36,0.01,0.08,0.21,0.12,0.05,0.33,1,0.13,0.27,0.11
0.06,0.11,0.02,0.15,0.15,0.27,0.25,0.21,-0.01,0.14,0.13,0.03,0.15,0.14,0.30,0.06,0.10,0.13,1,0.26,0.18
0.12,0.27,0.03,0.06,0.15,0.11,0.18,0.10,-0.00,0.20,0.12,0.05,0.12,0.19,0.16,0.10,0.34,0.27,0.26,1,0.20
0.02,0.13,-0.03,0.13,0.12,0.04,0.19,0.07,0.00,0.11,0.20,0.08,0.16,0.14,0.11,0.00,0.22,0.11,0.18,0.20,1
