1,0.04,0.09,0.09,N/A,-0.03,-0.01,0.08,0.05,0.03,0.03,0.06,0.04,-0.00,N/A,-0.03,0.07,0.09,N/A,0.07,0.05,0.04,0.10,-0.01,N/A,0.10,0.01,N/A,-0.03,-0.07,0.07,-0.01,0.09,N/A,0.02,0.06,N/A,N/A,0.07,0.10,0.08,0.03,-0.01,0.04,0.03
0.04,1,0.17,0.48,N/A,0.23,0.04,0.14,0.16,0.00,0.03,0.07,0.13,0.11,N/A,0.02,0.03,0.51,N/A,0.23,0.26,0.06,0.45,0.10,N/A,0.23,0.01,N/A,0.14,0.06,0.33,-0.02,0.26,N/A,0.22,0.16,N/A,N/A,0.15,0.49,0.73,0.14,0.10,0.15,0.08
0.09,0.17,1,0.20,N/A,0.38,-0.03,0.38,0.08,0.00,0.04,0.13,0.12,0.14,N/A,0.02,-0.00,0.17,N/A,0.03,0.51,0.05,0.15,0.01,N/A,0.01,0.02,N/A,-0.01,0.03,0.05,-0.08,0.09,N/A,0.12,0.13,N/A,N/A,0.14,0.18,0.19,-0.00,-0.03,0.15,-0.04
0.09,0.48,0.20,1,N/A,0.12,0.15,0.24,0.20,0.03,0.06,0.05,0.26,0.18,N/A,0.01,0.10,0.87,N/A,0.05,0.11,0.12,0.62,0.10,N/A,0.06,0.02,N/A,0.11,0.10,0.06,0.08,0.38,N/A,0.30,0.23,N/A,N/A,0.15,0.75,0.57,0.01,0.12,0.20,0.05
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
-0.03,0.23,0.38,0.12,N/A,1,0.02,0.13,0.08,0.01,0.04,0.01,0.12,0.10,N/A,0.05,0.01,0.13,N/A,0.30,0.75,0.02,0.12,0.10,N/A,0.27,0.04,N/A,0.16,0.05,0.42,-0.03,0.08,N/A,0.11,0.08,N/A,N/A,0.10,0.11,0.25,0.21,0.04,0.10,0.05
-0.01,0.04,-0.03,0.15,N/A,0.02,1,0.09,0.01,-0.02,0.02,0.01,-0.01,0.03,N/A,0.02,-0.01,0.18,N/A,-0.01,0.01,-0.04,0.11,0.05,N/A,0.06,0.04,N/A,0.09,-0.02,0.01,0.00,0.01,N/A,0.03,0.03,N/A,N/A,0.06,0.16,0.09,0.06,-0.03,0.14,-0.01
0.08,0.14,0.38,0.24,N/A,0.13,0.09,1,0.07,0.01,0.13,0.12,0.10,0.18,N/A,0.04,0.18,0.29,N/A,0.03,0.17,0.05,0.18,0.02,N/A,0.03,0.02,N/A,0.11,-0.01,0.04,-0.03,0.14,N/A,0.14,0.27,N/A,N/A,0.22,0.32,0.23,0.05,0.04,0.44,0.03
0.05,0.16,0.08,0.20,N/A,0.08,0.01,0.07,1,0.02,0.02,0.05,0.48,0.12,N/A,0.01,0.07,0.18,N/A,0.20,0.08,0.19,0.60,0.11,N/A,0.12,0.08,N/A,0.08,0.11,0.14,-0.04,0.64,N/A,0.06,0.14,N/A,N/A,0.06,0.18,0.22,0.09,0.13,0.05,0.03
0.03,0.00,0.00,0.03,N/A,0.01,-0.02,0.01,0.02,1,0.10,-0.02,-0.02,0.10,N/A,-0.01,-0.03,0.07,N/A,-0.01,0.00,0.04,0.07,0.03,N/A,0.02,0.14,N/A,0.11,0.01,-0.03,0.02,0.05,N/A,0.03,0.02,N/A,N/A,-0.01,0.05,0.10,-0.05,0.00,0.02,0.02
0.03,0.03,0.04,0.06,N/A,0.04,0.02,0.13,0.02,0.10,1,0.01,-0.01,0.14,N/A,0.00,-0.01,0.10,N/A,0.06,0.02,0.04,0.07,0.00,N/A,0.03,0.17,N/A,0.08,-0.04,0.06,-0.00,0.01,N/A,0.02,-0.01,N/A,N/A,0.04,0.13,0.08,0.08,0.04,0.05,0.02
0.06,0.07,0.13,0.05,N/A,0.01,0.01,0.12,0.05,-0.02,0.01,1,0.07,-0.00,N/A,-0.02,0.04,0.01,N/A,-0.03,0.02,-0.01,0.08,-0.01,N/A,0.02,-0.06,N/A,0.04,0.02,0.06,-0.04,0.03,N/A,-0.03,-0.00,N/A,N/A,0.08,0.02,0.05,0.05,0.00,0.04,0.06
0.04,0.13,0.12,0.26,N/A,0.12,-0.01,0.10,0.48,-0.02,-0.01,0.07,1,0.12,N/A,0.05,-0.00,0.21,N/A,0.15,0.07,0.04,0.34,0.09,N/A,0.06,0.06,N/A,0.05,0.07,0.10,-0.05,0.30,N/A,0.01,0.14,N/A,N/A,0.06,0.18,0.19,0.05,0.06,0.10,0.02
-0.00,0.11,0.14,0.18,N/A,0.10,0.03,0.18,0.12,0.10,0.14,-0.00,0.12,1,N/A,0.05,0.13,0.24,N/A,0.06,0.12,-0.05,0.23,0.14,N/A,0.09,0.11,N/A,0.11,-0.03,0.09,0.04,0.17,N/A,0.18,0.24,N/A,N/A,0.09,0.27,0.19,0.07,0.08,0.31,0.01
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
