1,0.05,0.35,0.04,0.09,-0.10,0.01
0.05,1,0.22,0.84,0.46,0.04,0.05
0.35,0.22,1,0.19,0.14,-0.01,0.14
0.04,0.84,0.19,1,0.44,0.05,0.05
0.09,0.46,0.14,0.44,1,-0.03,-0.01
-0.10,0.04,-0.01,0.05,-0.03,1,-0.07
0.01,0.05,0.14,0.05,-0.01,-0.07,1
