1,-0.00,0.23,0.05,0.56,0.72,0.69,0.15,0.41,0.57,0.32
-0.00,1,-0.01,-0.02,0.00,0.01,-0.00,0.01,0.08,0.04,-0.04
0.23,-0.01,1,0.06,0.19,0.20,0.22,0.01,0.32,0.18,0.12
0.05,-0.02,0.06,1,0.16,0.07,0.09,0.01,0.03,0.06,0.12
0.56,0.00,0.19,0.16,1,0.43,0.45,0.20,0.24,0.36,0.13
0.72,0.01,0.20,0.07,0.43,1,0.86,0.20,0.60,0.80,0.53
0.69,-0.00,0.22,0.09,0.45,0.86,1,0.18,0.58,0.73,0.39
0.15,0.01,0.01,0.01,0.20,0.20,0.18,1,0.11,0.12,0.03
0.41,0.08,0.32,0.03,0.24,0.60,0.58,0.11,1,0.49,0.31
0.57,0.04,0.18,0.06,0.36,0.80,0.73,0.12,0.49,1,0.47
0.32,-0.04,0.12,0.12,0.13,0.53,0.39,0.03,0.31,0.47,1
