1,0.51,0.05,0.63,0.42,0.68,0.59,0.51,0.56
0.51,1,0.01,0.62,0.40,0.67,0.64,0.38,0.56
0.05,0.01,1,0.09,0.11,0.11,0.08,0.03,0.13
0.63,0.62,0.09,1,0.51,0.86,0.83,0.47,0.76
0.42,0.40,0.11,0.51,1,0.50,0.49,0.36,0.47
0.68,0.67,0.11,0.86,0.50,1,0.89,0.54,0.84
0.59,0.64,0.08,0.83,0.49,0.89,1,0.47,0.80
0.51,0.38,0.03,0.47,0.36,0.54,0.47,1,0.45
0.56,0.56,0.13,0.76,0.47,0.84,0.80,0.45,1
