1,0.09,0.03,-0.00,0.02,0.02,0.23,0.19,0.03,0.04,0.06,0.01,0.08,0.04,0.12
0.09,1,0.38,0.31,0.41,0.08,0.36,0.31,0.48,0.34,0.48,0.22,0.61,0.67,0.45
0.03,0.38,1,0.06,0.11,-0.07,0.12,0.09,0.16,0.10,0.19,0.05,0.15,0.31,0.13
-0.00,0.31,0.06,1,0.12,0.00,0.14,0.12,0.12,0.12,0.16,0.05,0.27,0.23,0.15
0.02,0.41,0.11,0.12,1,-0.01,0.28,0.44,0.37,0.05,0.23,0.11,0.27,0.36,0.32
0.02,0.08,-0.07,0.00,-0.01,1,0.01,0.04,0.08,0.09,0.01,0.03,0.01,0.15,0.09
0.23,0.36,0.12,0.14,0.28,0.01,1,0.13,0.22,0.09,0.18,0.18,0.27,0.33,0.18
0.19,0.31,0.09,0.12,0.44,0.04,0.13,1,0.18,0.21,0.08,0.05,0.28,0.20,0.26
0.03,0.48,0.16,0.12,0.37,0.08,0.22,0.18,1,0.08,0.38,0.13,0.29,0.41,0.21
0.04,0.34,0.10,0.12,0.05,0.09,0.09,0.21,0.08,1,0.12,0.04,0.12,0.27,0.05
0.06,0.48,0.19,0.16,0.23,0.01,0.18,0.08,0.38,0.12,1,0.13,0.26,0.45,0.27
0.01,0.22,0.05,0.05,0.11,0.03,0.18,0.05,0.13,0.04,0.13,1,0.09,0.21,0.09
0.08,0.61,0.15,0.27,0.27,0.01,0.27,0.28,0.29,0.12,0.26,0.09,1,0.38,0.57
0.04,0.67,0.31,0.23,0.36,0.15,0.33,0.20,0.41,0.27,0.45,0.21,0.38,1,0.33
0.12,0.45,0.13,0.15,0.32,0.09,0.18,0.26,0.21,0.05,0.27,0.09,0.57,0.33,1
