1,0.13,0.20,0.23,0.13,0.04,0.08,-0.00,0.09,0.09,0.05,0.06,0.11,0.03,0.06,0.27,0.01,0.12,0.15,0.03,0.02,0.19,0.18,0.06,0.24,0.04,0.15
0.13,1,0.05,0.10,0.13,0.06,0.12,0.05,0.09,0.09,0.11,0.20,0.05,0.12,0.02,0.18,0.02,0.02,0.08,0.02,-0.02,0.24,0.09,0.06,0.18,0.04,0.11
0.20,0.05,1,0.22,0.23,0.16,0.16,0.19,0.15,0.19,0.25,0.14,0.26,0.14,0.13,0.33,0.13,0.22,0.14,0.10,0.17,0.23,0.27,0.17,0.44,0.15,0.39
0.23,0.10,0.22,1,0.18,0.18,0.15,0.10,0.19,0.16,0.18,0.17,0.23,-0.01,0.10,0.34,0.04,0.19,0.19,0.02,0.08,0.24,0.26,0.09,0.37,0.00,0.29
0.13,0.13,0.23,0.18,1,0.17,0.29,0.19,0.16,0.17,0.23,0.29,0.20,0.10,0.13,0.26,0.15,0.14,0.20,0.09,0.11,0.32,0.22,0.10,0.43,0.18,0.32
0.04,0.06,0.16,0.18,0.17,1,0.25,0.06,0.13,0.17,0.08,0.20,0.12,0.02,0.06,0.28,0.07,0.14,0.11,0.04,0.08,0.28,0.38,0.08,0.31,0.07,0.26
0.08,0.12,0.16,0.15,0.29,0.25,1,0.26,0.36,0.34,0.36,0.47,0.20,0.19,0.17,0.21,0.12,0.18,0.25,0.09,0.18,0.21,0.19,0.09,0.34,0.17,0.36
-0.00,0.05,0.19,0.10,0.19,0.06,0.26,1,0.12,0.21,0.31,0.06,0.07,0.08,0.10,0.16,0.05,0.18,0.07,0.08,0.14,0.08,0.09,0.13,0.30,0.29,0.19
0.09,0.09,0.15,0.19,0.16,0.13,0.36,0.12,1,0.33,0.21,0.33,0.20,0.28,0.40,0.16,0.12,0.33,0.51,0.41,0.18,0.21,0.23,0.04,0.31,0.00,0.28
0.09,0.09,0.19,0.16,0.17,0.17,0.34,0.21,0.33,1,0.26,0.35,0.19,0.08,0.22,0.33,0.04,0.29,0.28,0.08,0.13,0.24,0.43,0.06,0.43,0.05,0.38
0.05,0.11,0.25,0.18,0.23,0.08,0.36,0.31,0.21,0.26,1,0.20,0.31,0.13,0.10,0.21,0.07,0.20,0.19,0.10,0.26,0.13,0.20,0.22,0.36,0.05,0.38
0.06,0.20,0.14,0.17,0.29,0.20,0.47,0.06,0.33,0.35,0.20,1,0.19,0.03,0.16,0.23,0.08,0.11,0.23,0.10,0.04,0.25,0.27,0.05,0.33,0.06,0.27
