1,0.10,0.09,0.13,0.18,0.09,0.13,0.04,0.19,-0.05,0.04
0.10,1,0.01,0.15,0.31,0.43,0.32,0.01,0.31,-0.01,0.06
0.09,0.01,1,0.01,0.14,0.07,0.11,0.03,0.03,0.01,0.03
0.13,0.15,0.01,1,0.22,0.13,0.15,0.01,0.12,0.06,0.05
0.18,0.31,0.14,0.22,1,0.44,0.65,0.10,0.42,0.03,0.22
0.09,0.43,0.07,0.13,0.44,1,0.50,-0.01,0.36,0.06,0.12
0.13,0.32,0.11,0.15,0.65,0.50,1,0.06,0.26,0.03,0.20
0.04,0.01,0.03,0.01,0.10,-0.01,0.06,1,0.03,0.05,-0.00
0.19,0.31,0.03,0.12,0.42,0.36,0.26,0.03,1,0.09,0.30
-0.05,-0.01,0.01,0.06,0.03,0.06,0.03,0.05,0.09,1,-0.01
0.04,0.06,0.03,0.05,0.22,0.12,0.20,-0.00,0.30,-0.01,1
