1,0.03,0.04,0.02,-0.04,N/A,0.11,0.30,-0.01
0.03,1,0.00,0.06,0.06,N/A,0.03,0.03,0.04
0.04,0.00,1,0.08,0.21,N/A,-0.01,-0.10,0.01
0.02,0.06,0.08,1,-0.03,N/A,0.17,-0.07,0.06
-0.04,0.06,0.21,-0.03,1,N/A,0.08,-0.00,0.01
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.11,0.03,-0.01,0.17,0.08,N/A,1,0.01,-0.02
0.30,0.03,-0.10,-0.07,-0.00,N/A,0.01,1,-0.01
-0.01,0.04,0.01,0.06,0.01,N/A,-0.02,-0.01,1
