1,0.29,0.15,0.15,0.16,0.15,0.18,0.21,0.16,N/A,0.20,0.05,0.20,0.29,0.06,0.17,0.07,-0.01,0.23,0.20,0.21,0.06,0.11,0.23,0.22,0.06,0.14,0.15,0.06,0.07,0.06,0.13,0.14,0.22,0.18
0.29,1,0.30,0.11,0.34,0.42,0.45,0.24,0.40,N/A,0.38,0.11,0.53,0.31,0.36,0.31,0.17,0.14,0.31,0.30,0.44,0.17,0.18,0.76,0.34,0.33,0.37,0.30,0.29,0.20,0.35,0.14,0.28,0.34,0.36
0.15,0.30,1,0.12,0.13,0.12,0.23,0.23,0.16,N/A,0.09,0.08,0.14,0.09,0.08,0.14,0.02,0.11,0.14,0.14,0.14,0.09,0.12,0.26,0.09,0.17,0.13,1.00,0.12,0.08,0.11,-0.03,0.19,0.11,0.09
0.15,0.11,0.12,1,0.09,0.15,0.34,0.10,0.32,N/A,0.09,0.01,0.08,0.06,0.04,0.08,0.01,0.05,0.05,0.06,0.12,-0.05,0.06,0.11,0.10,0.02,0.04,0.12,-0.01,0.09,0.10,0.09,0.02,0.08,0.00
0.16,0.34,0.13,0.09,1,0.31,0.32,0.17,0.23,N/A,0.32,0.04,0.32,0.31,0.19,0.20,0.12,0.18,0.35,0.12,0.20,0.05,0.08,0.25,0.14,0.07,0.11,0.13,0.06,0.06,0.15,0.06,0.09,0.44,0.19
0.15,0.42,0.12,0.15,0.31,1,0.28,0.26,0.47,N/A,0.38,0.18,0.34,0.41,0.21,0.23,0.16,0.10,0.33,0.15,0.31,0.07,0.01,0.29,0.19,0.15,0.10,0.12,0.10,0.22,0.23,0.17,0.14,0.27,0.31
0.18,0.45,0.23,0.34,0.32,0.28,1,0.25,0.30,N/A,0.17,0.04,0.22,0.19,0.18,0.23,0.06,0.07,0.29,0.12,0.24,0.06,0.17,0.33,0.17,0.10,0.15,0.23,0.11,0.18,0.10,0.08,0.11,0.32,0.12
0.21,0.24,0.23,0.10,0.17,0.26,0.25,1,0.32,N/A,0.36,0.05,0.24,0.16,0.11,0.18,0.11,0.05,0.27,0.15,0.28,-0.05,0.19,0.15,0.11,0.15,0.11,0.23,0.14,0.04,0.07,0.10,0.13,0.25,0.17
0.16,0.40,0.16,0.32,0.23,0.47,0.30,0.32,1,N/A,0.37,0.04,0.34,0.34,0.17,0.31,0.08,0.16,0.37,0.18,0.31,0.08,0.09,0.35,0.21,0.15,0.22,0.16,0.10,0.17,0.16,0.15,0.15,0.29,0.28
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.20,0.38,0.09,0.09,0.32,0.38,0.17,0.36,0.37,N/A,1,0.09,0.33,0.20,0.22,0.30,0.13,0.13,0.31,0.46,0.48,0.01,0.10,0.25,0.20,0.08,0.17,0.09,0.11,0.05,0.14,0.05,0.10,0.30,0.24
0.05,0.11,0.08,0.01,0.04,0.18,0.04,0.05,0.04,N/A,0.09,1,0.06,0.07,0.03,0.03,0.06,0.04,0.09,0.08,0.12,0.06,0.00,0.09,0.03,0.04,-0.01,0.08,0.00,0.03,0.03,-0.03,-0.00,0.07,0.08
0.20,0.53,0.14,0.08,0.32,0.34,0.22,0.24,0.34,N/A,0.33,0.06,1,0.32,0.29,0.19,0.18,0.21,0.27,0.24,0.30,0.09,0.07,0.43,0.20,0.20,0.32,0.14,0.15,0.11,0.24,0.10,0.18,0.33,0.35
0.29,0.31,0.09,0.06,0.31,0.41,0.19,0.16,0.34,N/A,0.20,0.07,0.32,1,0.12,0.24,0.03,0.14,0.43,0.15,0.20,0.06,0.05,0.16,0.11,0.10,0.14,0.09,0.10,0.12,0.10,0.18,0.11,0.19,0.10
0.06,0.36,0.08,0.04,0.19,0.21,0.18,0.11,0.17,N/A,0.22,0.03,0.29,0.12,1,0.12,0.05,0.21,0.15,0.21,0.22,0.06,0.08,0.35,0.08,0.06,0.22,0.08,0.08,0.09,0.29,0.09,0.11,0.31,0.19
0.17,0.31,0.14,0.08,0.20,0.23,0.23,0.18,0.31,N/A,0.30,0.03,0.19,0.24,0.12,1,0.05,0.13,0.23,0.19,0.27,0.04,0.05,0.25,0.14,0.07,0.14,0.14,0.13,0.09,0.17,0.09,0.05,0.14,0.20
0.07,0.17,0.02,0.01,0.12,0.16,0.06,0.11,0.08,N/A,0.13,0.06,0.18,0.03,0.05,0.05,1,0.04,0.05,0.07,0.09,-0.01,-0.01,0.13,0.07,0.21,0.27,0.02,0.20,0.00,0.09,0.11,0.02,0.19,0.10
-0.01,0.14,0.11,0.05,0.18,0.10,0.07,0.05,0.16,N/A,0.13,0.04,0.21,0.14,0.21,0.13,0.04,1,0.13,0.17,0.19,0.01,0.05,0.14,-0.01,-0.04,0.10,0.11,-0.07,0.02,0.12,0.01,0.29,0.09,0.05
0.23,0.31,0.14,0.05,0.35,0.33,0.29,0.27,0.37,N/A,0.31,0.09,0.27,0.43,0.15,0.23,0.05,0.13,1,0.19,0.19,0.04,0.09,0.19,0.19,0.07,0.20,0.14,0.08,0.11,0.12,0.11,0.09,0.38,0.14
0.20,0.30,0.14,0.06,0.12,0.15,0.12,0.15,0.18,N/A,0.46,0.08,0.24,0.15,0.21,0.19,0.07,0.17,0.19,1,0.34,0.05,0.07,0.18,0.09,0.00,0.15,0.14,0.03,0.02,0.03,-0.01,0.05,0.19,0.12
0.21,0.44,0.14,0.12,0.20,0.31,0.24,0.28,0.31,N/A,0.48,0.12,0.30,0.20,0.22,0.27,0.09,0.19,0.19,0.34,1,0.06,0.14,0.35,0.15,0.13,0.22,0.14,0.10,0.12,0.22,0.17,0.13,0.27,0.26
0.06,0.17,0.09,-0.05,0.05,0.07,0.06,-0.05,0.08,N/A,0.01,0.06,0.09,0.06,0.06,0.04,-0.01,0.01,0.04,0.05,0.06,1,0.00,0.23,0.04,0.10,0.10,0.09,0.14,0.06,0.05,-0.05,0.00,0.09,0.01
0.11,0.18,0.12,0.06,0.08,0.01,0.17,0.19,0.09,N/A,0.10,0.00,0.07,0.05,0.08,0.05,-0.01,0.05,0.09,0.07,0.14,0.00,1,0.14,0.07,0.11,0.10,0.12,0.20,0.10,0.10,-0.03,0.04,0.06,0.03
0.23,0.76,0.26,0.11,0.25,0.29,0.33,0.15,0.35,N/A,0.25,0.09,0.43,0.16,0.35,0.25,0.13,0.14,0.19,0.18,0.35,0.23,0.14,1,0.27,0.29,0.34,0.26,0.29,0.14,0.28,0.11,0.22,0.29,0.32
