1,0.06,0.39,0.23,0.24,0.09,0.12,0.24,0.09,0.24,0.28,0.13,0.42,0.12,0.37,0.12,0.19,0.21,0.08,0.12,0.28,0.21,0.23,0.31,0.44,0.26,0.03,0.25,0.30,0.08,0.16,0.31,0.03,0.30,0.28
0.06,1,0.09,0.00,0.00,0.07,0.22,0.14,0.05,0.01,0.02,0.01,0.05,-0.00,0.07,0.08,0.19,-0.01,-0.04,0.04,0.17,0.23,0.04,0.13,0.05,0.04,-0.10,0.09,0.04,-0.00,0.03,0.05,0.05,-0.05,0.12
0.39,0.09,1,0.43,0.33,0.14,0.36,0.36,0.10,0.33,0.27,0.18,0.55,0.11,0.66,0.21,0.24,0.43,0.13,0.35,0.32,0.40,0.33,0.45,0.50,0.21,0.09,0.27,0.16,0.21,0.21,0.33,0.17,0.13,0.42
0.23,0.00,0.43,1,0.32,0.09,0.24,0.24,0.12,0.33,0.34,0.18,0.65,0.09,0.60,0.09,0.19,0.33,0.13,0.22,0.25,0.38,0.12,0.50,0.59,0.25,0.06,0.16,0.16,0.14,0.08,0.27,0.08,0.07,0.64
0.24,0.00,0.33,0.32,1,0.05,0.06,0.22,0.06,0.99,0.20,0.19,0.46,0.08,0.50,0.30,0.18,0.34,0.16,0.13,0.19,0.28,0.24,0.34,0.37,0.13,-0.02,0.19,0.10,0.13,0.21,0.23,0.07,0.15,0.27
0.09,0.07,0.14,0.09,0.05,1,0.15,0.07,-0.02,0.05,0.04,0.11,0.26,0.06,0.13,0.07,0.44,0.02,0.17,0.14,0.35,0.27,0.13,0.25,0.34,0.10,0.04,0.05,0.14,0.15,-0.08,0.15,0.01,0.05,0.27
0.12,0.22,0.36,0.24,0.06,0.15,1,0.17,0.02,0.06,0.10,0.13,0.29,0.10,0.28,0.10,0.30,0.26,0.08,0.17,0.24,0.37,0.22,0.33,0.28,0.08,0.01,0.15,0.16,0.10,0.06,0.12,0.09,-0.02,0.27
0.24,0.14,0.36,0.24,0.22,0.07,0.17,1,-0.00,0.22,0.14,0.14,0.35,0.19,0.33,0.10,0.20,0.21,0.15,0.10,0.23,0.27,0.17,0.32,0.36,0.16,0.00,0.21,0.10,0.02,0.24,0.21,0.06,0.06,0.27
0.09,0.05,0.10,0.12,0.06,-0.02,0.02,-0.00,1,0.17,0.09,0.02,0.16,0.06,0.19,0.03,0.06,0.09,0.06,0.21,0.04,0.11,0.03,0.12,0.11,0.04,-0.01,0.11,0.06,0.08,0.05,0.06,0.03,-0.02,0.13
0.24,0.01,0.33,0.33,0.99,0.05,0.06,0.22,0.17,1,0.21,0.19,0.47,0.09,0.51,0.30,0.18,0.35,0.16,0.15,0.19,0.29,0.24,0.35,0.38,0.13,-0.02,0.20,0.10,0.13,0.21,0.23,0.07,0.14,0.29
0.28,0.02,0.27,0.34,0.20,0.04,0.10,0.14,0.09,0.21,1,0.08,0.33,0.08,0.36,0.10,0.18,0.24,0.06,0.13,0.23,0.25,0.09,0.30,0.29,0.69,0.11,0.17,0.24,0.15,0.13,0.63,0.04,0.18,0.30
0.13,0.01,0.18,0.18,0.19,0.11,0.13,0.14,0.02,0.19,0.08,1,0.24,0.05,0.24,0.04,0.04,0.10,0.14,0.02,0.02,0.12,0.13,0.15,0.24,0.06,-0.05,0.04,0.09,0.12,0.03,0.06,0.08,0.01,0.08
0.42,0.05,0.55,0.65,0.46,0.26,0.29,0.35,0.16,0.47,0.33,0.24,1,0.19,0.65,0.20,0.38,0.32,0.15,0.23,0.39,0.45,0.23,0.60,0.77,0.28,0.05,0.26,0.26,0.19,0.26,0.35,0.13,0.12,0.57
0.12,-0.00,0.11,0.09,0.08,0.06,0.10,0.19,0.06,0.09,0.08,0.05,0.19,1,0.19,-0.01,0.06,0.06,0.01,0.19,0.07,0.07,0.02,0.05,0.17,0.01,0.01,0.05,0.06,0.01,0.02,0.01,0.02,-0.03,0.09
