1,0.05,0.02,0.08,0.03,-0.01,0.13,0.16,0.04,-0.02,0.24,-0.01,-0.06,0.03,0.07,0.03,0.37,0.08
0.05,1,0.03,0.10,-0.00,0.00,0.37,0.08,0.49,0.05,0.05,0.04,0.06,0.09,0.27,0.01,0.17,-0.03
0.02,0.03,1,0.20,-0.13,-0.01,0.06,0.04,-0.03,-0.03,0.02,0.17,-0.01,0.14,0.16,0.06,0.07,0.01
0.08,0.10,0.20,1,0.22,0.76,0.38,0.02,0.14,0.28,0.23,0.17,0.75,0.35,0.24,0.59,0.25,0.19
0.03,-0.00,-0.13,0.22,1,0.15,0.08,0.03,0.03,0.16,0.22,0.21,0.12,0.02,0.10,0.19,0.07,0.09
-0.01,0.00,-0.01,0.76,0.15,1,0.16,0.00,0.02,0.03,0.03,-0.01,0.79,0.01,0.02,0.53,0.06,0.00
0.13,0.37,0.06,0.38,0.08,0.16,1,0.12,0.32,0.34,0.26,0.17,0.19,0.32,0.33,0.32,0.17,0.41
0.16,0.08,0.04,0.02,0.03,0.00,0.12,1,0.06,-0.02,0.09,-0.01,-0.15,0.00,-0.00,0.07,0.03,-0.09
0.04,0.49,-0.03,0.14,0.03,0.02,0.32,0.06,1,0.15,0.22,0.08,0.05,0.07,0.58,0.07,0.29,0.16
-0.02,0.05,-0.03,0.28,0.16,0.03,0.34,-0.02,0.15,1,0.03,0.25,0.06,0.40,0.13,0.27,0.07,0.17
0.24,0.05,0.02,0.23,0.22,0.03,0.26,0.09,0.22,0.03,1,0.06,0.10,0.17,0.50,0.13,0.50,0.35
-0.01,0.04,0.17,0.17,0.21,-0.01,0.17,-0.01,0.08,0.25,0.06,1,0.10,0.18,0.14,0.02,0.21,0.05
-0.06,0.06,-0.01,0.75,0.12,0.79,0.19,-0.15,0.05,0.06,0.10,0.10,1,0.09,0.05,0.55,0.15,0.13
0.03,0.09,0.14,0.35,0.02,0.01,0.32,0.00,0.07,0.40,0.17,0.18,0.09,1,0.32,0.19,0.20,0.17
0.07,0.27,0.16,0.24,0.10,0.02,0.33,-0.00,0.58,0.13,0.50,0.14,0.05,0.32,1,0.11,0.47,0.21
0.03,0.01,0.06,0.59,0.19,0.53,0.32,0.07,0.07,0.27,0.13,0.02,0.55,0.19,0.11,1,0.19,0.06
0.37,0.17,0.07,0.25,0.07,0.06,0.17,0.03,0.29,0.07,0.50,0.21,0.15,0.20,0.47,0.19,1,0.32
0.08,-0.03,0.01,0.19,0.09,0.00,0.41,-0.09,0.16,0.17,0.35,0.05,0.13,0.17,0.21,0.06,0.32,1
