1,0.40,0.14,0.50,0.45,0.68,0.53,0.22,0.25,0.01,0.19,0.61,0.22,0.17
0.40,1,0.30,0.35,0.45,0.55,0.28,0.37,0.19,0.12,0.21,0.42,0.28,0.28
0.14,0.30,1,0.29,0.55,0.31,0.06,0.10,0.18,0.17,0.19,0.17,0.64,0.19
0.50,0.35,0.29,1,0.30,0.58,0.42,0.24,0.22,0.06,0.25,0.38,0.34,0.31
0.45,0.45,0.55,0.30,1,0.46,0.20,0.27,0.27,0.15,0.12,0.31,0.42,0.10
0.68,0.55,0.31,0.58,0.46,1,0.47,0.30,0.36,0.09,0.57,0.60,0.44,0.47
0.53,0.28,0.06,0.42,0.20,0.47,1,0.22,0.03,0.08,0.15,0.21,0.18,0.17
0.22,0.37,0.10,0.24,0.27,0.30,0.22,1,0.13,0.04,0.14,0.24,0.19,0.06
0.25,0.19,0.18,0.22,0.27,0.36,0.03,0.13,1,0.07,0.22,0.35,0.19,0.35
0.01,0.12,0.17,0.06,0.15,0.09,0.08,0.04,0.07,1,-0.03,0.11,0.15,-0.10
0.19,0.21,0.19,0.25,0.12,0.57,0.15,0.14,0.22,-0.03,1,0.25,0.29,0.49
0.61,0.42,0.17,0.38,0.31,0.60,0.21,0.24,0.35,0.11,0.25,1,0.28,0.33
0.22,0.28,0.64,0.34,0.42,0.44,0.18,0.19,0.19,0.15,0.29,0.28,1,0.17
0.17,0.28,0.19,0.31,0.10,0.47,0.17,0.06,0.35,-0.10,0.49,0.33,0.17,1
