1,-0.09,-0.07,0.04,-0.15,0.11,N/A,0.09,N/A,0.03,-0.05,0.26,0.08,-0.01,0.05,0.08,-0.03,-0.06,0.08,-0.08,-0.01,N/A,-0.03,0.26,-0.09,0.06,0.07,-0.03,0.03,N/A,-0.05,0.05,-0.02,-0.02,0.01,0.05,0.07,N/A,0.02,-0.05,-0.07,0.08
-0.09,1,0.02,0.00,0.14,-0.00,N/A,-0.05,N/A,0.11,-0.02,-0.04,0.04,0.07,0.11,-0.06,0.02,0.87,0.01,1.00,0.03,N/A,0.01,-0.04,0.15,-0.04,-0.00,0.02,0.00,N/A,-0.03,-0.01,0.12,0.70,0.03,0.04,-0.00,N/A,0.02,0.02,0.04,0.11
-0.07,0.02,1,0.17,0.16,-0.05,N/A,-0.06,N/A,-0.04,0.04,-0.08,0.08,0.00,-0.01,-0.11,0.04,0.09,-0.09,0.02,0.11,N/A,0.01,-0.08,0.06,0.07,-0.06,0.02,0.03,N/A,-0.00,0.03,0.31,0.01,0.00,0.02,0.06,N/A,0.05,0.08,0.00,-0.01
0.04,0.00,0.17,1,0.18,0.20,N/A,0.10,N/A,0.12,-0.02,0.02,-0.01,0.19,-0.04,0.32,-0.02,0.09,0.24,-0.01,0.19,N/A,0.10,0.02,0.13,0.26,0.16,0.16,0.22,N/A,0.02,0.11,0.18,0.17,0.05,0.28,0.16,N/A,0.04,0.08,0.13,0.18
-0.15,0.14,0.16,0.18,1,0.02,N/A,-0.07,N/A,0.09,0.20,0.04,-0.04,0.02,-0.19,0.03,-0.06,0.14,0.14,0.14,-0.00,N/A,0.01,0.04,0.12,0.15,-0.17,-0.08,0.03,N/A,0.06,-0.01,0.01,0.25,0.01,0.06,-0.04,N/A,0.12,0.00,0.12,0.16
0.11,-0.00,-0.05,0.20,0.02,1,N/A,0.23,N/A,0.31,0.16,0.17,0.06,0.27,0.10,0.34,0.17,0.17,0.22,0.00,0.30,N/A,0.08,0.17,0.17,0.27,0.42,0.28,0.32,N/A,0.33,0.16,0.33,0.24,0.10,0.38,0.22,N/A,0.16,0.08,0.19,0.19
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.09,-0.05,-0.06,0.10,-0.07,0.23,N/A,1,N/A,0.25,-0.04,0.01,-0.17,0.20,0.11,0.40,0.24,-0.01,0.27,-0.05,0.32,N/A,0.11,0.01,-0.05,0.32,0.34,0.34,0.19,N/A,0.08,0.11,0.20,0.12,0.04,0.19,0.24,N/A,-0.00,0.15,0.01,0.12
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.03,0.11,-0.04,0.12,0.09,0.31,N/A,0.25,N/A,1,-0.03,0.05,-0.04,0.53,0.12,0.37,0.29,0.12,0.19,0.11,0.22,N/A,0.03,0.05,0.17,0.26,0.24,0.35,0.34,N/A,0.10,0.15,0.29,0.34,0.01,0.44,0.26,N/A,0.29,0.02,0.13,0.02
