1,0.18,N/A,N/A,0.23,0.28,N/A,0.18,N/A,0.36,0.30,0.19,0.24,-0.03,N/A,0.08,-0.00,0.22,0.22,N/A,N/A,0.10,0.23,N/A,0.15,N/A,N/A,0.17,0.29,0.03,0.23,0.32,-0.07,0.19,N/A,0.44,0.27,N/A,-0.14,0.30,0.27,-0.13,0.20,0.14,0.23,N/A,0.27,-0.02,0.09,N/A,0.15,0.03,0.30,0.30,0.15,0.17,-0.07,0.23,0.05,N/A,N/A,N/A,-0.07,N/A
0.18,1,N/A,N/A,0.10,0.30,N/A,0.11,N/A,0.46,0.50,0.13,0.08,0.03,N/A,0.17,0.26,0.14,0.06,N/A,N/A,0.32,0.14,N/A,0.04,N/A,N/A,0.27,0.44,0.06,0.14,0.41,0.06,0.16,N/A,0.30,0.44,N/A,0.11,0.36,0.21,0.08,0.39,0.25,0.22,N/A,0.40,-0.03,0.27,N/A,0.17,0.05,0.36,0.34,0.29,-0.03,0.07,0.30,0.17,N/A,N/A,N/A,-0.03,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.23,0.10,N/A,N/A,1,0.22,N/A,0.16,N/A,0.33,0.35,0.28,0.04,0.11,N/A,0.18,0.08,0.30,0.20,N/A,N/A,-0.02,0.30,N/A,0.26,N/A,N/A,-0.02,0.35,0.17,0.30,0.35,0.20,0.14,N/A,0.28,0.31,N/A,-0.01,0.38,0.05,0.18,0.26,0.11,0.22,N/A,0.39,0.12,0.29,N/A,0.09,0.05,0.38,0.16,0.25,0.16,0.30,0.35,0.27,N/A,N/A,N/A,0.09,N/A
0.28,0.30,N/A,N/A,0.22,1,N/A,0.21,N/A,0.51,0.54,0.21,0.45,0.16,N/A,0.28,0.29,0.27,0.01,N/A,N/A,0.35,0.26,N/A,0.32,N/A,N/A,0.04,0.70,0.22,0.26,0.53,0.09,0.39,N/A,0.53,0.63,N/A,0.11,0.55,0.24,0.02,0.51,0.36,0.61,N/A,0.68,0.12,0.21,N/A,0.61,0.14,0.55,0.45,0.41,0.15,0.04,0.48,0.22,N/A,N/A,N/A,0.08,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.18,0.11,N/A,N/A,0.16,0.21,N/A,1,N/A,0.28,0.39,0.08,0.10,0.03,N/A,0.04,0.23,0.12,0.23,N/A,N/A,0.02,0.28,N/A,0.01,N/A,N/A,0.08,0.29,0.17,0.28,0.30,0.04,0.10,N/A,0.31,0.33,N/A,0.11,0.27,0.07,0.08,0.21,0.06,0.12,N/A,0.29,0.16,0.08,N/A,0.02,0.17,0.27,0.09,0.21,0.06,0.03,0.25,0.31,N/A,N/A,N/A,0.07,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.36,0.46,N/A,N/A,0.33,0.51,N/A,0.28,N/A,1,0.82,0.41,0.43,0.23,N/A,0.30,0.39,0.33,0.24,N/A,N/A,0.42,0.45,N/A,0.24,N/A,N/A,0.19,0.81,0.12,0.45,0.84,0.13,0.42,N/A,0.69,0.78,N/A,0.25,0.68,0.27,0.08,0.56,0.32,0.50,N/A,0.80,0.10,0.38,N/A,0.36,0.22,0.68,0.42,0.47,0.18,0.09,0.73,0.36,N/A,N/A,N/A,0.06,N/A
0.30,0.50,N/A,N/A,0.35,0.54,N/A,0.39,N/A,0.82,1,0.38,0.47,0.22,N/A,0.31,0.45,0.37,0.25,N/A,N/A,0.50,0.52,N/A,0.29,N/A,N/A,0.15,0.87,0.15,0.52,0.89,0.23,0.45,N/A,0.74,0.86,N/A,0.32,0.72,0.26,0.20,0.61,0.39,0.53,N/A,0.85,0.14,0.43,N/A,0.39,0.22,0.72,0.46,0.53,0.19,0.17,0.72,0.38,N/A,N/A,N/A,0.09,N/A
0.19,0.13,N/A,N/A,0.28,0.21,N/A,0.08,N/A,0.41,0.38,1,0.26,0.31,N/A,0.30,0.20,0.32,0.00,N/A,N/A,0.04,0.23,N/A,0.40,N/A,N/A,-0.04,0.44,-0.05,0.23,0.49,0.24,0.36,N/A,0.38,0.38,N/A,0.11,0.45,0.24,-0.03,0.25,0.15,0.33,N/A,0.46,0.15,0.11,N/A,0.25,0.12,0.45,0.29,0.25,0.19,-0.01,0.38,0.14,N/A,N/A,N/A,0.04,N/A
