0.02,0.07,0.17,-0.04,0.23,0.07,0.11,N/A,0.03,0.16,0.10,N/A,0.12,N/A,0.15,0.09,N/A,1,0.09,0.05,0.18,0.05,0.14,0.10,0.05,N/A,0.02,0.03,N/A,-0.01,0.33,0.07,0.01,0.16,N/A,N/A,0.12,N/A,0.05,0.00,0.04
0.46,0.18,0.14,0.18,0.54,0.39,0.29,N/A,0.23,0.29,-0.10,N/A,0.34,N/A,0.41,0.34,N/A,0.09,1,0.36,0.37,0.22,0.27,0.37,0.22,N/A,0.20,0.31,N/A,0.13,0.26,0.23,0.43,0.25,N/A,N/A,0.34,N/A,0.17,0.17,0.35
0.44,0.44,0.17,0.12,0.42,0.06,0.14,N/A,0.16,0.22,0.05,N/A,0.12,N/A,0.41,0.19,N/A,0.05,0.36,1,0.27,0.49,0.19,0.66,0.17,N/A,0.21,0.55,N/A,0.11,0.10,0.38,0.56,0.23,N/A,N/A,0.06,N/A,0.13,0.11,0.24
0.26,0.23,0.18,0.23,0.44,0.43,0.31,N/A,0.15,0.29,-0.01,N/A,0.26,N/A,0.34,0.34,N/A,0.18,0.37,0.27,1,0.17,0.25,0.30,0.13,N/A,0.18,0.20,N/A,0.09,0.35,0.27,0.18,0.22,N/A,N/A,0.35,N/A,0.07,0.24,0.07
0.29,0.63,0.22,0.11,0.29,0.02,0.05,N/A,0.10,0.23,0.02,N/A,0.08,N/A,0.33,0.39,N/A,0.05,0.22,0.49,0.17,1,0.12,0.40,0.17,N/A,0.33,0.51,N/A,0.25,0.34,0.57,0.42,0.29,N/A,N/A,0.04,N/A,0.37,0.04,0.28
0.09,0.10,0.20,0.08,0.40,0.17,0.29,N/A,0.25,0.39,-0.00,N/A,0.20,N/A,0.17,0.11,N/A,0.14,0.27,0.19,0.25,0.12,1,0.16,0.12,N/A,0.27,0.16,N/A,0.05,0.24,0.20,0.21,0.18,N/A,N/A,0.24,N/A,0.15,0.09,0.14
0.49,0.43,0.19,0.11,0.39,0.15,0.15,N/A,0.15,0.12,0.08,N/A,0.10,N/A,0.50,0.29,N/A,0.10,0.37,0.66,0.30,0.40,0.16,1,0.20,N/A,0.17,0.47,N/A,0.06,0.25,0.36,0.42,0.25,N/A,N/A,0.13,N/A,0.27,0.17,0.38
0.49,0.15,0.14,0.02,0.34,0.05,0.03,N/A,0.14,0.08,0.00,N/A,0.00,N/A,0.16,0.20,N/A,0.05,0.22,0.17,0.13,0.17,0.12,0.20,1,N/A,0.10,0.14,N/A,0.08,0.05,0.12,0.13,0.44,N/A,N/A,-0.02,N/A,0.05,0.09,0.11
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.28,0.26,0.36,0.27,0.41,0.09,0.25,N/A,0.18,0.20,-0.01,N/A,0.07,N/A,0.25,0.28,N/A,0.02,0.20,0.21,0.18,0.33,0.27,0.17,0.10,N/A,1,0.38,N/A,0.16,0.10,0.23,0.16,0.41,N/A,N/A,0.08,N/A,0.09,0.06,0.07
0.34,0.54,0.06,0.08,0.45,0.06,0.17,N/A,0.16,0.24,0.09,N/A,0.08,N/A,0.43,0.31,N/A,0.03,0.31,0.55,0.20,0.51,0.16,0.47,0.14,N/A,0.38,1,N/A,0.14,0.29,0.38,0.41,0.36,N/A,N/A,0.00,N/A,0.15,0.07,0.30
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.18,0.15,0.06,0.01,0.18,0.02,0.12,N/A,0.29,0.09,0.05,N/A,0.00,N/A,0.03,0.09,N/A,-0.01,0.13,0.11,0.09,0.25,0.05,0.06,0.08,N/A,0.16,0.14,N/A,1,0.08,0.04,0.06,0.07,N/A,N/A,0.01,N/A,0.05,-0.05,0.06
