1,0.05,-0.01,0.07,0.22,0.03,0.12,N/A,0.02,0.01,0.01,0.06,N/A,0.05,0.07,0.08,0.12,0.22,-0.01,0.23,0.27,0.15,-0.04,0.04,0.13,N/A,0.08,N/A,0.04,0.09,N/A,N/A,0.03,0.06,0.05,0.13,0.30,0.19,-0.01
0.05,1,0.30,0.11,0.28,0.16,0.41,N/A,0.15,0.21,0.10,0.27,N/A,0.02,0.29,0.12,0.08,0.06,0.25,0.26,0.07,0.15,0.07,0.11,0.08,N/A,0.17,N/A,0.07,0.11,N/A,N/A,0.25,0.07,0.05,0.25,0.14,0.35,0.10
-0.01,0.30,1,0.23,0.21,0.10,0.51,N/A,0.27,0.41,0.27,0.29,N/A,0.15,0.03,-0.00,0.08,0.12,0.00,0.42,0.18,0.12,0.08,0.14,0.10,N/A,0.37,N/A,0.08,0.17,N/A,N/A,0.10,0.39,-0.05,0.09,0.32,0.09,0.02
0.07,0.11,0.23,1,0.08,-0.13,0.27,N/A,0.04,0.34,0.07,0.05,N/A,0.06,-0.02,0.11,0.01,0.08,-0.11,0.31,0.05,0.12,0.13,0.05,0.14,N/A,0.09,N/A,0.14,0.11,N/A,N/A,-0.06,0.09,0.18,0.06,0.15,0.05,-0.16
0.22,0.28,0.21,0.08,1,0.07,0.22,N/A,0.08,0.18,0.06,0.18,N/A,0.11,0.09,0.21,0.26,0.21,0.06,0.30,0.26,0.33,-0.05,0.25,0.13,N/A,0.32,N/A,0.04,0.10,N/A,N/A,-0.01,0.21,0.09,0.15,0.26,0.26,0.15
0.03,0.16,0.10,-0.13,0.07,1,0.07,N/A,-0.02,0.08,-0.01,-0.03,N/A,0.12,-0.02,0.13,0.07,0.16,0.06,0.10,0.08,0.08,0.14,-0.02,0.00,N/A,0.24,N/A,-0.06,-0.09,N/A,N/A,-0.08,0.09,0.05,0.21,0.03,0.29,0.03
0.12,0.41,0.51,0.27,0.22,0.07,1,N/A,0.17,0.25,0.24,0.21,N/A,0.16,0.15,0.09,0.16,0.15,-0.01,0.49,0.12,0.18,0.09,0.24,0.07,N/A,0.33,N/A,0.06,0.08,N/A,N/A,0.24,0.36,0.03,0.16,0.39,0.09,0.19
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.02,0.15,0.27,0.04,0.08,-0.02,0.17,N/A,1,-0.03,0.04,0.27,N/A,-0.02,0.01,0.19,0.05,0.07,-0.07,0.04,-0.07,0.10,0.26,0.06,-0.09,N/A,0.03,N/A,0.10,-0.03,N/A,N/A,0.07,-0.09,0.11,0.08,0.13,-0.02,0.16
0.01,0.21,0.41,0.34,0.18,0.08,0.25,N/A,-0.03,1,0.13,0.24,N/A,0.41,-0.03,0.02,-0.05,0.08,0.01,0.45,0.17,0.12,-0.01,0.22,0.10,N/A,0.28,N/A,0.08,0.12,N/A,N/A,0.09,0.45,0.03,0.01,0.20,0.17,0.02
0.01,0.10,0.27,0.07,0.06,-0.01,0.24,N/A,0.04,0.13,1,0.08,N/A,0.14,0.13,0.07,-0.04,0.01,0.10,0.23,0.04,0.12,0.03,0.13,0.33,N/A,0.08,N/A,0.14,0.36,N/A,N/A,-0.04,0.34,0.02,0.16,0.09,0.07,0.07
0.06,0.27,0.29,0.05,0.18,-0.03,0.21,N/A,0.27,0.24,0.08,1,N/A,0.05,0.02,0.04,0.05,0.20,-0.04,0.26,0.18,0.13,-0.04,0.05,0.02,N/A,0.24,N/A,-0.02,0.02,N/A,N/A,0.05,0.07,-0.05,0.23,0.17,0.30,0.18
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.05,0.02,0.15,0.06,0.11,0.12,0.16,N/A,-0.02,0.41,0.14,0.05,N/A,1,0.21,0.05,0.01,0.03,-0.04,0.07,0.10,0.23,0.00,0.07,0.05,N/A,0.20,N/A,0.01,0.15,N/A,N/A,-0.06,0.32,0.04,0.14,0.15,0.14,0.05
