1,0.01,0.14,N/A,0.26,-0.06,0.06,0.33,0.03,0.20,0.10,0.16,0.24,0.14,-0.05
0.01,1,0.08,N/A,0.06,0.21,-0.03,0.16,0.01,0.24,0.06,0.13,0.22,-0.02,0.07
0.14,0.08,1,N/A,0.37,0.07,0.18,0.48,0.07,0.46,0.15,0.26,0.28,0.21,0.08
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.26,0.06,0.37,N/A,1,0.03,0.23,0.68,0.16,0.40,0.39,0.38,0.39,0.21,0.14
-0.06,0.21,0.07,N/A,0.03,1,0.06,0.15,0.04,0.14,0.10,0.03,0.17,-0.07,0.06
0.06,-0.03,0.18,N/A,0.23,0.06,1,0.27,0.59,0.21,0.02,0.42,0.16,0.01,0.22
0.33,0.16,0.48,N/A,0.68,0.15,0.27,1,0.07,0.42,0.42,0.32,0.52,0.31,0.07
0.03,0.01,0.07,N/A,0.16,0.04,0.59,0.07,1,0.06,0.00,0.20,0.00,-0.02,-0.02
0.20,0.24,0.46,N/A,0.40,0.14,0.21,0.42,0.06,1,0.21,0.20,0.30,0.07,0.03
0.10,0.06,0.15,N/A,0.39,0.10,0.02,0.42,0.00,0.21,1,0.04,0.21,0.26,-0.02
0.16,0.13,0.26,N/A,0.38,0.03,0.42,0.32,0.20,0.20,0.04,1,0.30,0.02,0.63
0.24,0.22,0.28,N/A,0.39,0.17,0.16,0.52,0.00,0.30,0.21,0.30,1,0.19,0.13
0.14,-0.02,0.21,N/A,0.21,-0.07,0.01,0.31,-0.02,0.07,0.26,0.02,0.19,1,0.04
-0.05,0.07,0.08,N/A,0.14,0.06,0.22,0.07,-0.02,0.03,-0.02,0.63,0.13,0.04,1
