N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,1,0.10,0.27,0.39,0.15,0.11,0.05,0.33,0.04,0.05,0.52,0.05,0.24,N/A,0.31,0.05,N/A,0.01
N/A,0.10,1,0.20,0.41,0.22,0.47,-0.01,0.08,0.03,0.27,0.13,0.30,0.37,N/A,0.37,-0.09,N/A,0.01
N/A,0.27,0.20,1,0.52,0.41,0.33,0.27,0.36,0.01,0.20,0.41,0.19,0.35,N/A,0.54,0.01,N/A,0.04
N/A,0.39,0.41,0.52,1,0.68,0.38,0.08,0.35,0.01,0.20,0.35,0.14,0.36,N/A,0.57,0.10,N/A,0.31
N/A,0.15,0.22,0.41,0.68,1,0.28,0.05,0.20,0.09,0.28,0.32,0.18,0.19,N/A,0.54,0.13,N/A,0.64
N/A,0.11,0.47,0.33,0.38,0.28,1,-0.09,0.23,0.08,0.35,0.13,0.03,0.31,N/A,0.35,-0.15,N/A,0.11
N/A,0.05,-0.01,0.27,0.08,0.05,-0.09,1,0.15,0.02,0.03,0.09,-0.11,-0.07,N/A,0.01,0.02,N/A,-0.02
N/A,0.33,0.08,0.36,0.35,0.20,0.23,0.15,1,-0.04,0.06,0.29,-0.00,0.19,N/A,0.32,0.28,N/A,0.01
N/A,0.04,0.03,0.01,0.01,0.09,0.08,0.02,-0.04,1,-0.03,0.06,0.01,0.00,N/A,0.05,-0.05,N/A,-0.07
N/A,0.05,0.27,0.20,0.20,0.28,0.35,0.03,0.06,-0.03,1,0.06,-0.03,0.18,N/A,0.25,0.04,N/A,0.07
N/A,0.52,0.13,0.41,0.35,0.32,0.13,0.09,0.29,0.06,0.06,1,0.18,0.19,N/A,0.33,0.08,N/A,0.09
N/A,0.05,0.30,0.19,0.14,0.18,0.03,-0.11,-0.00,0.01,-0.03,0.18,1,0.17,N/A,0.20,-0.02,N/A,0.01
N/A,0.24,0.37,0.35,0.36,0.19,0.31,-0.07,0.19,0.00,0.18,0.19,0.17,1,N/A,0.46,-0.06,N/A,0.09
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.31,0.37,0.54,0.57,0.54,0.35,0.01,0.32,0.05,0.25,0.33,0.20,0.46,N/A,1,0.02,N/A,0.27
N/A,0.05,-0.09,0.01,0.10,0.13,-0.15,0.02,0.28,-0.05,0.04,0.08,-0.02,-0.06,N/A,0.02,1,N/A,0.01
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,0.01,0.01,0.04,0.31,0.64,0.11,-0.02,0.01,-0.07,0.07,0.09,0.01,0.09,N/A,0.27,0.01,N/A,1
