1,0.29,0.08,0.12,-0.02,0.03,0.46,0.15,0.03,-0.07,0.06,-0.07,0.12,0.02,0.16,0.14,0.37,0.09,0.36,0.25,0.23,0.39,0.19,0.15,0.19,0.06,0.12
0.29,1,0.16,0.28,0.07,0.02,0.26,0.20,0.19,0.04,0.10,-0.03,0.33,0.32,0.28,0.21,0.25,0.54,0.28,0.21,0.24,0.27,0.19,0.32,0.17,0.04,0.22
0.08,0.16,1,0.05,0.04,0.05,0.03,0.07,0.03,0.46,0.06,0.05,0.09,0.32,0.11,-0.07,0.24,0.10,0.10,0.06,0.12,0.01,0.07,0.25,0.03,0.16,0.17
0.12,0.28,0.05,1,-0.04,0.07,0.16,0.11,0.09,0.00,-0.03,0.08,0.39,0.08,0.10,0.33,0.02,0.07,0.28,0.03,0.11,0.33,0.12,0.32,0.26,-0.00,0.34
-0.02,0.07,0.04,-0.04,1,-0.03,0.20,-0.02,0.14,0.06,-0.04,-0.01,-0.08,0.06,0.03,-0.06,-0.08,-0.04,-0.08,0.04,-0.01,-0.07,0.06,0.05,0.05,-0.03,-0.13
0.03,0.02,0.05,0.07,-0.03,1,-0.09,0.04,0.01,0.00,0.01,-0.02,0.08,0.14,0.08,-0.03,0.22,-0.02,0.09,0.09,0.06,0.01,0.08,0.08,-0.03,-0.04,0.17
0.46,0.26,0.03,0.16,0.20,-0.09,1,0.12,0.39,0.14,-0.04,-0.01,0.09,-0.01,0.13,0.08,0.29,0.08,0.33,0.14,0.15,0.39,0.10,0.21,0.08,0.00,0.14
0.15,0.20,0.07,0.11,-0.02,0.04,0.12,1,0.28,0.02,0.07,-0.06,0.22,0.33,0.22,0.15,0.26,0.10,0.18,0.13,0.12,0.16,0.09,0.13,0.18,0.03,0.25
0.03,0.19,0.03,0.09,0.14,0.01,0.39,0.28,1,0.18,-0.02,-0.11,0.06,-0.04,0.14,0.03,0.14,0.07,0.13,0.12,0.11,0.18,0.02,0.00,0.01,-0.02,0.18
-0.07,0.04,0.46,0.00,0.06,0.00,0.14,0.02,0.18,1,0.09,0.10,0.10,0.26,-0.01,-0.11,0.11,0.10,-0.01,-0.05,0.03,0.01,0.04,0.21,-0.05,-0.02,0.02
