1,N/A,0.06,0.23,N/A,N/A,0.22,0.17,0.04,0.09,0.20,0.01,N/A,0.07,0.11,0.00,N/A,0.07,0.12,0.23,0.08,N/A,0.01
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.06,N/A,1,0.06,N/A,N/A,-0.08,0.27,0.01,0.04,0.18,0.15,N/A,0.19,-0.09,-0.08,N/A,0.05,-0.06,0.04,0.19,N/A,0.02
0.23,N/A,0.06,1,N/A,N/A,0.10,0.29,0.05,-0.04,0.09,0.05,N/A,0.15,0.12,-0.03,N/A,0.11,0.10,0.18,-0.02,N/A,0.04
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.22,N/A,-0.08,0.10,N/A,N/A,1,0.14,0.06,0.03,0.21,0.02,N/A,0.13,0.08,0.13,N/A,0.02,0.09,0.14,0.11,N/A,0.10
0.17,N/A,0.27,0.29,N/A,N/A,0.14,1,0.32,0.14,0.40,0.09,N/A,0.07,0.43,0.09,N/A,0.24,0.37,0.49,0.23,N/A,0.18
0.04,N/A,0.01,0.05,N/A,N/A,0.06,0.32,1,0.36,0.29,0.23,N/A,0.10,0.33,0.41,N/A,0.35,0.18,0.47,0.04,N/A,0.25
0.09,N/A,0.04,-0.04,N/A,N/A,0.03,0.14,0.36,1,0.32,0.36,N/A,0.06,0.23,0.62,N/A,0.29,0.15,0.29,0.35,N/A,0.31
0.20,N/A,0.18,0.09,N/A,N/A,0.21,0.40,0.29,0.32,1,0.27,N/A,0.29,0.27,0.28,N/A,0.24,0.17,0.44,0.34,N/A,0.30
0.01,N/A,0.15,0.05,N/A,N/A,0.02,0.09,0.23,0.36,0.27,1,N/A,0.40,0.09,0.27,N/A,0.43,0.11,0.26,0.22,N/A,0.20
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.07,N/A,0.19,0.15,N/A,N/A,0.13,0.07,0.10,0.06,0.29,0.40,N/A,1,0.07,0.05,N/A,0.20,0.11,0.21,0.17,N/A,0.20
0.11,N/A,-0.09,0.12,N/A,N/A,0.08,0.43,0.33,0.23,0.27,0.09,N/A,0.07,1,0.08,N/A,0.14,0.33,0.41,0.17,N/A,0.08
0.00,N/A,-0.08,-0.03,N/A,N/A,0.13,0.09,0.41,0.62,0.28,0.27,N/A,0.05,0.08,1,N/A,0.49,0.13,0.36,0.24,N/A,0.21
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.07,N/A,0.05,0.11,N/A,N/A,0.02,0.24,0.35,0.29,0.24,0.43,N/A,0.20,0.14,0.49,N/A,1,0.17,0.61,0.22,N/A,0.07
0.12,N/A,-0.06,0.10,N/A,N/A,0.09,0.37,0.18,0.15,0.17,0.11,N/A,0.11,0.33,0.13,N/A,0.17,1,0.41,0.09,N/A,0.17
0.23,N/A,0.04,0.18,N/A,N/A,0.14,0.49,0.47,0.29,0.44,0.26,N/A,0.21,0.41,0.36,N/A,0.61,0.41,1,0.21,N/A,0.31
0.08,N/A,0.19,-0.02,N/A,N/A,0.11,0.23,0.04,0.35,0.34,0.22,N/A,0.17,0.17,0.24,N/A,0.22,0.09,0.21,1,N/A,0.30
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.01,N/A,0.02,0.04,N/A,N/A,0.10,0.18,0.25,0.31,0.30,0.20,N/A,0.20,0.08,0.21,N/A,0.07,0.17,0.31,0.30,N/A,1
