1,0.04,0.06,0.14,-0.03,0.02,0.07,-0.07,0.32,0.24,0.32,0.16,0.10,0.06,0.14,0.18,N/A,0.08,0.15,1.00,0.18,0.20,0.02,N/A,N/A,0.16,-0.03,0.03,0.07,0.15,0.30,0.25,-0.09,0.17
0.04,1,0.09,0.11,0.19,0.01,0.23,-0.00,0.08,0.11,0.06,0.15,0.09,0.26,0.17,0.10,N/A,0.28,0.20,0.04,-0.02,0.14,0.03,N/A,N/A,0.16,0.19,0.09,0.31,0.12,0.23,0.39,0.00,-0.03
0.06,0.09,1,0.02,0.08,-0.01,-0.01,-0.01,-0.04,0.16,0.05,0.21,0.02,0.15,0.12,0.55,N/A,0.11,0.02,0.06,0.07,0.01,0.06,N/A,N/A,0.12,0.08,0.02,0.34,0.03,0.11,0.25,0.03,0.07
0.14,0.11,0.02,1,0.21,0.19,0.18,-0.01,0.15,0.32,0.15,0.34,0.09,0.17,0.22,0.07,N/A,0.29,0.05,0.14,0.08,0.17,0.05,N/A,N/A,0.12,0.21,0.40,0.28,0.18,0.15,0.40,-0.02,0.08
-0.03,0.19,0.08,0.21,1,0.04,0.32,0.20,-0.00,0.26,0.16,0.26,0.14,0.20,0.22,-0.03,N/A,0.88,0.15,-0.03,0.11,0.30,0.02,N/A,N/A,0.17,1.00,0.27,0.31,0.05,0.17,0.42,0.00,0.14
0.02,0.01,-0.01,0.19,0.04,1,-0.04,0.09,0.06,0.09,0.11,-0.06,0.04,0.16,0.01,-0.07,N/A,0.03,0.02,0.02,-0.07,0.15,-0.01,N/A,N/A,0.10,0.04,0.02,0.04,0.15,0.04,0.10,0.05,-0.09
0.07,0.23,-0.01,0.18,0.32,-0.04,1,0.04,0.11,0.11,0.16,0.35,0.14,-0.04,0.27,0.19,N/A,0.38,0.07,0.07,0.04,0.24,0.10,N/A,N/A,0.06,0.32,0.18,0.43,0.06,0.15,0.38,0.00,0.18
-0.07,-0.00,-0.01,-0.01,0.20,0.09,0.04,1,0.19,-0.03,-0.09,0.14,0.08,0.03,0.06,0.01,N/A,0.22,-0.08,-0.07,-0.06,0.06,0.07,N/A,N/A,0.14,0.20,0.00,0.14,-0.01,-0.08,0.15,-0.01,0.01
0.32,0.08,-0.04,0.15,-0.00,0.06,0.11,0.19,1,0.22,0.08,0.16,0.13,0.05,0.28,0.13,N/A,0.18,-0.16,0.32,0.07,0.04,-0.02,N/A,N/A,0.02,-0.00,0.15,0.15,0.08,0.17,0.35,-0.10,0.08
0.24,0.11,0.16,0.32,0.26,0.09,0.11,-0.03,0.22,1,0.08,0.16,0.07,0.00,0.18,0.11,N/A,0.37,0.02,0.24,0.18,0.30,0.06,N/A,N/A,0.07,0.26,0.16,0.26,0.11,0.23,0.42,-0.01,0.08
0.32,0.06,0.05,0.15,0.16,0.11,0.16,-0.09,0.08,0.08,1,0.32,0.07,0.03,0.13,0.08,N/A,0.25,0.28,0.32,0.25,0.46,0.22,N/A,N/A,0.33,0.16,0.09,0.17,0.06,0.12,0.21,0.04,0.25
0.16,0.15,0.21,0.34,0.26,-0.06,0.35,0.14,0.16,0.16,0.32,1,0.09,0.13,0.29,0.28,N/A,0.38,0.14,0.16,0.16,0.29,0.24,N/A,N/A,0.24,0.26,0.24,0.36,0.26,0.14,0.45,-0.07,0.21
0.10,0.09,0.02,0.09,0.14,0.04,0.14,0.08,0.13,0.07,0.07,0.09,1,0.15,0.18,0.06,N/A,0.24,0.08,0.10,0.04,0.08,0.07,N/A,N/A,0.09,0.14,0.21,0.18,-0.03,0.17,0.33,0.02,0.17
