1,0.43,N/A,0.04,0.20,0.07,0.07,0.19,0.24,0.29,0.16,0.05,0.18,0.66,N/A,N/A,0.09,-0.02,0.14,0.21,0.31,N/A,N/A,0.10,0.20,0.31,N/A,N/A,0.16,0.04,0.41,0.27,0.02,0.08,N/A
0.43,1,N/A,0.07,0.38,-0.04,-0.01,0.35,0.06,0.02,0.33,0.01,0.08,0.39,N/A,N/A,0.32,0.10,0.05,0.21,0.44,N/A,N/A,0.10,0.18,0.53,N/A,N/A,0.37,0.05,0.77,0.55,0.18,0.30,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.04,0.07,N/A,1,0.04,0.03,0.13,0.18,0.07,0.08,0.12,0.00,0.26,-0.02,N/A,N/A,0.20,-0.01,0.01,0.48,0.20,N/A,N/A,0.13,0.11,0.06,N/A,N/A,0.04,0.37,0.03,0.06,0.06,-0.04,N/A
0.20,0.38,N/A,0.04,1,-0.04,0.07,0.12,-0.01,0.09,0.14,0.06,0.13,0.23,N/A,N/A,0.19,0.06,0.06,0.18,0.08,N/A,N/A,0.20,0.06,0.04,N/A,N/A,0.20,0.19,0.25,0.27,0.06,0.27,N/A
0.07,-0.04,N/A,0.03,-0.04,1,-0.12,0.15,-0.02,0.36,0.26,0.03,0.04,0.20,N/A,N/A,0.07,0.06,0.04,-0.02,0.12,N/A,N/A,0.13,0.29,0.05,N/A,N/A,-0.02,-0.03,-0.02,0.09,-0.07,-0.00,N/A
0.07,-0.01,N/A,0.13,0.07,-0.12,1,0.20,0.07,0.20,0.08,0.17,0.15,0.02,N/A,N/A,0.01,0.06,0.20,0.22,0.11,N/A,N/A,0.06,0.18,0.10,N/A,N/A,-0.00,0.27,0.04,0.08,-0.05,0.01,N/A
0.19,0.35,N/A,0.18,0.12,0.15,0.20,1,0.06,0.37,0.57,0.07,0.16,0.31,N/A,N/A,0.26,0.14,0.09,0.16,0.37,N/A,N/A,0.17,0.34,0.27,N/A,N/A,0.14,0.06,0.16,0.60,0.01,0.04,N/A
0.24,0.06,N/A,0.07,-0.01,-0.02,0.07,0.06,1,0.03,-0.01,0.65,0.11,0.13,N/A,N/A,0.07,0.05,0.09,0.11,0.11,N/A,N/A,0.05,0.30,0.11,N/A,N/A,-0.04,0.09,0.10,-0.01,-0.07,0.05,N/A
0.29,0.02,N/A,0.08,0.09,0.36,0.20,0.37,0.03,1,0.23,0.11,0.13,0.33,N/A,N/A,0.04,0.07,0.29,0.17,0.28,N/A,N/A,0.22,0.33,0.06,N/A,N/A,-0.07,0.02,0.04,0.40,0.10,0.07,N/A
