1,0.48,0.56,0.37,0.19,0.37,0.32,0.15,0.23,0.31,0.13
0.48,1,0.55,0.40,0.46,0.46,0.40,0.21,0.34,0.49,0.36
0.56,0.55,1,0.42,0.23,0.39,0.24,0.11,0.31,0.34,0.27
0.37,0.40,0.42,1,0.49,0.35,0.27,0.14,0.33,0.41,0.33
0.19,0.46,0.23,0.49,1,0.37,0.20,0.34,0.22,0.37,0.17
0.37,0.46,0.39,0.35,0.37,1,0.32,0.20,0.29,0.33,0.18
0.32,0.40,0.24,0.27,0.20,0.32,1,0.20,0.16,0.20,0.09
0.15,0.21,0.11,0.14,0.34,0.20,0.20,1,-0.05,0.23,0.08
0.23,0.34,0.31,0.33,0.22,0.29,0.16,-0.05,1,0.39,0.53
0.31,0.49,0.34,0.41,0.37,0.33,0.20,0.23,0.39,1,0.42
0.13,0.36,0.27,0.33,0.17,0.18,0.09,0.08,0.53,0.42,1
