N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,1,0.36,0.41,0.13,0.52,0.01,0.21,0.56,0.07,0.46,0.40,-0.02,0.10,N/A,0.22,0.24,0.10,0.31,0.30,0.25,N/A,0.39,0.07,0.27,0.22
N/A,N/A,0.36,1,0.44,0.13,0.23,0.06,0.09,0.24,0.03,0.26,0.09,-0.01,0.13,N/A,0.10,0.35,0.23,0.15,0.41,0.32,N/A,0.33,0.29,0.28,0.34
N/A,N/A,0.41,0.44,1,0.24,0.28,0.27,0.12,0.49,-0.01,0.61,0.07,0.05,0.16,N/A,0.06,0.34,0.11,0.35,0.50,0.36,N/A,0.46,0.24,0.17,0.39
N/A,N/A,0.13,0.13,0.24,1,0.05,0.24,0.25,0.05,0.10,0.12,0.04,-0.05,0.13,N/A,-0.14,0.04,0.03,0.05,0.15,0.15,N/A,0.18,0.06,0.14,0.13
N/A,N/A,0.52,0.23,0.28,0.05,1,0.17,0.12,0.36,0.13,0.26,0.78,-0.00,0.03,N/A,0.11,0.05,0.00,0.15,0.07,0.14,N/A,0.19,0.25,0.12,0.08
N/A,N/A,0.01,0.06,0.27,0.24,0.17,1,0.14,0.19,0.14,0.13,0.15,0.04,0.03,N/A,-0.03,0.13,0.06,0.18,0.17,0.16,N/A,0.24,0.25,-0.08,0.18
N/A,N/A,0.21,0.09,0.12,0.25,0.12,0.14,1,0.04,0.01,0.05,0.08,-0.06,0.14,N/A,0.02,-0.06,-0.04,0.04,0.05,0.03,N/A,0.14,0.02,0.15,0.04
N/A,N/A,0.56,0.24,0.49,0.05,0.36,0.19,0.04,1,0.04,0.59,0.32,0.06,0.12,N/A,0.24,0.33,0.00,0.26,0.50,0.41,N/A,0.36,0.08,0.17,0.31
N/A,N/A,0.07,0.03,-0.01,0.10,0.13,0.14,0.01,0.04,1,-0.03,0.08,0.03,-0.02,N/A,-0.05,-0.05,0.08,0.18,-0.02,0.07,N/A,0.10,0.05,-0.01,0.04
N/A,N/A,0.46,0.26,0.61,0.12,0.26,0.13,0.05,0.59,-0.03,1,0.16,-0.06,0.07,N/A,0.17,0.30,0.13,0.15,0.42,0.43,N/A,0.35,0.08,0.19,0.26
